
[00:00:00.000 --> 00:00:09.000]  飲宴已經成為今天人類社會 社交的一種 差不多是必要的活動
[00:00:09.000 --> 00:00:15.000]  我相信大家都參加過飲宴 接過人不少的請帖
[00:00:15.000 --> 00:00:21.000]  請帖香港人說是紅色炸彈 即是說要剁你一筆的
[00:00:21.000 --> 00:00:31.000]  換句話說你要付人情 你才去那個宴會 不是白吃的
[00:00:31.000 --> 00:00:38.000]  我上個星期有三天 飛到浙江溫州一個城市裡面
[00:00:38.000 --> 00:00:43.000]  主持一個婚禮 就是一間神樂院的院長 他的兒子結婚
[00:00:43.000 --> 00:00:50.000]  他邀請我 我覺得很榮幸 我是第一次在內地證婚 港獨
[00:00:50.000 --> 00:00:58.000]  我到的時候 牧師的院長就遞給我一張紅色的請帖
[00:00:58.000 --> 00:01:04.000]  他說我不會在電郵裡面給你一張請帖 因為太敏感了
[00:01:04.000 --> 00:01:09.000]  大家知道中國的情況是檢查的
[00:01:09.000 --> 00:01:16.000]  不過我現在遞上一張請帖 請你今晚完了婚禮之後請你到會
[00:01:16.000 --> 00:01:21.000]  我也問了當地的人 他們的禮俗是怎麼樣的
[00:01:21.000 --> 00:01:29.000]  一到他家我就遞上紅包 裡面有多少錢我不告訴你
[00:01:29.000 --> 00:01:32.000]  我也要做人情的
[00:01:32.000 --> 00:01:40.000]  不過那位院長很有趣的 就在紅包裡面抽了一張一百元人民幣出來
[00:01:40.000 --> 00:01:47.000]  然後原原本本給我 象徵收了我的人情
[00:01:47.000 --> 00:01:53.000]  他說你今晚可以來 他說牧師你知不知道我推了很多人來
[00:01:53.000 --> 00:02:00.000]  如果我不推 真的很多人會來 我搞不定的
[00:02:00.000 --> 00:02:02.000]  哪有那麼多錢請客
[00:02:02.000 --> 00:02:06.000]  他們內地和我們不同 我們發了請帖人才會來
[00:02:06.000 --> 00:02:10.000]  但他們不是的 你還沒發帖人家都要恭賀你
[00:02:10.000 --> 00:02:14.000]  他就拿了禮來 你就要請他了
[00:02:14.000 --> 00:02:20.000]  除非你推他說我不收你的禮 回給他 他就不可以來
[00:02:20.000 --> 00:02:25.000]  這些是內地人他們不同的文化 和我們不同
[00:02:25.000 --> 00:02:28.000]  當晚我出席他們的婚宴的時候
[00:02:28.000 --> 00:02:34.000]  真的發覺浙江人的飲宴和我們香港廣東人的是不同的
[00:02:34.000 --> 00:02:36.000]  我們是傳統的菜式
[00:02:36.000 --> 00:02:41.000]  由結婚開始 然後雞 魚 肉 弄到這樣下去
[00:02:41.000 --> 00:02:46.000]  他們不是的 先有八個涼菜 小碟涼菜
[00:02:46.000 --> 00:02:52.000]  只是吃涼菜已經飽了一半 接著有九個主菜
[00:02:52.000 --> 00:03:00.000]  他們沒有雞的 不過有鴨 有海參 很特別
[00:03:00.000 --> 00:03:10.000]  他們用黃色的 人米 異米 總之他們的燉海參一條給你吃
[00:03:10.000 --> 00:03:15.000]  很特別的一個經歷
[00:03:15.000 --> 00:03:20.000]  今天神都向你發出一張請帖 要你赴一個宴會
[00:03:20.000 --> 00:03:24.000]  但這個宴會並不是普通的宴會
[00:03:24.000 --> 00:03:31.000]  是一個超越人間的屬靈的宴會
[00:03:31.000 --> 00:03:34.000]  這個背景才寫的時候
[00:03:34.000 --> 00:03:42.000]  是針對當時以色列百姓仍然在巴比倫皮魯之地
[00:03:42.000 --> 00:03:48.000]  他們過去七十年生活 生活在一個異教的社會裏面
[00:03:48.000 --> 00:03:53.000]  但他們都要繼續做人處世 所以都要做生意
[00:03:53.000 --> 00:03:56.000]  做生意很多時候都要參加一些宴會
[00:03:56.000 --> 00:04:04.000]  宴會裏面會擺上水酒款待各位的嘉賓
[00:04:04.000 --> 00:04:09.000]  那些要付錢的
[00:04:09.000 --> 00:04:14.000]  但神說我現在給你一個更加好的屬靈的邀請
[00:04:14.000 --> 00:04:18.000]  是不需要付錢的 你只要來就行了
[00:04:18.000 --> 00:04:23.000]  所以這段聖經會來 所有觀看的人都來
[00:04:23.000 --> 00:04:30.000]  我就發給你一張人生美麗充實的請帖
[00:04:30.000 --> 00:04:38.000]  這張請帖是很誠懇的發出來的 一到八節
[00:04:38.000 --> 00:04:43.000]  但這張請帖寄給誰呢 一到三節
[00:04:43.000 --> 00:04:49.000]  這張請帖的內容是甚麼呢 有時間性的
