
[00:00:00.000 --> 00:00:01.800]  好 時候到了
[00:00:01.800 --> 00:00:05.080]  今天我終於要戴個口罩來講道
[00:00:05.080 --> 00:00:07.520]  那是不是真的會講短一點呢
[00:00:07.520 --> 00:00:10.520]  還是戴著口罩講慢一點
[00:00:10.520 --> 00:00:12.520]  要講長一點呢
[00:00:12.520 --> 00:00:15.440]  歡迎大家來到我們的《周六崇拜》
[00:00:15.440 --> 00:00:17.640]  真是非一般的時代
[00:00:17.640 --> 00:00:19.640]  非一般的崇拜
[00:00:19.640 --> 00:00:21.680]  這個禮拜如果你收到我的WhatsApp
[00:00:21.680 --> 00:00:23.920]  你就知道原本是我休息的
[00:00:23.920 --> 00:00:26.200]  這個禮拜本來是Dennis講的
[00:00:26.200 --> 00:00:29.920]  然後星期天我們請了一位美國弟兄講
[00:00:29.920 --> 00:00:31.920]  誰知道這個美國弟兄
[00:00:31.920 --> 00:00:33.720]  前兩天就跟我說
[00:00:33.720 --> 00:00:38.520]  他要帶著他懷孕的妻子回美國了
[00:00:38.520 --> 00:00:41.120]  因為這個疫症蔓延
[00:00:41.120 --> 00:00:44.240]  他就要下個禮拜才可以回香港
[00:00:44.240 --> 00:00:46.120]  就是他護送他的妻子回美國
[00:00:46.120 --> 00:00:47.840]  然後下個禮拜再回來
[00:00:47.840 --> 00:00:50.880]  於是我臨危受命
[00:00:50.880 --> 00:00:52.600]  只好盡力
[00:00:52.600 --> 00:00:56.000]  既然一切都是因為這個疫症開始
[00:00:56.000 --> 00:01:00.000]  那我不如講一篇跟疫症有關的道
[00:01:00.000 --> 00:01:02.520]  今天講道的經文是
[00:01:02.520 --> 00:01:05.960]  《馬太福音》第六章第九至十三節
[00:01:05.960 --> 00:01:09.240]  是大家很熟悉的主禱文
[00:01:09.240 --> 00:01:11.680]  耶穌給我們的主禱文
[00:01:11.680 --> 00:01:14.280]  講道的題目就不多熟悉了
[00:01:14.280 --> 00:01:15.920]  是這個時候才可以講的
[00:01:15.920 --> 00:01:19.920]  叫做《疫症蔓延,禱告天父》
[00:01:19.920 --> 00:01:21.360]  我本來開始的時候
[00:01:21.360 --> 00:01:23.560]  想的題目是想叫它做
[00:01:23.560 --> 00:01:25.800]  《疫症蔓延,如何禱告》
[00:01:25.800 --> 00:01:27.320]  是問號的
[00:01:27.320 --> 00:01:29.440]  後來我覺得不如正面一點
[00:01:29.440 --> 00:01:31.600]  給大家看張底牌
[00:01:31.600 --> 00:01:35.160]  於是我把題目變成了答案
[00:01:35.160 --> 00:01:36.640]  講題就是答案
[00:01:36.640 --> 00:01:40.640]  答案就是《疫症蔓延,禱告天父》
[00:01:40.640 --> 00:01:43.600]  問題就是疫症蔓延如何禱告
[00:01:43.600 --> 00:01:48.000]  答案就是《疫症蔓延,禱告天父》
[00:01:48.000 --> 00:01:50.200]  其實就算我這個禮拜不講道
