
[00:00:00.000 --> 00:00:13.000]  想想看 如果今天你是處在以色列或者巴勒斯坦的情況當中
[00:00:13.000 --> 00:00:20.000]  真的每一天可能能夠看到對方早上起來還活著
[00:00:20.000 --> 00:00:22.000]  都是一個恩典 是嗎
[00:00:22.000 --> 00:00:29.000]  所以我們在這裡 我們真的是珍惜每一天神給我們的日子
[00:00:31.000 --> 00:00:37.000]  我今天要跟他談尾巴戰爭 跟主再來
[00:00:37.000 --> 00:00:44.000]  你可能已經看了很多視頻有關什麼尾巴戰爭的問題
[00:00:44.000 --> 00:00:46.000]  叫糾糾結結
[00:00:46.000 --> 00:00:50.000]  我今天不需要去跟你再去談政論的問題
[00:00:50.000 --> 00:00:56.000]  但是我這些天發現說 特別我們基督徒
[00:00:56.000 --> 00:00:59.000]  我們沒有辦法跟這個分開 是不是
[00:01:00.000 --> 00:01:05.000]  甚至今天很多不是基督徒因著尾巴戰爭
[00:01:05.000 --> 00:01:10.000]  大家突然開始對聖經怎麼說開始有興趣了
[00:01:10.000 --> 00:01:13.000]  有沒有 也許就是你的朋友
[00:01:13.000 --> 00:01:15.000]  他們可能也會問這樣問題
[00:01:15.000 --> 00:01:21.000]  為什麼都是信神的 怎麼會打仗打成這個樣子呢
[00:01:21.000 --> 00:01:24.000]  很多時候基督徒也論不清楚
[00:01:24.000 --> 00:01:27.000]  確實也不容易 很複雜
[00:01:28.000 --> 00:01:31.000]  我今天也沒有時間講太多
[00:01:31.000 --> 00:01:35.000]  可是我要從聖經裡面 特別聖經的預言裡面
[00:01:35.000 --> 00:01:38.000]  來耶穌所說的 我們要來看
[00:01:38.000 --> 00:01:47.000]  首先我們看馬太平二十四章這段聖經
[00:01:47.000 --> 00:01:50.000]  我們剛才有讀過這段聖經嗎 沒有
[00:01:50.000 --> 00:01:58.000]  很長 那我們就 我講到哪裡就讀哪裡
[00:01:58.000 --> 00:02:01.000]  很長一段聖經 那麼我們等一下
[00:02:01.000 --> 00:02:03.000]  我會帶大家一起來看
[00:02:03.000 --> 00:02:06.000]  所以現在我們一起來看
[00:02:06.000 --> 00:02:16.000]  首先 聖經裡面有1817個預言 你知道嗎
[00:02:17.000 --> 00:02:21.000]  所以你讀聖經的時候 很多舊約裡面的預言
[00:02:21.000 --> 00:02:24.000]  特別到了先知書 很多的預言 對不對
[00:02:24.000 --> 00:02:27.000]  到新約還有預言 到了啟示錄
[00:02:27.000 --> 00:02:30.000]  我們曾經花了一年的時間講啟示錄
[00:02:30.000 --> 00:02:33.000]  啟示錄裡面充滿了各樣的預言
[00:02:33.000 --> 00:02:36.000]  那麼這些預言當中 我們看看
[00:02:36.000 --> 00:02:46.000]  百分之多少 96.2是已經完全應驗了
[00:02:46.000 --> 00:02:49.000]  就是對列國 對以色列的預言
[00:02:49.000 --> 00:02:51.000]  還有對耶穌基督的預言
[00:02:51.000 --> 00:02:54.000]  包括耶穌基督定十字架 是不是
[00:02:54.000 --> 00:02:56.000]  甚至耶穌定十字架 怎麼定十字架
[00:02:56.000 --> 00:02:58.000]  詩篇裡面都有講
[00:02:58.000 --> 00:03:02.000]  那麼這些預言已經有百分之96.2的
[00:03:02.000 --> 00:03:07.000]  已經實現了 還有百分之多少
[00:03:07.000 --> 00:03:12.000]  還有百分之3.8正在應驗的當中
[00:03:12.000 --> 00:03:18.000]  而這百分之3.8主要的都是跟什麼有關係
[00:03:18.000 --> 00:03:20.000]  末世
[00:03:20.000 --> 00:03:23.000]  這就是為什麼我們對末世
[00:03:23.000 --> 00:03:26.000]  你需要很清楚的知道
[00:03:26.000 --> 00:03:32.000]  因為現在其實就是在末世
[00:03:32.000 --> 00:03:34.000]  那麼這個末世的預言
[00:03:34.000 --> 00:03:40.000]  關係的不是只是整個的國家 民族
[00:03:40.000 --> 00:03:44.000]  它跟你我息息相關的
[00:03:44.000 --> 00:03:47.000]  所以我們需要對這些事情很清楚的明白
[00:03:47.000 --> 00:03:51.000]  那麼首先我們來看
[00:03:51.000 --> 00:03:55.000]  剛才我們所讀的聖經
[00:03:55.000 --> 00:03:57.000]  我們剛才沒有讀好
[00:03:57.000 --> 00:04:00.000]  我現在跟大家先看這一段
[00:04:00.000 --> 00:04:03.000]  來 我們來讀這一段好不好
