
[00:00:00.000 --> 00:00:06.000]  各位早晨 各位媽咪早晨
[00:00:06.000 --> 00:00:11.000]  很感謝林牧師給我機會在母親節講福音主日
[00:00:11.000 --> 00:00:13.000]  對我來說很有意義
[00:00:13.000 --> 00:00:16.000]  我媽媽在三年前回到天家
[00:00:16.000 --> 00:00:18.000]  每一次母親節我都在想
[00:00:18.000 --> 00:00:20.000]  怎樣去懷念我媽媽呢
[00:00:20.000 --> 00:00:22.000]  今天沒有什麼好得過
[00:00:22.000 --> 00:00:24.000]  我認識到很多這裡的會友
[00:00:24.000 --> 00:00:26.000]  也有一些新來的朋友
[00:00:26.000 --> 00:00:27.000]  大家一起分享一下
[00:00:27.000 --> 00:00:31.000]  究竟我們所敬愛的媽媽
[00:00:31.000 --> 00:00:33.000]  其實她的心願是什麼呢
[00:00:33.000 --> 00:00:37.000]  我們怎樣可以和她一起過一個很快樂的人生呢
[00:00:37.000 --> 00:00:39.000]  我在講的時候
[00:00:39.000 --> 00:00:44.000]  我很想大家去想一想
[00:00:44.000 --> 00:00:48.000]  這個疫情令到我們很難回教會
[00:00:48.000 --> 00:00:51.000]  不知道為什麼好像天父特別給我們在母親節
[00:00:51.000 --> 00:00:54.000]  可以這麼多人坐在這裡
[00:00:54.000 --> 00:00:57.000]  沒什麼是偶然的
[00:00:57.000 --> 00:00:58.000]  每一件事都可能
[00:00:58.000 --> 00:01:00.000]  你今天坐在這裡第一次
[00:01:00.000 --> 00:01:02.000]  可能成為生命裡面
[00:01:02.000 --> 00:01:04.000]  一個永遠發落的開始
[00:01:04.000 --> 00:01:06.000]  永遠發落的開始
[00:01:06.000 --> 00:01:10.000]  我媽媽很喜歡獎勵我讀書好
[00:01:10.000 --> 00:01:13.000]  多數一定是送寶寶給我
[00:01:13.000 --> 00:01:15.000]  送了整個童年都是寶寶
[00:01:15.000 --> 00:01:17.000]  所以我今天的講章
[00:01:17.000 --> 00:01:19.000]  都是寫在這本寶寶上
[00:01:19.000 --> 00:01:22.000]  當作我不放到電腦了
[00:01:22.000 --> 00:01:25.000]  一身不捨 還掛念我媽媽
[00:01:25.000 --> 00:01:29.000]  福音主義其實講的是四件事
[00:01:29.000 --> 00:01:34.000]  就是人是有希望
[00:01:34.000 --> 00:01:38.000]  這個希望是可以幫我們改變我們的生命的
[00:01:38.000 --> 00:01:39.000]  第二是什麼呢
[00:01:39.000 --> 00:01:44.000]  就是你要認識復活這兩個字的主角是誰
[00:01:44.000 --> 00:01:47.000]  第三件事就是在你絕望的時候
[00:01:47.000 --> 00:01:51.000]  人是會經歷到恩典的
[00:01:51.000 --> 00:01:54.000]  不是你的功勞可以換到任何結果
[00:01:54.000 --> 00:01:56.000]  是有恩典的
[00:01:56.000 --> 00:01:59.000]  最重要的一件事就是我們的生命
[00:01:59.000 --> 00:02:01.000]  我們每個人都有一個名字
[00:02:01.000 --> 00:02:04.000]  不知道你的名字是誰安給你的
[00:02:04.000 --> 00:02:08.000]  這個名字最重要是記在上帝的生命冊
[00:02:08.000 --> 00:02:10.000]  在天上的生命冊
[00:02:10.000 --> 00:02:15.000]  因為這個就是我們永遠永生的一個紀錄
[00:02:15.000 --> 00:02:18.000]  然後到最後我講完之後
[00:02:18.000 --> 00:02:23.000]  我就會想問大家你願不願意相信這個救主耶穌基督呢
[00:02:23.000 --> 00:02:26.000]  人可以改變
[00:02:26.000 --> 00:02:29.000]  我想第一個很大的改變就是
[00:02:29.000 --> 00:02:31.000]  當我做社工的時候
[00:02:31.000 --> 00:02:36.000]  我的前輩老闆都經常鼓勵我
[00:02:36.000 --> 00:02:40.000]  就是能夠改變到人是最快樂的行業
[00:02:40.000 --> 00:02:42.000]  所以我初初入行的時候
[00:02:42.000 --> 00:02:44.000]  我是做兒童中心
[00:02:44.000 --> 00:02:48.000]  我的老闆在我做了兩三個月就來探望我
[00:02:48.000 --> 00:02:50.000]  看看我做得怎麼樣
[00:02:50.000 --> 00:02:53.000]  就問我你搞的活動多不多人參加
[00:02:53.000 --> 00:02:56.000]  我說全部爆滿了
[00:02:56.000 --> 00:02:58.000]  我真的全院滿座
[00:02:58.000 --> 00:03:03.000]  那個鳳翔我九個小組的名字都掛著
[00:03:03.000 --> 00:03:05.000]  滿額滿額滿額滿額滿額
[00:03:05.000 --> 00:03:08.000]  我以為很快我就會加薪
[00:03:08.000 --> 00:03:10.000]  誰知道不是
[00:03:10.000 --> 00:03:12.000]  我老闆就沉了一塊臉
[00:03:12.000 --> 00:03:16.000]  他說你也是做了一半而已
[00:03:16.000 --> 00:03:20.000]  我心想我搞到滿座了
[00:03:20.000 --> 00:03:21.000]  還說我做了一半
[00:03:21.000 --> 00:03:23.000]  還有一半是什麼
[00:03:23.000 --> 00:03:25.000]  他說你要做另一半更重要
[00:03:25.000 --> 00:03:28.000]  就是所有來這個兒童中心的人
[00:03:28.000 --> 00:03:32.000]  最後他們可以回到家裡
[00:03:32.000 --> 00:03:36.000]  做一個盡責任的子女
[00:03:36.000 --> 00:03:40.000]  做一個盡責任的香港人
[00:03:40.000 --> 00:03:44.000]  我一直都覺得我很盡責
[00:03:44.000 --> 00:03:45.000]  做得很精彩
[00:03:45.000 --> 00:03:47.000]  引了很多人報名
[00:03:47.000 --> 00:03:48.000]  但原來不是
[00:03:48.000 --> 00:03:51.000]  我老闆提醒我一件事
[00:03:51.000 --> 00:03:53.000]  他們離開這個中心之後回到家裡
[00:03:53.000 --> 00:03:55.000]  究竟是個什麼人呢
[00:03:55.000 --> 00:03:58.000]  你不要帶他回家去愛他家
[00:03:58.000 --> 00:04:01.000]  從此就成為了我一個覺得很精彩的
[00:04:01.000 --> 00:04:04.000]  第一樣學到的哲理
[00:04:04.000 --> 00:04:06.000]  不過我做了一年多都不夠
[00:04:06.000 --> 00:04:09.000]  我一直不相信他這番話
[00:04:09.000 --> 00:04:11.000]  為什麼呢
[00:04:11.000 --> 00:04:13.000]  我教的其中一個小朋友
[00:04:13.000 --> 00:04:15.000]  是自殺
[00:04:15.000 --> 00:04:18.000]  這件事很震撼我的心
[00:04:18.000 --> 00:04:19.000]  馬上想起
