
[00:00:00.000 --> 00:00:08.040]  好 問一下你旁邊上個禮拜講什麼
[00:00:08.040 --> 00:00:11.380]  人生觀 謝媽媽 是吧
[00:00:11.380 --> 00:00:15.280]  喔 不是 是你 是你 是你 好
[00:00:15.280 --> 00:00:17.680]  Everly 好
[00:00:17.680 --> 00:00:20.980]  人生觀 所以問一下你旁邊
[00:00:20.980 --> 00:00:23.880]  清楚了嗎 你的人生觀是為什麼
[00:00:23.880 --> 00:00:26.140]  你的人生是為什麼 目的是什麼
[00:00:26.140 --> 00:00:27.800]  你的人生的意義是什麼
[00:00:27.800 --> 00:00:30.140]  這一個老掉牙的問題
[00:00:30.140 --> 00:00:33.500]  但是卻是我們一輩子都應該好好問的是嗎
[00:00:33.500 --> 00:00:36.000]  保羅在上一個禮拜的信息裡面講到說
[00:00:36.000 --> 00:00:40.200]  保羅他說 他說他無論是
[00:00:40.200 --> 00:00:41.940]  沒有任何一件事情
[00:00:41.940 --> 00:00:44.280]  凡是照著他所怯慕所愛慕的
[00:00:44.280 --> 00:00:46.400]  沒有一件事情叫他羞愧
[00:00:46.400 --> 00:00:47.980]  只有一件事情是什麼
[00:00:47.980 --> 00:00:49.440]  就是要 無論如何
[00:00:49.440 --> 00:00:52.540]  就是要叫基督在他的身上
[00:00:52.540 --> 00:00:59.680]  照常顯大
[00:00:59.680 --> 00:01:02.820]  所以從二十節開始
[00:01:02.820 --> 00:01:07.920]  保羅談到生死的問題
[00:01:07.920 --> 00:01:11.780]  接著我們來看 好
[00:01:11.780 --> 00:01:14.780]  我們看這段聖經好不好
[00:01:14.780 --> 00:01:16.520]  我們再一起來念
[00:01:16.520 --> 00:01:19.740]  因我活著就是基督
[00:01:19.740 --> 00:01:22.220]  我死了就有益處
[00:01:22.220 --> 00:01:24.440]  但我在肉身活著
[00:01:24.440 --> 00:01:27.080]  若成就我功夫的果子
[00:01:27.080 --> 00:01:29.880]  我就不知道該挑選什麼
[00:01:29.880 --> 00:01:32.240]  我正在兩難之間
[00:01:32.240 --> 00:01:35.520]  情願離世與基督同在
[00:01:35.520 --> 00:01:38.380]  因為這是好的無比的
[00:01:38.380 --> 00:01:40.320]  然而我在肉身活著
[00:01:40.320 --> 00:01:42.620]  為你們更是要緊的
[00:01:42.620 --> 00:01:44.540]  我既然這樣深信
[00:01:44.540 --> 00:01:47.520]  就知道人要住在世間
[00:01:47.520 --> 00:01:50.020]  且與你們眾人同住
[00:01:50.020 --> 00:01:52.520]  使你們在所信的道上
[00:01:52.520 --> 00:01:55.140]  又長進又喜樂
