
[00:00:00.000 --> 00:00:03.620]  平安!早晨!讓我們都在神的面前
[00:00:03.620 --> 00:00:06.900]  我們今天去等候祂自己的說話
[00:00:06.900 --> 00:00:09.420]  亦都讓聖靈在我們的中間
[00:00:09.420 --> 00:00:11.220]  來感動我們
[00:00:11.220 --> 00:00:12.780]  讓我們先低頭祈禱
[00:00:12.780 --> 00:00:17.400]  三一的神,我們多謝祢
[00:00:17.400 --> 00:00:22.740]  祢由始至終都是那麼愛我們
[00:00:22.740 --> 00:00:25.780]  祢是那位昨日、今日
[00:00:25.780 --> 00:00:28.500]  直到永遠都沒有改變的神
[00:00:30.140 --> 00:00:33.300]  願我們今早每一個人在祢面前的等候
[00:00:33.300 --> 00:00:37.900]  祢自己親自的對我們說話
[00:00:37.900 --> 00:00:40.140]  多謝祢!多謝祢!
[00:00:40.140 --> 00:00:43.300]  願聖靈在我們中間自由的運行
[00:00:43.300 --> 00:00:47.260]  我們這樣禱告,奉主明強,阿們
[00:00:47.260 --> 00:00:50.180]  今天很想跟大家宣講一句
[00:00:50.180 --> 00:00:53.060]  我覺得在我生命裏面有一個很重要的訊息
[00:00:55.700 --> 00:01:00.140]  聖靈在我們生命裏面來作供
[00:01:00.140 --> 00:01:02.500]  我看一看第一張的powerpoint
[00:01:02.500 --> 00:01:10.460]  在你右手邊,我們的核心價值裏面
[00:01:10.460 --> 00:01:14.340]  早前就跌了下來
[00:01:14.340 --> 00:01:17.380]  跌下來的時候,我心裏想
[00:01:17.380 --> 00:01:19.980]  有沒有甚麼提醒呢?
[00:01:19.980 --> 00:01:21.780]  就讓我想到
[00:01:21.780 --> 00:01:24.620]  其實當你進來燒浸的時候
[00:01:24.620 --> 00:01:26.060]  進入這間教會的時候
[00:01:26.060 --> 00:01:27.540]  你隨時都會聽到
[00:01:27.540 --> 00:01:31.180]  我們這間教會是一間向聖靈開放
[00:01:31.180 --> 00:01:33.100]  向聖靈更新的教會
[00:01:33.100 --> 00:01:40.220]  其實這樣不是特別要高舉聖靈
[00:01:40.220 --> 00:01:43.060]  要貶低聖父、聖子
[00:01:43.060 --> 00:01:44.260]  不是這樣的
[00:01:44.260 --> 00:01:47.180]  因為我們信的是一個三一的神
[00:01:47.180 --> 00:01:48.900]  讓大家看一下
[00:01:48.900 --> 00:01:51.460]  因為在過去一段時間
[00:01:51.460 --> 00:01:52.580]  我在兒童崇拜
[00:01:52.580 --> 00:01:54.980]  跟他們教導使徒信經
[00:01:54.980 --> 00:01:58.980]  就是每一個人都應該懂得背誦信仰的信經
[00:01:58.980 --> 00:02:07.740]  就叫他們做了一個這樣的手工
[00:02:07.740 --> 00:02:09.580]  沒有那麼大個
[00:02:09.580 --> 00:02:11.500]  我特別給你們大個一點
[00:02:11.500 --> 00:02:12.700]  他們是小的
[00:02:12.700 --> 00:02:14.740]  在當中裏面是甚麼呢?
[00:02:14.740 --> 00:02:16.260]  聖父
[00:02:16.260 --> 00:02:17.540]  然後呢?
[00:02:17.540 --> 00:02:20.460]  然後呢?
[00:02:20.460 --> 00:02:22.060]  是的
[00:02:22.580 --> 00:02:26.940]  其實這個等邊三角形的這個錐體
[00:02:26.940 --> 00:02:28.100]  你怎樣看它呢?
[00:02:28.100 --> 00:02:29.380]  它是一樣的
[00:02:29.380 --> 00:02:30.740]  行不行?
[00:02:30.740 --> 00:02:32.020]  是一樣的
[00:02:32.020 --> 00:02:33.860]  三一的神
[00:02:33.860 --> 00:02:36.740]  在我們的生命裏面
[00:02:36.740 --> 00:02:39.220]  其實聖靈對我們一點都不陌生
[00:02:39.220 --> 00:02:42.500]  我小時候就已經知道
[00:02:42.500 --> 00:02:43.620]  聖父、聖子、聖靈
[00:02:43.620 --> 00:02:45.260]  不過這個觀念
[00:02:45.260 --> 00:02:48.780]  就歷代以來都告訴我們
[00:02:48.780 --> 00:02:52.220]  似乎靠我們的頭腦都很難去明白
[00:02:52.220 --> 00:02:53.820]  為甚麼有三位一體呢?
[00:02:53.820 --> 00:02:54.820]  是不是?
[00:02:54.820 --> 00:02:56.540]  到底是三個還是一個呢?
[00:02:56.540 --> 00:02:59.780]  但是聖經很清楚告訴我們
[00:02:59.780 --> 00:03:03.260]  聖父、聖子、聖靈
[00:03:03.260 --> 00:03:06.420]  是同尊、同榮、同等的
[00:03:06.420 --> 00:03:10.620]  所以我們沒有需要害怕
[00:03:10.620 --> 00:03:11.620]  哎呀!慘了
[00:03:11.620 --> 00:03:12.740]  聖靈、聖靈
[00:03:12.740 --> 00:03:13.820]  聖靈到底是誰?
[00:03:13.820 --> 00:03:15.060]  真的看不到的
[00:03:15.060 --> 00:03:17.820]  不過我們知道三位一體裏面
[00:03:17.820 --> 00:03:19.860]  是講出一個很重要的訊息
[00:03:22.940 --> 00:03:24.460]  我信上帝
[00:03:24.460 --> 00:03:26.220]  使徒信經一開始講
[00:03:26.220 --> 00:03:28.860]  這個聖父是全能的神
[00:03:28.860 --> 00:03:30.420]  創造天地的主
[00:03:30.420 --> 00:03:31.900]  是創造你我的主
[00:03:31.900 --> 00:03:34.100]  你我的神
[00:03:34.100 --> 00:03:36.380]  一直以來
[00:03:36.380 --> 00:03:37.780]  這位聖父
[00:03:37.780 --> 00:03:39.140]  都是怎樣呢?
[00:03:39.140 --> 00:03:42.820]  來透過先知
[00:03:42.820 --> 00:03:44.140]  歷代的先知
[00:03:44.140 --> 00:03:45.340]  或者時事
[00:03:45.340 --> 00:03:46.780]  所有的他自己的僕人
[00:03:46.780 --> 00:03:48.380]  是對我們講說話的
[00:03:48.380 --> 00:03:51.100]  但是到了一個時候
[00:03:51.100 --> 00:03:51.500]  神說
[00:03:51.500 --> 00:03:53.860]  哎呀!時候滿了
[00:03:53.860 --> 00:03:54.980]  希伯來書說
[00:03:54.980 --> 00:03:58.620]  祂自己就道成肉身來到這個世界
