
[00:00:00.000 --> 00:00:02.700]  美國有一位很出名的牧師
[00:00:02.700 --> 00:00:04.700]  他講道講得很好
[00:00:04.700 --> 00:00:07.700]  很多人從路遠的地方來
[00:00:07.700 --> 00:00:10.500]  都是爲了想聽他講道
[00:00:10.500 --> 00:00:14.000]  在一個星期天的清晨
[00:00:14.000 --> 00:00:17.000]  這位牧師病了
[00:00:17.000 --> 00:00:18.200]  講不了道
[00:00:18.200 --> 00:00:21.700]  於是教會就請了另外一位傳道
[00:00:21.700 --> 00:00:24.700]  一位牧師來代他
[00:00:24.700 --> 00:00:27.700]  在這個早上
[00:00:27.700 --> 00:00:29.700]  教會好像平時一樣
[00:00:29.700 --> 00:00:32.700]  一早就聚集了大批
[00:00:32.700 --> 00:00:35.700]  慕名而來的羣衆
[00:00:35.700 --> 00:00:37.700]  參加崇拜
[00:00:37.700 --> 00:00:39.700]  崇拜開始了
[00:00:39.700 --> 00:00:42.700]  差不多講道的時候
[00:00:42.700 --> 00:00:45.700]  主席就上臺宣佈
[00:00:45.700 --> 00:00:47.700]  這位名牧病了
[00:00:47.700 --> 00:00:49.700]  不能夠講道
[00:00:49.700 --> 00:00:54.700]  並且介紹那天做替工的那位牧師
[00:00:54.700 --> 00:00:58.700]  這個時候大家知不知道發生了什麼事
[00:00:58.700 --> 00:01:01.700]  有幾個慕名而來的人
[00:01:01.700 --> 00:01:04.700]  很失望地站起來
[00:01:04.700 --> 00:01:07.700]  並且準備離開
[00:01:07.700 --> 00:01:11.700]  這個時候那位做替工的牧師
[00:01:11.700 --> 00:01:14.700]  就在臺上大聲地說
[00:01:14.700 --> 00:01:17.700]  所有來敬拜牧師的
[00:01:17.700 --> 00:01:19.700]  現在可以離開了
[00:01:19.700 --> 00:01:21.700]  來敬拜神的
[00:01:21.700 --> 00:01:25.700]  請你們安坐在座位中
[00:01:25.700 --> 00:01:28.700]  我們沒有人離開
[00:01:28.700 --> 00:01:30.700]  感恩
[00:01:30.700 --> 00:01:33.700]  我們也不是來敬拜牧師的
[00:01:33.700 --> 00:01:36.700]  但我們又知不知道我們來敬拜哪一個呢
[00:01:36.700 --> 00:01:39.700]  我們應該以一個什麼樣的態度
[00:01:39.700 --> 00:01:41.700]  來敬拜呢
[00:01:41.700 --> 00:01:44.700]  如果這些問題我們搞不清楚的時候
[00:01:44.700 --> 00:01:48.700]  我們的焦點很可能就會放錯了
[00:01:48.700 --> 00:01:49.700]  像那些人那樣
[00:01:49.700 --> 00:01:52.700]  將焦點放在講道的人身上
[00:01:52.700 --> 00:01:55.700]  又或者放在音樂上
[00:01:55.700 --> 00:01:57.700]  崇拜的音樂
[00:01:57.700 --> 00:01:58.700]  崇拜的詩歌
[00:01:58.700 --> 00:02:01.700]  又或者崇拜的模式上
[00:02:01.700 --> 00:02:03.700]  沒錯
[00:02:03.700 --> 00:02:06.700]  如果負責講道的人
[00:02:06.700 --> 00:02:08.700]  在臺上胡說八道
[00:02:08.700 --> 00:02:13.700]  沒有按着正確的意思來解釋神的話
[00:02:13.700 --> 00:02:15.700]  又或者大部分詩歌
[00:02:15.700 --> 00:02:17.700]  都是非常難唱
[00:02:17.700 --> 00:02:19.700]  不懂唱
[00:02:19.700 --> 00:02:21.700]  那些音樂又嘈吵
[00:02:21.700 --> 00:02:23.700]  或者一個小時的崇拜
[00:02:23.700 --> 00:02:24.700]  做了半個小時
[00:02:24.700 --> 00:02:25.700]  都是站在那裏
[00:02:25.700 --> 00:02:26.700]  站到腳都累了
[00:02:26.700 --> 00:02:32.700]  的確就會妨礙了人專心來敬拜神
[00:02:32.700 --> 00:02:34.700]  那時候帶領崇拜的人
[00:02:34.700 --> 00:02:37.700]  就應該好好檢討反省
[00:02:37.700 --> 00:02:43.700]  我們不能夠但求自我感覺良好就算
[00:02:43.700 --> 00:02:46.700]  只不過作爲參加崇拜的每一位
[00:02:46.700 --> 00:02:49.700]  我們無論在臺上或在臺下
[00:02:49.700 --> 00:02:53.700]  我們又知不知道我們敬拜的對象是誰呢
[00:02:53.700 --> 00:02:57.700]  我們敬拜的時候應該有怎樣的態度呢
[00:02:57.700 --> 00:03:01.700]  今天就輪到我講啓示錄第四和第五章
[00:03:01.700 --> 00:03:07.700]  這一段經文是講天上的敬拜
[00:03:07.700 --> 00:03:11.700]  當中對於我們參加敬拜的人
[00:03:11.700 --> 00:03:13.700]  有三方面的提醒
[00:03:13.700 --> 00:03:15.700]  第一方面就是
[00:03:15.700 --> 00:03:16.700]  我們敬拜的對象
[00:03:16.700 --> 00:03:20.700]  其實就是那位創造和救贖的主
[00:03:20.700 --> 00:03:23.700]  而不是牧師
[00:03:23.700 --> 00:03:26.700]  在啓示錄第二和第三章
[00:03:26.700 --> 00:03:31.700]  神吩咐約翰寫七封信給當時的教會
[00:03:31.700 --> 00:03:32.700]  在這七封信裏
[00:03:32.700 --> 00:03:37.700]  大多數的教會都有被神責備
[00:03:37.700 --> 00:03:41.700]  面對世上的逼迫和挑戰的時候
[00:03:41.700 --> 00:03:44.700]  都有隨波逐流的情況出現
[00:03:44.700 --> 00:03:47.700]  只不過經文沒有停留在
[00:03:47.700 --> 00:03:49.700]  這些日趨敗壞的事情上
