
[00:00:00.000 --> 00:00:05.040]  早晨 大家好 很開心能夠和大家一起敬拜 服侍天父上帝
[00:00:05.040 --> 00:00:10.280]  我相信在過去這兩個星期 我們不斷地和大家說
[00:00:10.280 --> 00:00:16.120]  我們教會今年的主題大大隻在我們的週刊裏面顯示出來
[00:00:16.120 --> 00:00:19.120]  雖然是英文 不過我相信大家可以捉到它的意思
[00:00:19.120 --> 00:00:21.720]  We are the Church, doing life together
[00:00:21.720 --> 00:00:27.160]  這是去年的主題 但今年裏面來說 我們加多了什麼呢?And beyond
[00:00:27.160 --> 00:00:29.160]  我們不單單知道我們是神的教會
[00:00:29.160 --> 00:00:32.400]  我們不單單知道我們一起去活出耶穌基督的生命
[00:00:32.400 --> 00:00:35.440]  我們更加很希望能夠將我們的生命
[00:00:35.440 --> 00:00:38.880]  不單單是在教會里面才活出來
[00:00:38.880 --> 00:00:43.240]  教會以外 and beyond 要活得更加豐盛
[00:00:43.240 --> 00:00:49.640]  將神在我們生命當中的工作帶給教會以外的人
[00:00:49.640 --> 00:00:53.320]  我相信我們教會其實已經朝着一個方向
[00:00:53.320 --> 00:00:56.720]  開始走這條路都有幾年的時間
[00:00:56.720 --> 00:00:59.840]  on and off 我們時時提醒 鼓勵大家去做這件事
[00:00:59.840 --> 00:01:04.280]  不過 年初的時間跟大家說 我們仍需要努力
[00:01:04.280 --> 00:01:07.120]  我們還有一段距離 我們還未能達標
[00:01:07.120 --> 00:01:10.440]  所以我們要繼續努力求神幫助我們
[00:01:10.440 --> 00:01:13.520]  能夠完成祂交付給我們的工作
[00:01:13.520 --> 00:01:16.520]  當然 如果我們要衝破教會的界限
[00:01:16.520 --> 00:01:20.160]  是因爲自己不知不覺中定了一些界限
[00:01:20.160 --> 00:01:23.080]  以致很多時候我們很難踏出去
[00:01:23.080 --> 00:01:25.800]  所以我們求主要改變我們
[00:01:25.800 --> 00:01:28.200]  求主改變我們的生命 改變我們的心思意念
[00:01:28.200 --> 00:01:30.800]  這是上個禮拜跟大家說的
[00:01:30.800 --> 00:01:32.440]  這個禮拜呢
[00:01:32.440 --> 00:01:35.680]  如果我們要衝破教會的障礙
[00:01:35.680 --> 00:01:38.400]  完成神給我們的使命的時候
[00:01:38.400 --> 00:01:41.000]  我們必須要做一件事
[00:01:41.000 --> 00:01:46.320]  就是啓動神已經放在我們生命當中的能源
[00:01:46.320 --> 00:01:48.440]  啓動能源
[00:01:48.440 --> 00:01:53.400]  這是今天我要跟大家分享的一個題目
[00:01:53.400 --> 00:01:57.720]  其實呢 你覺得自己有沒有能力呢
[00:01:57.720 --> 00:01:59.360]  有沒有力量呢
[00:01:59.360 --> 00:02:01.200]  面對每日的生活的時候
[00:02:01.200 --> 00:02:08.040]  我相信我們有時會覺得缺乏能力
