
[00:00:00.000 --> 00:00:05.000]  在廣東話裏面,有一句俗語叫做「死性不改」。
[00:00:05.000 --> 00:00:08.000]  廣東話裏面有一句俗語叫做「死性不改」。
[00:00:08.000 --> 00:00:11.000]  講得好聽一點,就叫做「本性難移」。
[00:00:11.000 --> 00:00:14.000]  就說得好聽一點,就是「本性難移」。
[00:00:14.000 --> 00:00:21.000]  但是呢,神就將這個工作或者猜命就交了給我們基督徒。
[00:00:21.000 --> 00:00:25.000]  神就將這樣一個猜命交給我們基督徒。
[00:00:25.000 --> 00:00:28.000]  究竟一個人的性情有多難去改變呢?
[00:00:28.000 --> 00:00:31.000]  究竟一個人的性情有多難去改變呢?
[00:00:31.000 --> 00:00:36.000]  我們不需要看太多的事情,都可以留意得到。
[00:00:36.000 --> 00:00:39.000]  我們不需要看太多的事情,都可以留意得到。
[00:00:39.000 --> 00:00:42.000]  那些小習慣呢,其實我們都留意得到,
[00:00:42.000 --> 00:00:46.000]  我們自己有些惡不好的習慣呢,其實都改不了的。
[00:00:46.000 --> 00:00:51.000]  你覺得有些比較小的習慣,就會看到我們有些惡習的困難感。
[00:00:51.000 --> 00:00:59.000]  譬如呢,我說一些例子,沒有針對任何人的,只不過大家看看我有沒有這樣。
[00:00:59.000 --> 00:01:05.000]  譬如我講一個例子,這個例子不是針對任何人,你自己再去說跟你有沒有關係。
[00:01:05.000 --> 00:01:08.000]  第一樣東西就是,吃飯就不拿碗。
[00:01:08.000 --> 00:01:09.000]  第一樣東西就是,吃飯就不拿碗。
[00:01:09.000 --> 00:01:11.000]  譬如吃飯的時候不拿碗。
[00:01:11.000 --> 00:01:14.000]  你知道中國人吃飯呢,有一個傳統是要拿碗的嗎?
[00:01:14.000 --> 00:01:14.000]  你知道中國人吃飯呢,有一個傳統是要拿碗的嗎?
[00:01:14.000 --> 00:01:15.000]  你知道中國人吃飯呢,有一個傳統是要拿碗的嗎?
[00:01:15.000 --> 00:01:18.000]  中國人吃飯有一個傳統,就是吃飯的時候要把碗拿起來。
[00:01:18.000 --> 00:01:21.000]  我們就不是日本人。
[00:01:21.000 --> 00:01:22.000]  我們不是日本人。
[00:01:22.000 --> 00:01:24.000]  日本人就不拿碗。
[00:01:24.000 --> 00:01:26.000]  日本人是不把飯拿起來的。
[00:01:26.000 --> 00:01:28.000]  日本人是夾飯的。
[00:01:28.000 --> 00:01:30.000]  日本人就是夾飯。
[00:01:30.000 --> 00:01:32.000]  韓國人呢,又是不拿碗的。
[00:01:32.000 --> 00:01:34.000]  韓國人也不是不拿碗的。
[00:01:34.000 --> 00:01:36.000]  他們是不飯的。
[00:01:36.000 --> 00:01:38.000]  他們是剝飯。
[00:01:38.000 --> 00:01:44.000]  不過我習慣我們中國人的習慣,一個人吃飯要拿起碗來吃的。
[00:01:44.000 --> 00:01:46.000]  中國人吃飯是先把碗拿起來。
[00:01:46.000 --> 00:01:48.000]  這個叫做扒飯。
[00:01:48.000 --> 00:01:50.000]  扒飯。
[00:01:50.000 --> 00:01:52.000]  你們不是這樣的嗎?
[00:01:52.000 --> 00:01:56.000]  第二個我留意到的情況呢,
[00:01:56.000 --> 00:02:00.000]  最容易的情況就是按腳。
[00:02:00.000 --> 00:02:02.000]  按腳。
[00:02:02.000 --> 00:02:04.000]  按腳。
[00:02:04.000 --> 00:02:06.000]  我不懂普通話。
[00:02:06.000 --> 00:02:08.000]  按按按按按。
[00:02:08.000 --> 00:02:10.000]  這是什麼?
[00:02:10.000 --> 00:02:16.000]  這是叫多手腳。
[00:02:16.000 --> 00:02:19.000]  OK,醫生請教我這個是什麼意思。
[00:02:19.000 --> 00:02:24.000]  第三呢,我留意到的小習慣就是去完廁所不洗手。
