
[00:00:00.000 --> 00:00:05.000]  我們今天要講的題目是很直接的
[00:00:05.000 --> 00:00:07.800]  我們今天要講的題目是十分直接的
[00:00:07.800 --> 00:00:11.500]  侍奉有三個要點
[00:00:11.500 --> 00:00:18.200]  我當然是藉著今天的經文來講
[00:00:18.200 --> 00:00:22.500]  第一個要點是什麼呢?
[00:00:22.500 --> 00:00:27.400]  侍奉是一種愛神的回應
[00:00:27.400 --> 00:00:30.500]  不如我們一同讀,這節大家很熟悉
[00:00:30.500 --> 00:00:34.500]  但是我相信可能我們都還沒做到
[00:00:34.500 --> 00:00:36.500]  我們一起讀十二章第一節
[00:00:36.500 --> 00:00:39.900]  相信大家都很熟,但是都未必可以做到的
[00:00:39.900 --> 00:00:41.900]  我們一起讀
[00:00:41.900 --> 00:00:47.300]  所以弟兄們,我以神的慈悲勸你們
[00:00:47.300 --> 00:00:51.300]  將身體獻上當作活祭
[00:00:51.300 --> 00:00:55.300]  是聖節的,是神所喜悅的
[00:00:55.300 --> 00:01:01.300]  你們如此侍奉,乃是理所當然的
[00:01:01.300 --> 00:01:05.800]  「偽身侍奉」是獻上整個人的身心
[00:01:05.800 --> 00:01:10.000]  「偽身侍奉」是獻上整個人的心身
[00:01:10.000 --> 00:01:18.000]  神說,我不通是要你的祭身和油嗎?
[00:01:18.000 --> 00:01:21.300]  神說,我只是要你的祭身和油嗎?
[00:01:21.300 --> 00:01:24.300]  你如果看尼加書第六章第七節
[00:01:24.300 --> 00:01:29.300]  最近我們在靈媒日糧都有看這段經文
[00:01:29.300 --> 00:01:32.300]  如果我們看尼加書六章第七到第八節
[00:01:32.300 --> 00:01:35.300]  如果我們看靈媒日糧的時候都可以看到這段經文
[00:01:35.300 --> 00:01:44.800]  六章第七節上說,耶和華喜悅千千的供養
[00:01:44.800 --> 00:01:49.300]  或是萬萬的由何嗎?
[00:01:49.300 --> 00:01:56.300]  世人啊,耶和華已指示你何為善
[00:01:56.300 --> 00:02:01.300]  祂向你所要的是什麼呢?
[00:02:01.300 --> 00:02:06.300]  只要你行公義,好憐憫
[00:02:06.300 --> 00:02:12.300]  存謙卑的心,以你的神同行
[00:02:12.300 --> 00:02:18.300]  以色列人以為用祭身,獻祭身就能夠表達他們對神的虔誠
[00:02:18.300 --> 00:02:23.300]  以色列人以為用祭身,獻祭身就可以表達他們對神的虔誠
[00:02:23.300 --> 00:02:28.300]  其實神根本就不需要他們獻祭
[00:02:28.300 --> 00:02:33.300]  因為所有的物質都是祂所造的
[00:02:33.300 --> 00:02:38.300]  對祂來說,這些物質是多的事
[00:02:38.300 --> 00:02:42.300]  祂需要以色列人全心全意地行公義,好憐憫
[00:02:42.300 --> 00:02:46.300]  祂需要以色列人全心全意地行公義,好憐憫
[00:02:46.300 --> 00:02:49.300]  然後存謙卑的心與祂同行
[00:02:49.300 --> 00:02:53.300]  最後取謙卑的心與祂同行
[00:02:53.300 --> 00:02:57.300]  所以神要求我們整個人投上去侍奉祂
[00:02:57.300 --> 00:03:01.300]  所以神要求我們整個人投上去侍奉祂
[00:03:01.300 --> 00:03:04.300]  就是全然的偽身
[00:03:04.300 --> 00:03:10.300]  這就是羅馬書所說的將身體獻上當作活祭
[00:03:10.300 --> 00:03:14.300]  這就是羅馬書所說的將身體獻上當作活祭
[00:03:14.300 --> 00:03:18.300]  但是我剛才說侍奉是一種愛神的回應
[00:03:18.300 --> 00:03:21.300]  但是我剛才說侍奉是一種愛神的回應
[00:03:21.300 --> 00:03:23.300]  因為偽身是要出於愛的
[00:03:23.300 --> 00:03:26.300]  因為偽身是要出於愛的
[00:03:26.300 --> 00:03:30.300]  因為我們感受到神愛我們,所以我們要偽身去愛神
[00:03:30.300 --> 00:03:34.300]  因為我們感受到神愛我們,所以我們要偽身去愛人
[00:03:34.300 --> 00:03:39.300]  如果我們看哥倫多前書十三章第三節
[00:03:39.300 --> 00:03:45.300]  如果我們看哥倫多前書十三章第三節
[00:03:45.300 --> 00:03:50.300]  如果我們可以將所有的東西周濟窮人
