
[00:00:00.000 --> 00:00:04.000]  今日和大家分享的就是《馬禾福音》
[00:00:04.000 --> 00:00:07.000]  《馬禾福音》是四福音裏面
[00:00:07.000 --> 00:00:10.000]  最短的一卷福音書
[00:00:10.000 --> 00:00:15.000]  《馬禾福音》亦是最早寫成的福音書
[00:00:15.000 --> 00:00:18.000]  裏面有更多比其他的
[00:00:18.000 --> 00:00:21.000]  更多的原始的紀錄
[00:00:21.000 --> 00:00:23.000]  第一手的資料
[00:00:23.000 --> 00:00:27.000]  《馬禾福音》裏面所講的耶穌
[00:00:27.000 --> 00:00:33.000]  大家看到祂的個性、祂的性情
[00:00:33.000 --> 00:00:35.000]  而今年我們有一個系列
[00:00:35.000 --> 00:00:39.000]  就是會帶大家去思想《馬禾福音》
[00:00:39.000 --> 00:00:46.000]  尤其是有關大使命、全福音、門徒訓練
[00:00:46.000 --> 00:00:50.000]  這些是我們今年想帶大家去思想的題目
[00:00:50.000 --> 00:00:52.000]  《馬禾福音》大家都知道
[00:00:52.000 --> 00:00:59.000]  祂很受到初期教會的使徒、門徒影響
[00:00:59.000 --> 00:01:02.000]  譬如彼得、保羅、巴拿巴
[00:01:02.000 --> 00:01:05.000]  這些都是影響祂很深的人
[00:01:05.000 --> 00:01:09.000]  因此祂寫《馬禾福音》的時候
[00:01:09.000 --> 00:01:14.000]  祂能夠有很多第一手的資料
[00:01:14.000 --> 00:01:19.000]  祂寫成的時間大概在公元七十年
[00:01:19.000 --> 00:01:22.000]  之前、之後
[00:01:22.000 --> 00:01:30.000]  在這段時間其實正值猶太地動亂的時候
[00:01:30.000 --> 00:01:32.000]  他們有革命
[00:01:32.000 --> 00:01:37.000]  他們的革命引致到公元七十年的時候
[00:01:37.000 --> 00:01:41.000]  聖城被毀、聖殿被毀
[00:01:41.000 --> 00:01:45.000]  這段時間祂寫《馬禾福音》的時候
[00:01:45.000 --> 00:01:52.000]  祂心裏面我相信會為祂自己的民族有很多憂傷
[00:01:52.000 --> 00:01:57.000]  這段時期不是我們這樣看字面
[00:01:57.000 --> 00:01:59.000]  是這樣平靜
[00:01:59.000 --> 00:02:04.000]  不是我們說有羅馬和平盛世的時候這樣平靜
