
[00:00:00.000 --> 00:00:05.640]  我們今年的主題是講到walk by the spirit
[00:00:05.640 --> 00:00:06.340]  講到聖靈
[00:00:06.340 --> 00:00:09.220]  其實那是從加拉太書裡面出來的
[00:00:09.220 --> 00:00:13.580]  加拉太書第五章 第六章就開始講到生活
[00:00:13.580 --> 00:00:15.780]  保羅的書信有這樣的特色
[00:00:15.780 --> 00:00:18.660]  就是前面講教義 後面講生活
[00:00:18.660 --> 00:00:25.420]  那所以今年我會以加拉太書來作為主軸
[00:00:25.420 --> 00:00:30.080]  那加拉太書是可以說是
[00:00:30.080 --> 00:00:32.880]  在馬丁路德在這個改教的時候
[00:00:32.880 --> 00:00:35.380]  十六世紀宗教改革的當中
[00:00:35.380 --> 00:00:38.560]  最重要的兩卷書
[00:00:38.560 --> 00:00:40.320]  一個就是羅馬書
[00:00:40.320 --> 00:00:44.520]  另外一個就是什麼 加拉太書
[00:00:44.520 --> 00:00:48.920]  所以加拉太書又稱為是基督徒自由的憲章
[00:00:48.920 --> 00:00:54.720]  因為整個加拉太書在講到律法跟自由的問題
[00:00:54.720 --> 00:00:59.980]  從這個猶太教的律法的主義的裡面
[00:00:59.980 --> 00:01:03.620]  怎麼樣子能夠是經歷聖靈的重生
[00:01:03.620 --> 00:01:08.820]  做神的兒子如今不再是活在奴僕的這個裡面
[00:01:08.820 --> 00:01:13.620]  而能夠是在聖靈的裡面得到自由
[00:01:13.620 --> 00:01:18.660]  那這是加拉太書一個很重要的message
[00:01:18.660 --> 00:01:22.660]  那麼加拉太書 馬丁路德
[00:01:22.660 --> 00:01:26.420]  稱它叫做Catherine
[00:01:26.420 --> 00:01:27.520]  Catherine是誰呢
[00:01:27.520 --> 00:01:31.120]  Catherine是他的太太
[00:01:31.120 --> 00:01:33.220]  所以你就可以了解到
[00:01:33.220 --> 00:01:35.880]  馬丁路德對這卷書的喜愛了
[00:01:35.880 --> 00:01:38.120]  因為他為什麼說他叫Catherine
[00:01:38.120 --> 00:01:42.280]  因為他說我跟他結婚了
[00:01:42.280 --> 00:01:47.760]  所以馬丁路德非常喜愛加拉太書
[00:01:47.760 --> 00:01:51.180]  雖然我們大概聽到的都是羅馬書對不對
[00:01:51.180 --> 00:01:52.880]  英姓稱義
[00:01:52.880 --> 00:01:54.880]  可是加拉太書跟羅馬書
[00:01:54.880 --> 00:01:57.380]  其實有很多相近的地方
[00:01:57.380 --> 00:02:01.760]  同樣在講到英姓稱義這件事情
[00:02:01.760 --> 00:02:05.220]  所以我今天要跟他講
[00:02:05.220 --> 00:02:10.120]  加拉太書第一章第一節到第十節
[00:02:10.120 --> 00:02:11.660]  講到什麼呢
[00:02:11.660 --> 00:02:16.660]  講到一個真正的福音
[00:02:16.660 --> 00:02:34.080]  剛才我們已經念了經文是不是
[00:02:34.080 --> 00:02:36.920]  加拉太書第一章第一到第十節呢
[00:02:36.920 --> 00:02:39.920]  第一節到第五節是保羅的問安
[00:02:39.920 --> 00:02:43.080]  你會發現保羅的問安在書信裡面
[00:02:43.080 --> 00:02:46.660]  保羅即使是像哥林多教會這樣子的教會
[00:02:46.660 --> 00:02:49.060]  保羅的問安裡面都還稱讚他們
[00:02:49.060 --> 00:02:52.920]  可是加拉太書沒有
[00:02:52.920 --> 00:02:55.520]  加拉太書保羅的問安裡面呢
[00:02:55.520 --> 00:02:56.520]  簡短的提了說
[00:02:56.520 --> 00:02:57.960]  願恩惠平安歸於你們
[00:02:57.960 --> 00:03:02.080]  這個是他自示的一個問安方式
[00:03:02.080 --> 00:03:04.120]  接著你看看
[00:03:04.120 --> 00:03:07.220]  他沒有講到稱讚他們的
[00:03:07.220 --> 00:03:11.280]  而且到後面保羅的用詞非常強烈
[00:03:11.280 --> 00:03:13.920]  非常地措辭非常激烈
[00:03:13.920 --> 00:03:19.820]  第六節開始
[00:03:19.820 --> 00:03:24.760]  保羅說我吸引你們這麼快就離開
[00:03:24.760 --> 00:03:31.920]  那藉著基督之恩召你們去從別的福音
[00:03:31.920 --> 00:03:34.280]  所以在這邊講到別的福音
[00:03:34.280 --> 00:03:37.820]  千秋之輩我們還有我們所傳的福音
[00:03:37.820 --> 00:03:40.220]  我們所信的福音是什麼福音啊
[00:03:40.220 --> 00:03:43.660]  保羅說你們所聽到所接受的
[00:03:43.660 --> 00:03:48.820]  現在有人講別的福音
