
[00:00:00.000 --> 00:00:02.000]  弟兄姐妹午安
[00:00:02.000 --> 00:00:07.000]  很感謝施班為我們唱出一首如此安慰的詩歌
[00:00:07.000 --> 00:00:10.000]  能夠成為主的小羊
[00:00:10.000 --> 00:00:12.000]  或者老羊都好
[00:00:12.000 --> 00:00:14.000]  都是一個很大的福分
[00:00:14.000 --> 00:00:16.000]  今天我們會繼續看
[00:00:16.000 --> 00:00:21.000]  帖薩諾尼加後書2章13到17節
[00:00:21.000 --> 00:00:23.000]  一個很小的段落
[00:00:23.000 --> 00:00:25.000]  只有5節的經文
[00:00:25.000 --> 00:00:27.000]  在預備的過程中
[00:00:27.000 --> 00:00:30.000]  都做了很多整理和反省
[00:00:30.000 --> 00:00:35.000]  在想教會應該怎樣運作呢
[00:00:35.000 --> 00:00:38.000]  信徒的生命是怎樣建立
[00:00:38.000 --> 00:00:40.000]  才是最有效
[00:00:40.000 --> 00:00:44.000]  最符合聖經的指引
[00:00:44.000 --> 00:00:50.000]  基督教最重要的核心價值是甚麼呢
[00:00:50.000 --> 00:00:54.000]  所以希望透過稍後的講解
[00:00:54.000 --> 00:00:59.000]  都能夠幫助大家在你的心田裡
[00:00:59.000 --> 00:01:02.000]  能夠直入神自己的說話
[00:01:02.000 --> 00:01:05.000]  和大家得著方向和激勵
[00:01:05.000 --> 00:01:08.000]  我們先一起同心做個祈禱
[00:01:08.000 --> 00:01:12.000]  親愛的天父
[00:01:12.000 --> 00:01:16.000]  我們傳著很感恩的心來到你面前
[00:01:16.000 --> 00:01:18.000]  因為你的話語一解開
[00:01:18.000 --> 00:01:20.000]  就透發亮光
[00:01:20.000 --> 00:01:24.000]  並且能夠成為我們腳前的燈
[00:01:24.000 --> 00:01:26.000]  和生命的指引
[00:01:26.000 --> 00:01:28.000]  願意主你與我們同在
[00:01:28.000 --> 00:01:31.000]  叫我們今天對你的敬拜
[00:01:31.000 --> 00:01:34.000]  能夠得你的歡喜和越南
[00:01:34.000 --> 00:01:35.000]  同心祈禱
[00:01:35.000 --> 00:01:37.000]  奉主命求
[00:01:37.000 --> 00:01:38.000]  阿們
[00:01:38.000 --> 00:01:41.000]  不知道你有沒有上一次
[00:01:41.000 --> 00:01:45.000]  前一次來崇拜
[00:01:45.000 --> 00:01:49.000]  當時說帖薩諾尼加後書2章1到12節
[00:01:49.000 --> 00:01:51.000]  的內容
[00:01:51.000 --> 00:01:54.000]  為了方便大家理解下文
[00:01:54.000 --> 00:01:59.000]  所以我也會做一個上文的重溫
[00:01:59.000 --> 00:02:05.000]  原來在帖薩諾尼加2章1到12節
[00:02:05.000 --> 00:02:08.000]  保羅用了一些篇幅
[00:02:08.000 --> 00:02:12.000]  回答當時教會遇到的一些問題
[00:02:12.000 --> 00:02:14.000]  保羅不在其中
[00:02:14.000 --> 00:02:18.000]  但知道他們有這樣的問題的時候
[00:02:18.000 --> 00:02:23.000]  他就做了一些解答和安慰
[00:02:23.000 --> 00:02:26.000]  原來當時教會竟然有傳聞
[00:02:26.000 --> 00:02:30.000]  又或者說到好像真的一樣
[00:02:30.000 --> 00:02:34.000]  說主耶穌已經再次降臨
[00:02:34.000 --> 00:02:39.000]  所以搞到大家真的有一些混亂
[00:02:39.000 --> 00:02:42.000]  保羅就在2章1到12節裡面
[00:02:42.000 --> 00:02:44.000]  提出三個提醒
[00:02:44.000 --> 00:02:48.000]  叫他們不要聽到甚麼或者看到甚麼
[00:02:48.000 --> 00:02:50.000]  就立刻心亂了
