
[00:00:00.000 --> 00:00:08.180]  各位先生姐妹平安!祝大家聖誕快樂,也祝大家有個蒙恩的2016年!
[00:00:08.180 --> 00:00:17.920]  讓我們一起禱告:天父我們感恩,謝謝您讓我們能夠來在您面前,來敬拜,來歌頌您!
[00:00:17.920 --> 00:00:27.700]  的確,您是配得一切尊崇的神,您是那高高在上,且以愛心撇滿前地的神!
[00:00:27.700 --> 00:00:39.600]  讓我們在這裡領受您自己的教導,讓我們在您面前蒙您自己的啟示,奉耶穌基督的聖名,Amen!
[00:00:39.600 --> 00:01:04.160]  自從1952年開始以來,英國女王伊麗莎白二世,每一個聖誕節都透過電視或者其他的網絡設備,現在是科技,向英國全民致詞。
[00:01:04.160 --> 00:01:29.720]  所以今年,英女王在她的聖誕致詞裡頭,她敦促人說:要在黑暗中尋找希望,與其詛咒黑暗,不如點燃蠟燭。
[00:01:29.720 --> 00:01:48.080]  的確,這一年是災難重重的一年,人們面臨極端恐怖份子的襲擊,今年歐洲也面對如何收納超過百萬的難民。
[00:01:48.080 --> 00:02:13.160]  所以,英女王在她致詞的當中,她這樣說:確實,今天全世界都曾不得不面對一些黑暗的時刻,不過,伊漢福音裡頭有一段關於希望的教導。
[00:02:13.160 --> 00:02:33.580]  我們常常會在聖誕歌頌中聽到:光照在黑暗,黑暗未曾勝過光,這光就是耶穌基督。
[00:02:33.580 --> 00:03:01.800]  早在耶穌基督降臨之前,我們昨天慶祝了聖誕節,在耶穌降臨之前,神已經借助他的僕人以撒亞先知做了一個宣告議員,說耶穌基督,密撒亞要來到,而且也邀請人來就近這個光。
[00:03:01.800 --> 00:03:27.540]  所以在我們今天所念的經文以撒亞書第五十五章,神在那裡向人發出一個邀請,因為它是延續著以撒亞書特別從五十三章開始,五十三章是降到受苦的僕人,五十四章是降到神的教會,然後來到五十五章的時候,就來到一個邀請人。
[00:03:27.540 --> 00:03:36.680]  這個是一個盛情的邀請,是來到神裡面得好處的一個邀請。
[00:03:36.680 --> 00:04:00.020]  所以他一開始就說,口渴的人,你們就進水來吧,沒有銀錢的,你們也要來,買了就吃,你們要來買酒和奶。記得,雖然是說買,但跟著他說這句話,不用銀紙,也不用代價。
[00:04:00.020 --> 00:04:24.020]  我們常說,天底下沒有免費的午餐,但這位的神,這一他的豐盛,早已經為了預備豐盛的生命需要,邀請人來領受。
[00:04:24.020 --> 00:04:31.680]  那麼,為什麼神邀請人來領受這些呢?
[00:04:31.680 --> 00:04:44.680]  如果我們從神所給的預備的,從創世開始,我們就可以了解到這個邀請很有意思的。
[00:04:44.680 --> 00:05:05.180]  只有人才會問,活著有什麼意義?只有人才會問,人生有什麼價值?生命的意義是什麼?
[00:05:05.180 --> 00:05:21.180]  為什麼人會這麼問?因為神是給人,在他的恩典裡面,給人有兩個世界可以享受。
[00:05:21.180 --> 00:05:35.180]  一個是物質世界,所以在創世的時候,神先為人預備了物質時空的基礎需要的環境。
[00:05:35.180 --> 00:05:50.180]  所以有山有水,有花草有樹木,我們眼睛能看得到,我們手能摸得著,耳朵能聽得見,鼻子能聞得到。
[00:05:50.180 --> 00:06:03.180]  我們能聞得到這個物質時空所充滿的,而我們的嘴當然也能夠嘗到這個世界、物質、美妙的食物。
[00:06:03.180 --> 00:06:09.180]  特別是香港人,我相信最會吃,在吃方面最有講究,對不對?
[00:06:09.180 --> 00:06:17.180]  所以人家在香港,很多人來旅遊的,總喜歡到各地去吃香港的各種的美食。
[00:06:17.180 --> 00:06:32.180]  但同時,神給人的世界還有另外一方面的,是心靈的世界,是無法用五官去感受的。
[00:06:32.180 --> 00:06:51.180]  唯有靠心靈才能夠去領受的,例如愛、憐憫、信心、盼望、喜樂、公義、公正,都是心靈世界裡面,是神所創造的。
[00:06:51.180 --> 00:07:14.180]  給我們享用物質世界是非常非常的豐盛,但是,這豐盛的物質世界,需要擁有美麗的心靈,人才能夠真正的去享受這個物質世界。
[00:07:14.180 --> 00:07:25.180]  事實是如此。有時候我們感覺我們擁有很多,但總覺得不夠、不足、不滿意。
[00:07:25.180 --> 00:07:34.180]  一生在追求、在打拼的時候,當我們得著某些東西,但似乎又好像不過如此。
[00:07:34.180 --> 00:07:46.180]  心靈沒辦法在裡頭得著的時候,你就算擁有什麼,你都無法滿足。
[00:07:46.180 --> 00:08:02.180]  大家應該都有聽過,甚至用過Kodak,柯達的照相機,現在已經幾乎不存在了,因為被數碼相機取代了,對不對?
[00:08:02.180 --> 00:08:17.180]  以前,我最近去翻找我舊的照片,回想往事,看照片後面多數都印著什麼?Kodak,柯達的照相機,對吧?
[00:08:17.180 --> 00:08:30.180]  柯達是柯達先生所創辦的,當時可以說他這個照相機攝影,是整個行業的王國。
[00:08:30.180 --> 00:08:39.180]  整個世界,柯達,還有另外一個是什麼?Fuji,就這兩個。
[00:08:39.180 --> 00:08:55.180]  柯達先生把他整個事業發展到整個世界,幾乎沒有一個人,幾乎當時沒有一個家庭,沒有一個照相機,沒有一個照片裡頭,幾乎都有他這個產品。
[00:08:55.180 --> 00:09:02.180]  可以說他是一個成功的企業家,事業家。
[00:09:02.180 --> 00:09:23.180]  有一天,柯達先生決定乘坐私人的郵輪到世界各地去,就是要巡防他自己遍滿世界各地的柯達王國。
[00:09:23.180 --> 00:09:30.180]  經過六個月的巡迴,回到美國去。
[00:09:30.180 --> 00:09:56.180]  他的郵輪,私人郵輪靠岸,全部人都下船,可是大家怎麼找也沒找到這位整個的主角,柯達王國的重要人物,他們以為他早已經下船了,也沒當這回事。
[00:09:56.180 --> 00:10:14.180]  直到第二天,在海上發現一具屍體,是柯達先生,後來在郵輪上找到他的一封遺書,他自殺了。
[00:10:14.180 --> 00:10:39.180]  為什麼?他遺書裡面的重點是說,我擁有了一切,我到世界各地,每個人都奉承我,可是令我失望的是,我沒有找到心靈裡面我渴慕想要的平安。
[00:10:39.180 --> 00:10:57.180]  人中的物質是多麼的豐盛,心靈失去方向,空虛的時候,你再擁有什麼都無法滿足。
[00:10:57.180 --> 00:11:14.180]  所以這段聖經,神是在這裡告訴人,他說,第二節那邊說,你們為什麼用銀子去買那不是實物的呢?為什麼用你們勞碌得來的去買那不能使人飽足的呢?
[00:11:14.180 --> 00:11:34.180]  人一直在物質時空捕捉,爭取,奮鬥,希望擁有更多,但我們看到事實,很多時候,包括我們自己在內,我想我們自己都有這種經歷,物質世界沒辦法。
[00:11:34.180 --> 00:11:57.180]  我想最清楚的就是,你看到同樣的東西,在同一個環境,同一個實物,或者同一樣美麗的事情,當你心情不好的時候,當你鬧情緒的時候,你的領受,看法都會不一樣,對不對?
[00:11:57.180 --> 00:12:09.180]  所以神在告訴人,你的心靈世界有多豐盛,而事實,你的物質世界才豐盛。
[00:12:09.180 --> 00:12:28.180]  反之,如果心靈是空虛的,是飢渴的,你的物質世界是貧窮的。
[00:12:28.180 --> 00:12:57.180]  所以神在這裡發出這樣的一個邀請,來看清楚人的需要,優先次序要搞清楚,先把心靈,把裡面需要的,把它定位在正確的方向。
[00:12:57.180 --> 00:13:12.180]  所以神說,你們要留心聽我的話,就可以吃美物,使你們心靈享受肥肝。
[00:13:12.180 --> 00:13:35.180]  就是人要醒悟,人要反省,人要看清楚他真正在這世界上需要的,定尊方向。
[00:13:35.180 --> 00:13:52.180]  神這個邀請,不光只是給猶太人,這裡神也說是給世界各地要召集來自不同地方,不同國家,不同民族的人。
[00:13:52.180 --> 00:14:06.180]  意思是神的恩典,神的光,神的救恩,是要領導萬邦萬國。
[00:14:06.180 --> 00:14:28.180]  因為神的愛,是普及世界的。因為神很清楚的知道,在這個物質世界,在這個罪惡世界,人的沉淪敗壞,需要他這份光的照耀。
[00:14:28.180 --> 00:14:36.180]  所以弟兄姐妹我們感恩,我們感謝神,我們能夠認識這位的光,我們認識這位的救助耶穌基督。
[00:14:36.180 --> 00:14:43.180]  但我們也希望我們在今天這樣的神的話語裡面,讓我們自己也來反省。
[00:14:43.180 --> 00:14:54.180]  因為的確我們生命,在這個樹林生命的追求當中,的確有時候我們自己也會有些迷失和在方向上的錯誤。
[00:14:54.180 --> 00:15:06.180]  所以我們需要經常用神的話語提醒我們回到最根本,回到神,回到我們生命的根源。
[00:15:06.180 --> 00:15:16.180]  雖然這是一個要求,似乎聽起來像那些非信徒,但我相信也是對我們信徒。
[00:15:16.180 --> 00:15:24.180]  我們知道,的確我們自己有軟弱的時刻,有迷失的時候。
[00:15:24.180 --> 00:15:29.180]  我有一個朋友,他是新加坡航空公司的飛機師。
[00:15:29.180 --> 00:15:38.180]  有一次我跟他開玩笑說,現在的飛機全部都很先進,都自動化,autopilot對不對?
[00:15:38.180 --> 00:15:47.180]  我們還要你們機師幹嘛,你們領了這麼高薪金,就坐在那邊,飛機自己動,這個職業挺享受的吧?
[00:15:47.180 --> 00:15:56.180]  他說你就以為了,你看什麼autopilot,其實autopilot也要有機師在那邊,
[00:15:56.180 --> 00:16:00.180]  因為飛機的速度超級的快,對不對?
[00:16:00.180 --> 00:16:06.180]  他說只要四肢好理,就會四肢千里。
[00:16:06.180 --> 00:16:12.180]  飛機雖然是autopilot,但是它會有偏差。
[00:16:12.180 --> 00:16:18.180]  所以我們作為機師,我們經常要看準,只要一偏差,立刻糾正回來,
[00:16:18.180 --> 00:16:22.180]  要不然飛機不曉得往哪飛了去了,那就麻煩了。
[00:16:22.180 --> 00:16:29.180]  其實弟兄姐妹,在我們人生高速的進程裡頭,
[00:16:29.180 --> 00:16:35.180]  我剛來香港一年多,我發現香港人腳步特別快,要跟也跟不上。
[00:16:35.180 --> 00:16:40.180]  這超級的快,這種速度,這種生活方式,
[00:16:40.180 --> 00:16:44.180]  我是在英國生活了二十多年的人,
[00:16:44.180 --> 00:16:50.180]  真的習慣了英國人那種慢吞吞的那種生活,悠閒的那種生活,
[00:16:50.180 --> 00:16:54.180]  來到香港要跟也跟不上的那種角度,
[00:16:54.180 --> 00:16:59.180]  速度很快,生活方式,工作環境,壓力。
[00:16:59.180 --> 00:17:09.180]  我相信作為香港人,或者在香港居住一段時間的人都很清楚這種高速的速度。
[00:17:09.180 --> 00:17:15.180]  有時候我們的確是需要在這種環境生活裡面安靜在神面前,
[00:17:15.180 --> 00:17:24.180]  讓聖靈來關照,帶領我們糾正這種屬靈生命,人生生活的方向。
[00:17:24.180 --> 00:17:29.180]  所以我們工作到第六到第九節的時候,
