
[00:00:00.000 --> 00:00:04.000]  請祖母平安,讓我們一起祈禱
[00:00:04.000 --> 00:00:06.000]  週一天我們感謝你自己的恩典
[00:00:06.000 --> 00:00:09.000]  讓我們在主日的清晨可以聚集
[00:00:09.000 --> 00:00:12.000]  敬拜你,這是你給我們的福氣
[00:00:12.000 --> 00:00:16.000]  我們要思想你的話語的時候
[00:00:16.000 --> 00:00:18.000]  我們求聖靈保守帶領我們
[00:00:18.000 --> 00:00:22.000]  讓你的話語成為我們生命中的明燈
[00:00:22.000 --> 00:00:24.000]  指引我們每日的道路
[00:00:24.000 --> 00:00:28.000]  奉耶穌基督的名祈禱,阿們
[00:00:30.000 --> 00:00:34.000]  今天是思想利美記的最後一講
[00:00:34.000 --> 00:00:38.000]  剛才我們已經聽到讀經員
[00:00:38.000 --> 00:00:43.000]  為我們讀了一次利美記23章的經文
[00:00:43.000 --> 00:00:46.000]  我們大概會有一個印象
[00:00:46.000 --> 00:00:51.000]  這一章聖經是上帝定下來的節期
[00:00:51.000 --> 00:00:56.000]  雖然是要猶太人去守的節日
[00:00:56.000 --> 00:00:59.000]  但是就不是稱為猶太人的節期
[00:00:59.000 --> 00:01:03.000]  而是稱為耶和華的節期
[00:01:03.000 --> 00:01:09.000]  在這些節期中還要宣告為聖會
[00:01:09.000 --> 00:01:12.000]  聖會就是敬拜聚會
[00:01:12.000 --> 00:01:16.000]  我想跟大家先簡單的歸納一下
[00:01:16.000 --> 00:01:19.000]  這些節期的特色
[00:01:19.000 --> 00:01:22.000]  然後再從不同的角度
[00:01:22.000 --> 00:01:28.000]  來思想這些節期的意義
[00:01:28.000 --> 00:01:30.000]  在今天的經文
[00:01:30.000 --> 00:01:35.000]  第三節就提到安息日
[00:01:35.000 --> 00:01:38.000]  安息日是上帝和摩西立約時候
[00:01:38.000 --> 00:01:45.000]  所定下來的一個記號
[00:01:45.000 --> 00:01:47.000]  嚴格來說
[00:01:47.000 --> 00:01:51.000]  安息日不算是耶和華的節期
[00:01:51.000 --> 00:01:59.000]  不守安息日的人是會被處死的
[00:01:59.000 --> 00:02:02.000]  這裡沒有記載懲罰
[00:02:02.000 --> 00:02:12.000]  但是在出拉及記31章15節有記載
[00:02:12.000 --> 00:02:17.000]  安息日有五個特色
[00:02:17.000 --> 00:02:21.000]  第一就是任何功都不可以做
[00:02:21.000 --> 00:02:26.000]  但是以色列人就要參加聖會
[00:02:26.000 --> 00:02:28.000]  不過由於有聖會
[00:02:28.000 --> 00:02:32.000]  我們知道有一類人是可以做功的
[00:02:32.000 --> 00:02:34.000]  就是祭司
[00:02:34.000 --> 00:02:36.000]  安息日有五個意義
[00:02:36.000 --> 00:02:38.000]  對不起剛才說的不是五個特色
[00:02:38.000 --> 00:02:39.000]  是五個意義
[00:02:39.000 --> 00:02:40.000]  特色很少
[00:02:40.000 --> 00:02:42.000]  就是不要做功參加聖會
[00:02:42.000 --> 00:02:43.000]  很簡單的
[00:02:43.000 --> 00:02:45.000]  但是有五個意義
[00:02:45.000 --> 00:02:50.000]  首先就是要以色列人遵守條約
[00:02:50.000 --> 00:02:54.000]  因為是摩西所立約所定的記號
[00:02:54.000 --> 00:02:59.000]  第二個意義就是要參加聖會
[00:02:59.000 --> 00:03:03.000]  參加聖會就是要學習上主的律法
[00:03:03.000 --> 00:03:08.000]  第三就是和上帝建立好的關係
[00:03:08.000 --> 00:03:13.000]  第四方面就是要讓人活得有尊嚴
[00:03:13.000 --> 00:03:15.000]  好像上帝那樣
[00:03:15.000 --> 00:03:17.000]  有工作的日子
[00:03:17.000 --> 00:03:20.000]  也有享受安息的日子
[00:03:20.000 --> 00:03:23.000]  就好像創世紀裡面記載
[00:03:23.000 --> 00:03:25.000]  上帝六天做完天地
[00:03:25.000 --> 00:03:27.000]  就在第七天休息
[00:03:27.000 --> 00:03:35.000]  這個安息日就是要讓人的生活有節奏
[00:03:35.000 --> 00:03:38.000]  每六天工作就休息一天
[00:03:38.000 --> 00:03:41.000]  對我們現代人來說
[00:03:41.000 --> 00:03:44.000]  都是給我們有個機會和其他人
