
[00:00:00.000 --> 00:00:03.060]  今天是復活節的前一個主日,
[00:00:03.060 --> 00:00:08.720]  也就是教會傳統上我們叫做中述之的主日。
[00:00:08.720 --> 00:00:15.420]  這是耶穌在受難之前最後一次進入耶路撒冷。
[00:00:15.420 --> 00:00:17.280]  如果你仔細看聖經就發現,
[00:00:17.280 --> 00:00:23.160]  這一次耶穌進耶路撒冷跟過去進耶路撒冷很不一樣。
[00:00:23.160 --> 00:00:25.180]  以前耶穌進耶路撒冷,
[00:00:25.180 --> 00:00:29.980]  你看聖經很多次都是耶穌暗暗地進去。
[00:00:29.980 --> 00:00:33.080]  耶穌不想驚動太多的人。
[00:00:33.080 --> 00:00:36.120]  甚至耶穌醫治一些病人,
[00:00:36.120 --> 00:00:41.200]  祂都要這些病人能夠去,只要給祭司看就好,
[00:00:41.200 --> 00:00:43.880]  不要到處張揚。
[00:00:43.880 --> 00:00:48.360]  好像無論耶穌進耶路撒冷,無論祂做什麼,
[00:00:48.360 --> 00:00:51.480]  祂總是想避免那些羣衆,
[00:00:51.480 --> 00:00:55.360]  避免激起羣衆的狂熱。
[00:00:55.360 --> 00:00:58.160]  這一次很不一樣。
[00:00:58.160 --> 00:01:01.040]  這一次耶穌進耶路撒冷,
[00:01:01.040 --> 00:01:08.080]  祂似乎刻意要在衆人面前顯出祂自己。
[00:01:08.080 --> 00:01:10.560]  所以還沒有進城以前就打發祂的門徒,
[00:01:10.560 --> 00:01:13.900]  就預備那個驢跟驢居。
[00:01:13.900 --> 00:01:20.440]  甚至祂容許羣衆在道路兩旁夾道歡迎,
[00:01:20.440 --> 00:01:25.920]  說祂是至高的君王,高唱Hosanna!
[00:01:25.920 --> 00:01:28.560]  在約翰福音當中甚至講到,
[00:01:28.560 --> 00:01:32.680]  當時的羣衆手拿着中樹枝在那裏歡呼。
[00:01:32.680 --> 00:01:37.240]  所以爲什麼這一天被稱爲中樹枝主日?
[00:01:37.240 --> 00:01:43.440]  那爲什麼耶穌這一次進耶路撒冷要選擇用這種方式呢?
[00:01:43.440 --> 00:01:47.440]  當然一方面是因爲在馬太福音21章第4節就講了,
[00:01:47.440 --> 00:01:52.280]  這事情成就是要應驗先知的話。
[00:01:52.280 --> 00:01:55.040]  可見這件事情不是偶然發生的,
[00:01:55.040 --> 00:01:59.560]  這件事情早在神的計劃當中就這樣預定。
[00:01:59.560 --> 00:02:01.840]  但另一方面我也相信,
[00:02:01.840 --> 00:02:05.120]  耶穌這樣進城還有另外一個原因,
[00:02:05.120 --> 00:02:08.680]  那就是耶穌知道祂的時候到了,
[00:02:08.680 --> 00:02:11.280]  祂要走上十字架的道路,
[00:02:11.280 --> 00:02:14.360]  要來成全神的救恩。
[00:02:14.360 --> 00:02:17.600]  以前無論祂講到一字,
[00:02:17.600 --> 00:02:21.440]  有些人聽了就相信,有些人還是拒絕。
[00:02:21.440 --> 00:02:26.560]  有些人很欽佩,有些人就在那裏妄加批評。
[00:02:26.560 --> 00:02:31.440]  有些人說祂就是彌賽亞,有人心存懷疑。
[00:02:31.440 --> 00:02:36.800]  所以這一次是幾乎耶穌在地上最後一次,
[00:02:36.800 --> 00:02:44.240]  有機會以實際的行動向衆人表明到底祂是誰。
[00:02:44.240 --> 00:02:46.960]  所以事實上當衆人看見耶穌進城的時候,
[00:02:46.960 --> 00:02:50.520]  衆人就有個問題,這人是誰呀?
[00:02:50.520 --> 00:02:56.960]  我們看見耶穌要用實際的行動表明祂的身份,
[00:02:56.960 --> 00:03:00.560]  而且是最後祂在地上有一個機會,
[00:03:00.560 --> 00:03:04.360]  擺在衆人面前一個抉擇,
[00:03:04.360 --> 00:03:09.560]  到底你們要接受我還是要拒絕我?
[00:03:09.560 --> 00:03:12.040]  所以從今天這件事情當中,我們一同來思想,
[00:03:12.040 --> 00:03:15.320]  特別在這樣受難復活的劫騎當中,
[00:03:15.320 --> 00:03:19.920]  我們來思想我們所信的主耶穌祂是怎麼樣一個身份。
[00:03:19.920 --> 00:03:24.840]  四方面,第一個,我們看祂是一位榮耀的君王。
[00:03:24.840 --> 00:03:28.480]  跟你們說祂是榮耀的君王。
[00:03:28.480 --> 00:03:32.000]  從哪裏看見祂是榮耀的君王呢?
[00:03:32.000 --> 00:03:38.400]  在聖經講到說耶穌進城是祂的驢居子進城,
[00:03:38.400 --> 00:03:41.680]  很多人讀到這件事情都錯誤的以爲,
[00:03:41.680 --> 00:03:45.160]  這只是一個謙卑柔和的表現。
[00:03:45.160 --> 00:03:49.560]  沒有錯,驢居子是一個謙卑柔和的表現,
[00:03:49.560 --> 00:03:52.640]  但事實上不但是謙卑柔,
[00:03:52.640 --> 00:03:56.760]  還有另外一層的意識在這個裏面。
[00:03:56.760 --> 00:04:01.120]  如果你熟悉舊約的律法,你就知道,
[00:04:01.120 --> 00:04:03.960]  我們看見在舊約的背景裏面,
[00:04:03.960 --> 00:04:07.200]  當一個國王登基的時候,
[00:04:07.200 --> 00:04:08.520]  他不是騎着馬的,
[00:04:08.520 --> 00:04:11.320]  我們可能是看電影看太多了,
[00:04:11.320 --> 00:04:16.520]  覺得一個君王應該騎着特別白馬的進城。
[00:04:16.520 --> 00:04:18.320]  在舊約的背景裏面,
[00:04:18.320 --> 00:04:22.680]  一個君王登基是騎着驢居子的。
[00:04:22.680 --> 00:04:25.280]  列王紀第一章就講到了,
[00:04:25.280 --> 00:04:30.000]  所羅門王登基是騎着驢居子。
