
[00:00:00.000 --> 00:00:05.020]  今天會跟大家一起繼續看大衛的人生
[00:00:05.020 --> 00:00:06.600]  我們很熟悉的一件事
[00:00:06.600 --> 00:00:08.600]  但其實很痛心的一件事
[00:00:08.600 --> 00:00:11.020]  就是大衛他犯姦淫
[00:00:11.020 --> 00:00:15.100]  大衛被稱為合神心意的王
[00:00:15.100 --> 00:00:18.040]  但在人生裡面有一個很大的污點
[00:00:18.040 --> 00:00:21.160]  就是他犯了姦淫的罪
[00:00:21.160 --> 00:00:26.120]  但是這個錯誤扭轉了他整個的生命
[00:00:26.120 --> 00:00:28.560]  雖然是一件這麼重要的事情
[00:00:28.560 --> 00:00:30.060]  但是如果你留意聖經的話
[00:00:30.060 --> 00:00:33.160]  聖經只是用了五節的經文
[00:00:33.160 --> 00:00:35.000]  去講這件事情
[00:00:35.000 --> 00:00:37.400]  如果再細分一點的話
[00:00:37.400 --> 00:00:39.600]  只是用了一節的經文
[00:00:39.600 --> 00:00:40.880]  去講這件事情而已
[00:00:40.880 --> 00:00:43.540]  但是隨之而來
[00:00:43.540 --> 00:00:46.020]  有七章以上的聖經
[00:00:46.020 --> 00:00:50.980]  就是講他犯罪之後帶來的嚴重後果
[00:00:50.980 --> 00:00:55.120]  如果用香港拍電影的手法
[00:00:55.120 --> 00:00:57.000]  就一定不會這樣
[00:00:57.000 --> 00:00:59.320]  一定會在講他犯姦淫的過程裡面
[00:00:59.320 --> 00:01:01.400]  很強調怎麼去描繪
[00:01:01.400 --> 00:01:03.460]  我也會分析一些電影
[00:01:03.460 --> 00:01:05.360]  現在香港也陷入一個危機裡面
[00:01:05.360 --> 00:01:09.000]  就是所謂本土電影的今年崛起了
[00:01:09.000 --> 00:01:10.240]  為什麼呢?
[00:01:10.240 --> 00:01:12.740]  就是一些所謂本土電影沒有國內市場
[00:01:12.740 --> 00:01:14.580]  但是也竟然過一千萬的
[00:01:14.580 --> 00:01:15.540]  很賣座
[00:01:15.540 --> 00:01:17.280]  於是就會繼續發揮
[00:01:17.280 --> 00:01:20.620]  但是這些所謂本土電影的焦點在哪裡呢?
[00:01:20.620 --> 00:01:22.020]  其實有些可悲
[00:01:22.020 --> 00:01:23.480]  就是講髒話
[00:01:23.480 --> 00:01:24.680]  以及賣弄色情
[00:01:24.680 --> 00:01:26.760]  再遠一點去看
[00:01:26.760 --> 00:01:27.960]  《致命於春嬌》
[00:01:27.960 --> 00:01:31.020]  就是講一些人要在街上抽煙
[00:01:31.020 --> 00:01:32.100]  於是發生感情
[00:01:32.100 --> 00:01:33.500]  但是有很多髒話
[00:01:33.500 --> 00:01:34.900]  這樣就很賣座了
[00:01:34.900 --> 00:01:36.160]  接著就有續集
[00:01:36.160 --> 00:01:37.700]  就是《春嬌與致命》
[00:01:37.700 --> 00:01:39.540]  接著就是《喜愛夜蒲》
[00:01:39.540 --> 00:01:40.900]  有第一第二集
[00:01:40.900 --> 00:01:42.140]  近期還有一部電影
[00:01:42.140 --> 00:01:43.100]  可能大家也會看過
[00:01:43.100 --> 00:01:45.100]  以上所講的電影我完全沒有看過
[00:01:45.100 --> 00:01:46.200]  那就是什麼呢?
[00:01:46.200 --> 00:01:47.940]  就是《低俗喜劇》
[00:01:47.940 --> 00:01:49.640]  《低俗喜劇》
[00:01:49.640 --> 00:01:50.720]  就是講什麼呢?
[00:01:50.720 --> 00:01:52.440]  全部都是髒話的電影
[00:01:52.440 --> 00:01:54.620]  但是這就是本土的文化
[00:01:55.020 --> 00:01:57.420]  現在連女孩子也去看這些電影
[00:01:57.420 --> 00:01:59.280]  照樣笑
[00:01:59.280 --> 00:02:01.260]  於是髒話文化
[00:02:01.260 --> 00:02:04.400]  又開始慢慢地展現在我們當中
[00:02:04.400 --> 00:02:06.100]  所以今天要很小心
[00:02:06.100 --> 00:02:09.360]  原來一些所謂本土電影
[00:02:09.360 --> 00:02:11.700]  原來就是靠這些色情來吸引
[00:02:11.700 --> 00:02:12.840]  但是其實不一定
[00:02:12.840 --> 00:02:14.040]  《土者》
[00:02:14.040 --> 00:02:16.800]  這部電影是完全很乾淨的
[00:02:16.800 --> 00:02:19.100]  但是一樣可以很賣座
[00:02:19.100 --> 00:02:19.740]  是不是?
[00:02:19.740 --> 00:02:21.080]  《歲月神偷》也是
[00:02:21.080 --> 00:02:23.480]  所以今天我們要怎麼去抗衡這個文化
[00:02:23.480 --> 00:02:24.320]  也要很小心
[00:02:24.720 --> 00:02:28.640]  如果電影裡面一定要很詳細描繪
[00:02:28.640 --> 00:02:30.660]  犯罪的過程是怎麼樣
[00:02:30.660 --> 00:02:33.260]  但是聖經只是用一節經文
[00:02:33.260 --> 00:02:35.360]  去講述大衛的犯罪
[00:02:35.360 --> 00:02:38.060]  但是接著就用很長的經文
