
[00:00:00.000 --> 00:00:02.960]  現在讓我們一起同心祈禱
[00:00:02.960 --> 00:00:06.660]  親愛的主
[00:00:06.660 --> 00:00:08.660]  感謝祢的聖言
[00:00:08.660 --> 00:00:11.400]  感謝祢導誠肉身的愛
[00:00:11.400 --> 00:00:14.400]  懇求聖靈開我們的耳朵
[00:00:14.400 --> 00:00:16.400]  開我們的心眼
[00:00:16.400 --> 00:00:19.060]  去聆聽祢的話語
[00:00:19.060 --> 00:00:22.660]  求祢的話語轉化我們的生命
[00:00:22.660 --> 00:00:24.660]  更新我們的信仰
[00:00:24.660 --> 00:00:27.160]  使我們更像基督
[00:00:27.160 --> 00:00:29.660]  也活出基督的樣式
[00:00:29.660 --> 00:00:31.660]  禱告奉耶穌基督的名
[00:00:31.660 --> 00:00:33.660]  阿門
[00:00:33.660 --> 00:00:36.660]  今天是星期日
[00:00:36.660 --> 00:00:41.660]  我想問問在座這麼多位的頂姐妹和朋友
[00:00:41.660 --> 00:00:45.660]  有多少人會定義今天是安息日?
[00:00:45.660 --> 00:00:50.660]  也有幾隻手
[00:00:50.660 --> 00:00:56.660]  有多少人會按照聖經十誡的教導去守安息日?
[00:00:56.660 --> 00:01:00.660]  這一條在傳統來說是屬於猶太人的傳統奴法
[00:01:00.660 --> 00:01:01.660]  有多少人?
[00:01:01.660 --> 00:01:04.660]  你又會守安息日的?
[00:01:04.660 --> 00:01:06.660]  OK
[00:01:06.660 --> 00:01:08.660]  少了很多手了
[00:01:08.660 --> 00:01:11.660]  究竟是什麼是安息日呢?
[00:01:11.660 --> 00:01:18.660]  又或者其實在現今我們生活在香港的都市社會的人
[00:01:18.660 --> 00:01:22.660]  基督徒都很難守到安息日呢?
[00:01:22.660 --> 00:01:28.660]  今天我的講道是以安息日為主題
[00:01:28.660 --> 00:01:34.660]  因為今天三代經課都有提及安息日這個聖日
[00:01:34.660 --> 00:01:37.660]  安息日的主
[00:01:37.660 --> 00:01:40.660]  誰是安息日的主呢?
[00:01:40.660 --> 00:01:44.660]  耶穌是安息日的主
[00:01:44.660 --> 00:01:51.660]  今天我邀請大家讓我們從耶穌和以色列先知
[00:01:51.660 --> 00:01:57.660]  去認識和反思安息日的意義
[00:01:57.660 --> 00:02:01.660]  剛才我們已經讀了
[00:02:01.660 --> 00:02:07.660]  有姐妹讀過今天老家福音的經課
[00:02:07.660 --> 00:02:12.660]  說耶穌在安息日在會堂裏面教訓教訓人
[00:02:12.660 --> 00:02:14.660]  而在教訓人的同時
[00:02:14.660 --> 00:02:17.660]  他又見到一個女人是被鬼附
[00:02:17.660 --> 00:02:18.660]  病了十八年
[00:02:18.660 --> 00:02:19.660]  很淒慘
[00:02:19.660 --> 00:02:21.660]  她的腰一直都彎不直
[00:02:21.660 --> 00:02:23.660]  耶穌見到她就叫她來
[00:02:23.660 --> 00:02:27.660]  就說你脫離了這個病
[00:02:27.660 --> 00:02:30.660]  然後就用手去按住她
[00:02:30.660 --> 00:02:35.660]  這個女士的腰立即直了
[00:02:35.660 --> 00:02:36.660]  是痊癒了
[00:02:36.660 --> 00:02:42.660]  而這個女士就榮耀歸與神
[00:02:42.660 --> 00:02:44.660]  榮耀歸與神
[00:02:44.660 --> 00:02:48.660]  而這個故事還沒完的
[00:02:48.660 --> 00:02:51.660]  如果是耶穌的醫治故事神蹟
[00:02:51.660 --> 00:02:53.660]  Hallelujah 很開心
[00:02:53.660 --> 00:02:55.660]  但是故事跟著發展
[00:02:55.660 --> 00:02:59.660]  就是耶穌被管會堂的人批評
[00:02:59.660 --> 00:03:03.660]  而耶穌就反去教訓他們
[00:03:03.660 --> 00:03:09.660]  其他眾人就因為耶穌所作的榮耀的事
[00:03:09.660 --> 00:03:13.660]  大家都很歡喜快樂
[00:03:13.660 --> 00:03:17.660]  這個大概就是今天老家福音經課裏面
[00:03:17.660 --> 00:03:20.660]  表達的福音故事
[00:03:20.660 --> 00:03:23.660]  安息日的主
[00:03:23.660 --> 00:03:24.660]  安息日的主
[00:03:24.660 --> 00:03:27.660]  在老家福音這個經文裏面
[00:03:27.660 --> 00:03:31.660]  有兩隻字是特別拿到我的眼球的
[00:03:31.660 --> 00:03:33.660]  就是榮耀
[00:03:33.660 --> 00:03:35.660]  榮耀神
[00:03:35.660 --> 00:03:36.660]  安息日
[00:03:36.660 --> 00:03:39.660]  一個很重要的忠心的思想
[00:03:39.660 --> 00:03:42.660]  就是要榮耀上帝
