
[00:00:00.000 --> 00:00:05.000]  首先恭祝大家新年快樂,身體健康,
[00:00:05.000 --> 00:00:09.000]  我們更加鼓勵大家肅靈生命,不斷長進。
[00:00:09.000 --> 00:00:13.000]  我們先一同低頭祈禱,
[00:00:13.000 --> 00:00:16.000]  祈求天父我們感謝祢自己的恩典,
[00:00:16.000 --> 00:00:23.000]  讓我們一同來到這裡慶祝主耶穌為我們的罪而死,
[00:00:23.000 --> 00:00:27.000]  使我們一命都被記錄在天上,
[00:00:27.000 --> 00:00:30.000]  主也求祢的聖靈在我們當中幫助我們,
[00:00:30.000 --> 00:00:35.000]  學習懂得以我們的身份而喜樂,
[00:00:35.000 --> 00:00:40.000]  也有時間求聖靈親自的臨到在我們中間,
[00:00:40.000 --> 00:00:44.000]  幫助我們奉耶穌基督的名祈禱,阿們。
[00:00:44.000 --> 00:00:50.000]  在七十年代有一首家喻戶曉的流行曲叫《龍的傳人》,
[00:00:50.000 --> 00:00:53.000]  近來比較少聽見,
[00:00:53.000 --> 00:00:58.000]  但是七十後的華人大概都會記得這首歌,
[00:00:58.000 --> 00:01:03.000]  這首歌是台灣的音樂人侯德健填詞的,
[00:01:03.000 --> 00:01:08.000]  據聞原來當年寫這首歌是有政治背景的原因,
[00:01:08.000 --> 00:01:14.000]  就是美國政府宣佈和台灣的中華民國政府斷絕外交關係,
[00:01:14.000 --> 00:01:20.000]  而實際和實際管轄中國大陸的人民共和國政府建交,
[00:01:20.000 --> 00:01:28.000]  這首歌就大受中港台三地華人歡迎,成為很流行的歌曲,
[00:01:28.000 --> 00:01:34.000]  在二零一一年侯德健還有機會去北京鳥巢的音樂會裡面,
[00:01:34.000 --> 00:01:38.000]  唱這首稍微修改了的《龍的傳人》,
[00:01:38.000 --> 00:01:42.000]  因此九十後的華人都可能很熟悉這首歌,
[00:01:42.000 --> 00:01:46.000]  因為這首歌帶有濃厚的民族情緒,
[00:01:46.000 --> 00:01:51.000]  黑頭髮,黑眼睛,黃皮膚,我們都是龍的傳人,
[00:01:51.000 --> 00:01:59.000]  我們作為基督徒,我們其實都應該是福音的傳人,天國的傳人,
[00:01:59.000 --> 00:02:02.000]  我們有沒有傳福音的負擔呢?
[00:02:02.000 --> 00:02:08.000]  我們是不是樂意傳福音呢?我們又應該怎樣傳福音呢?
[00:02:08.000 --> 00:02:12.000]  今天我們一同思想這段《路加福音》的經文,
[00:02:12.000 --> 00:02:16.000]  我們先看看《路加福音》第十章一至第九節,
[00:02:16.000 --> 00:02:20.000]  第一節就提到「過了些時候」,
[00:02:20.000 --> 00:02:27.000]  我們想問一下從什麼時候開始,然後「過了些時候」呢?
[00:02:27.000 --> 00:02:34.000]  我相信按照經文的記載,應該是從九章五十一節開始的,
[00:02:34.000 --> 00:02:43.000]  「耶穌被接升天的日子快到了,他決心朝耶路撒冷去。」
[00:02:43.000 --> 00:02:47.000]  跟馬太和馬可福音比較,
[00:02:47.000 --> 00:02:55.000]  《路加》記載耶穌在加利利那邊的時空是比較短的,
[00:02:55.000 --> 00:03:06.000]  而記載他由加利利向耶路撒冷向南走,這段時間和他的工作是比較長的。
[00:03:06.000 --> 00:03:13.000]  換句話說,《路加》記載耶穌在被釘十字架前的工作是比較長進的,
[00:03:13.000 --> 00:03:19.000]  比如說今天這段經文提到主差遣七十二個人去傳福音這件事,
[00:03:19.000 --> 00:03:24.000]  其他三本福音書都沒有記載,只是《路加》獨有的記載。
[00:03:24.000 --> 00:03:29.000]  很多時候我們讀福音書就以為耶穌只有十二位的門徒,
[00:03:29.000 --> 00:03:35.000]  為什麼這裡突然間又有七十二個門徒走出來呢?
[00:03:35.000 --> 00:03:41.000]  事實上耶穌傳福音經常都有一大群人跟著他。
[00:03:41.000 --> 00:03:46.000]  在《仕道行傳》第一章記載了一些事,
[00:03:46.000 --> 00:03:51.000]  讓我們知道耶穌真的有很多門徒,不止十二門徒。
