
[00:00:00.000 --> 00:00:03.440]  我們繼續我們講到的Series
[00:00:03.440 --> 00:00:05.640]  就是聽上帝的聲音
[00:00:05.640 --> 00:00:07.200]  當你信了主之後
[00:00:07.200 --> 00:00:10.120]  應該有一個轉變
[00:00:10.120 --> 00:00:11.480]  一個很基本的轉變
[00:00:11.480 --> 00:00:13.480]  在你心靈裡面
[00:00:13.480 --> 00:00:16.360]  就是上帝的生命進入了我們
[00:00:16.360 --> 00:00:18.120]  聖靈住在我們裡面
[00:00:18.120 --> 00:00:21.480]  然後我們會聽到聖靈的聲音
[00:00:21.480 --> 00:00:22.880]  我們要學一下怎樣聽
[00:00:22.880 --> 00:00:23.800]  因為好像心機一樣
[00:00:23.800 --> 00:00:25.440]  我們要教正台
[00:00:25.440 --> 00:00:28.680]  然後我們才聽到主對我們講的說話
[00:00:28.680 --> 00:00:29.800]  對我們的提醒
[00:00:29.800 --> 00:00:31.200]  第一次我們講到
[00:00:31.200 --> 00:00:33.520]  牧羊人和羊之間的關係
[00:00:33.520 --> 00:00:35.040]  今天詩歌又唱
[00:00:35.040 --> 00:00:37.480]  上一次我們講到
[00:00:37.480 --> 00:00:39.880]  這個舖頭書和枝子的關係
[00:00:39.880 --> 00:00:41.560]  都是一個很緊密的關係
[00:00:41.560 --> 00:00:43.440]  所以我們需要去培養
[00:00:43.440 --> 00:00:45.840]  我們屬靈的頻度
[00:00:45.840 --> 00:00:49.320]  我們要聽一下上帝對我們的聲音
[00:00:49.320 --> 00:00:50.920]  然後我們的frequency要教得準
[00:00:50.920 --> 00:00:52.720]  我們才能夠聽到
[00:00:52.720 --> 00:00:53.600]  正如我們所說
[00:00:53.600 --> 00:00:54.840]  我們每一個人信了主
[00:00:54.840 --> 00:00:56.720]  我們都有聖靈住在我們裡面
[00:00:56.720 --> 00:00:58.080]  今天我們需要講一講
[00:00:58.080 --> 00:00:59.440]  聖靈的聲音
[00:00:59.440 --> 00:01:01.160]  當我們聽到聖靈的時候
[00:01:01.160 --> 00:01:03.560]  Holy Spirit的時候
[00:01:03.560 --> 00:01:04.920]  我們可能第一個反應就是
[00:01:04.920 --> 00:01:06.920]  覺得我們很神秘
[00:01:06.920 --> 00:01:08.400]  或者一些很難懂的東西
[00:01:08.400 --> 00:01:09.720]  摸不著頭腦的東西
[00:01:09.720 --> 00:01:10.480]  有些奇怪的
[00:01:10.480 --> 00:01:11.560]  因為我們很多時候接觸
[00:01:11.560 --> 00:01:15.640]  或者聽見一些屬靈的經驗
[00:01:15.640 --> 00:01:19.840]  或者一些靈因的經驗特別
[00:01:19.840 --> 00:01:21.240]  就是講謊言
[00:01:21.240 --> 00:01:21.880]  倒地
[00:01:21.880 --> 00:01:24.240]  或者被聖靈充滿等等這些
[00:01:24.240 --> 00:01:26.680]  我們就有一點敬而遠之的
[00:01:26.680 --> 00:01:27.520]  是不是?
[00:01:27.520 --> 00:01:28.840]  敬而遠之
[00:01:28.840 --> 00:01:31.160]  還有我們會覺得有些模糊
[00:01:31.160 --> 00:01:32.120]  就是捉不著
[00:01:32.120 --> 00:01:34.280]  好像風一樣捉不著
[00:01:34.280 --> 00:01:35.240]  今天每個人都在講天氣
[00:01:35.240 --> 00:01:36.840]  我就講一下風
[00:01:36.840 --> 00:01:40.040]  我就選了這張照片
[00:01:40.040 --> 00:01:41.160]  因為確實
[00:01:41.160 --> 00:01:43.520]  耶穌是這樣形容聖靈的工作
[00:01:43.520 --> 00:01:46.280]  聖靈在我們生命裡面重生的工作
[00:01:46.280 --> 00:01:47.480]  regeneration
[00:01:47.480 --> 00:01:49.840]  rebirth的工作
[00:01:49.840 --> 00:01:50.840]  當我們信了主之後
[00:01:50.840 --> 00:01:53.040]  有一個重生的經歷的時候
[00:01:53.040 --> 00:01:55.200]  就好像聖靈在工作
[00:01:55.200 --> 00:01:57.480]  然後聖靈在工作的方法
[00:01:57.480 --> 00:01:59.160]  就好像風一樣
[00:01:59.160 --> 00:02:02.760]  耶穌和尼哥比姆
[00:02:02.760 --> 00:02:04.560]  或者尼哥德姆
[00:02:04.560 --> 00:02:06.040]  去到談道的時候
[00:02:06.040 --> 00:02:07.120]  夜間談道的時候
[00:02:07.120 --> 00:02:08.280]  就講到這件事
[00:02:08.280 --> 00:02:09.760]  就是聖靈像什麼呢?
[00:02:09.760 --> 00:02:11.240]  聖靈像風
[00:02:11.240 --> 00:02:12.560]  風你是看不見的
[00:02:12.560 --> 00:02:13.720]  摸不到的
