
[00:00:00.000 --> 00:00:05.000]  當我們看針研的時候,大家有什麼感覺呢?
[00:00:05.000 --> 00:00:12.000]  可以不需要有什麼上文下理,一句說話就刺下來
[00:00:12.000 --> 00:00:18.000]  就讓我們看到,原來在生活裡面,我們是這樣的
[00:00:18.000 --> 00:00:22.000]  聖經一段,在第一節開始
[00:00:22.000 --> 00:00:29.000]  就很明明很清楚地說,大衛的兒子以色列王所浪門的針研
[00:00:29.000 --> 00:00:31.000]  什麼是針研?
[00:00:31.000 --> 00:00:34.000]  針研就是一些格言、言語
[00:00:34.000 --> 00:00:41.000]  一些我們要聽一聽、想一想的一些說話
[00:00:41.000 --> 00:00:46.000]  其實針研就幫助我們去處理人生裡面有很多生活的東西
[00:00:46.000 --> 00:00:50.000]  面對的問題,無論你的日常生活裡面
[00:00:50.000 --> 00:00:57.000]  包括你的工作、家庭、婚姻、青年人對性
[00:00:57.000 --> 00:01:04.000]  怎樣去看的時候,很多不同的觀點就藉著針研告訴我們
[00:01:04.000 --> 00:01:12.000]  一句準繩,就去判別你究竟是蠢還是有智慧
[00:01:12.000 --> 00:01:19.000]  原來在聖經針研裡面所講述的有關智慧的時間
[00:01:19.000 --> 00:01:22.000]  我們就常常以為都是和我們個人有關
[00:01:22.000 --> 00:01:27.000]  沒錯是和我們個人有關,但是不單止個人
[00:01:27.000 --> 00:01:32.000]  當我們講智慧的時候、謀算的時候、謀略的時候
[00:01:32.000 --> 00:01:42.000]  其實是影響你個人怎樣去做一個決定
[00:01:42.000 --> 00:01:45.000]  但是這些決定都影響了其他的人
[00:01:45.000 --> 00:01:51.000]  又或者公眾的利益,甚至一個國家的命運
[00:01:51.000 --> 00:01:56.000]  我們要知道針研是和我們個人有關,但是一定要記得
[00:01:56.000 --> 00:02:01.000]  針研所講述的是以神為中心
[00:02:01.000 --> 00:02:05.000]  在很多事情上,很多的實務上
[00:02:05.000 --> 00:02:09.000]  人在事務上我們要學怎樣去機靈
[00:02:09.000 --> 00:02:14.000]  之餘又穩健,穩健得來又要合神心意
[00:02:14.000 --> 00:02:16.000]  就有很多技巧
[00:02:16.000 --> 00:02:24.000]  聖經打開的時候就有很多不同的文章,不同的文學題材
[00:02:24.000 --> 00:02:35.000]  當時相信在以色列人裡面有一班特別從智慧的角度去研究日常生活
[00:02:35.000 --> 00:02:42.000]  並認為以色列人在他們的生活裡面是屬於神啟示的一部分
[00:02:42.000 --> 00:02:52.000]  如果我們看聖經,耶利米先知在第十八章十八節
[00:02:52.000 --> 00:02:57.000]  當他面對人去追殺的時候就講述一些處境
[00:02:57.000 --> 00:02:59.000]  原來在以色列人裡面
[00:02:59.000 --> 00:03:06.000]  一些教導有三部分都被視為是從神而來的啟示
[00:03:06.000 --> 00:03:11.000]  第一,摩西的律法,祭司的律法
[00:03:11.000 --> 00:03:16.000]  第二,先知講的二元
[00:03:16.000 --> 00:03:22.000]  第三,就是智慧人所講的一些說話
[00:03:22.000 --> 00:03:26.000]  所提的一些謀略,自謀,知識
[00:03:26.000 --> 00:03:32.000]  都成為在以色列人,在他們的生活裡面
[00:03:32.000 --> 00:03:36.000]  被視為三部分都是從神而來的啟示
[00:03:36.000 --> 00:03:43.000]  所以我們講真言的時間可以包括格言,諺語,聖言的論道
[00:03:43.000 --> 00:03:47.000]  對人生體會的一些說話,一些觀察
[00:03:47.000 --> 00:03:50.000]  一句句說話,原來這個說話是在說我
[00:03:50.000 --> 00:03:53.000]  給我們一種提醒,一種發現
[00:03:53.000 --> 00:03:58.000]  甚至拍個比喻,給你猜一個謎語
[00:03:58.000 --> 00:04:08.000]  就能夠給你看到人生可以有的一些警句,反省
[00:04:08.000 --> 00:04:11.000]  從中你可以得著智慧
[00:04:11.000 --> 00:04:16.000]  所以弟兄姊妹,我們看聖經的真言開始
[00:04:16.000 --> 00:04:18.000]  如果我們讀真言的時候
[00:04:18.000 --> 00:04:20.000]  我們就清楚知道
[00:04:20.000 --> 00:04:24.000]  第一章第一節就開始說這是所羅門的真言
[00:04:24.000 --> 00:04:29.000]  但是整本真言書是不是全部都是所羅門所寫呢?
[00:04:29.000 --> 00:04:33.000]  作者就不止是他,有理由相信是他編修
[00:04:33.000 --> 00:04:37.000]  弟兄姊妹,你知不知道所羅門很有智慧?
[00:04:37.000 --> 00:04:40.000]  你又知不知道所羅門很有錢?
[00:04:40.000 --> 00:04:45.000]  因為當時在國際社會裡面他很懂得營商
[00:04:45.000 --> 00:04:48.000]  賺了很多錢,然後在周圍不同的地方
[00:04:48.000 --> 00:04:51.000]  又搜集一些格言,諺語,然後編修了
[00:04:51.000 --> 00:04:55.000]  特別在一章到第九章就去講述
[00:04:55.000 --> 00:04:58.000]  有關真言的部分是由他所寫
[00:04:58.000 --> 00:05:02.000]  其餘有些其他地方我們有不同的作者
[00:05:02.000 --> 00:05:06.000]  有阿古爾,尼摩依勒,甚至一些智慧者
[00:05:06.000 --> 00:05:10.000]  在真言裡面去講述
[00:05:10.000 --> 00:05:14.000]  接下來一年,牧師主要集中在真言
[00:05:14.000 --> 00:05:18.000]  真言裡面就有講很多不同的範疇
[00:05:18.000 --> 00:05:23.000]  不同的範疇裡面就給我們怎樣去面對人生
[00:05:23.000 --> 00:05:27.000]  面對在我們生活裡面一些實際的處境
[00:05:27.000 --> 00:05:31.000]  我們可以怎樣有智慧地去應對
[00:05:31.000 --> 00:05:37.000]  第一節先講作者,然後第二第三節
[00:05:37.000 --> 00:05:43.000]  講在真言裡面那個目標,那個目的是什麼?
[00:05:43.000 --> 00:05:47.000]  原來就是對人一個普遍的期望和要求
[00:05:47.000 --> 00:05:50.000]  在第二第三節裡面所講
[00:05:50.000 --> 00:05:54.000]  就說要人懂得智慧和分晦
[00:05:54.000 --> 00:05:59.000]  明白通達的言語
[00:05:59.000 --> 00:06:03.000]  分晦是什麼?是一種勉勵
[00:06:03.000 --> 00:06:09.000]  如果英文就告訴你,再直接一點就是指引
[00:06:09.000 --> 00:06:13.000]  instruction,講了你去做就行了
[00:06:13.000 --> 00:06:16.000]  做了你就有益了
[00:06:16.000 --> 00:06:19.000]  有些地方聖經裡面說有關智慧的時候
[00:06:19.000 --> 00:06:25.000]  和聰明都是互相對調,彼此去運用
[00:06:25.000 --> 00:06:27.000]  意思就是說什麼呢?
[00:06:27.000 --> 00:06:31.000]  就是我們人生裡面我們曉得有合宜的行動
[00:06:31.000 --> 00:06:35.000]  去表達在我們的生活裡面我們一些的思考
[00:06:35.000 --> 00:06:39.000]  我們處理事情的一些技巧和才能
