
[00:00:00.000 --> 00:00:03.480]  敬請姐妹平安
[00:00:03.480 --> 00:00:05.800]  叉燒姐妹,我們感謝你至今的恩典
[00:00:05.800 --> 00:00:08.400]  讓我們在主人的清晨
[00:00:08.400 --> 00:00:09.960]  可以來到這裡敬拜你
[00:00:09.960 --> 00:00:11.720]  可以從你的話語裡面
[00:00:11.720 --> 00:00:13.720]  去學習你的真理
[00:00:13.720 --> 00:00:15.200]  我們求聖靈幫助我們
[00:00:15.200 --> 00:00:17.400]  不但學習傳奇在心裡面
[00:00:17.400 --> 00:00:20.200]  並且在我們的日常生活當中
[00:00:20.200 --> 00:00:22.080]  能夠實踐你的真理
[00:00:22.080 --> 00:00:23.440]  榮耀主的名
[00:00:23.440 --> 00:00:25.840]  以下時間求聖靈感動我們
[00:00:25.840 --> 00:00:27.600]  奉耶穌基督的名祈禱
[00:00:27.600 --> 00:00:28.400]  阿們
[00:00:30.720 --> 00:00:35.320]  上個星期我們看過《馬太福音》第十七章
[00:00:35.320 --> 00:00:38.120]  是主耶穌登山變像
[00:00:38.120 --> 00:00:43.000]  讓我們看到主耶穌作為天國的王的形象
[00:00:43.000 --> 00:00:45.000]  真的是非常榮耀的
[00:00:45.000 --> 00:00:48.000]  我也提到摩西和以利亞
[00:00:48.000 --> 00:00:50.840]  也同時出現了
[00:00:50.840 --> 00:00:53.440]  為教育門徒
[00:00:53.440 --> 00:00:57.200]  認識有關主耶穌這位微塞亞的工作
[00:00:57.560 --> 00:01:00.160]  我認為以利亞的出現
[00:01:00.160 --> 00:01:02.840]  是為了讓門徒更加相信
[00:01:02.840 --> 00:01:04.640]  主耶穌就是微塞亞
[00:01:04.640 --> 00:01:06.840]  同時也預備門徒
[00:01:06.840 --> 00:01:09.520]  向猶太人傳呼金的時候
[00:01:09.520 --> 00:01:13.560]  如何去證實主耶穌真的是微塞亞
[00:01:13.560 --> 00:01:16.840]  雖然馬拉基先知預言
[00:01:16.840 --> 00:01:20.320]  以塞亞會在微塞亞之前來
[00:01:20.320 --> 00:01:23.480]  不過真正的以利亞
[00:01:23.480 --> 00:01:25.480]  已經去了天國
[00:01:25.960 --> 00:01:29.520]  屬靈的以利亞就是施洗約翰
