
[00:00:00.000 --> 00:00:02.460]  內生這個字比較古舊的
[00:00:02.460 --> 00:00:04.000]  所以大家不知道什麼來的
[00:00:04.000 --> 00:00:04.700]  這樣說
[00:00:04.700 --> 00:00:07.400]  有沒有人知道什麼叫龜房的
[00:00:07.400 --> 00:00:08.500]  現代一點點
[00:00:08.500 --> 00:00:09.200]  都是古老的
[00:00:09.200 --> 00:00:10.000]  所以年輕那些
[00:00:10.000 --> 00:00:11.800]  你們好像扮年輕
[00:00:11.800 --> 00:00:13.000]  好像不知道什麼叫龜房
[00:00:13.000 --> 00:00:14.700]  有沒有看過粵語長片
[00:00:14.700 --> 00:00:15.900]  古裝那些
[00:00:15.900 --> 00:00:17.800]  即是水下肥下肥下那些
[00:00:17.800 --> 00:00:19.900]  龜房通常是說
[00:00:19.900 --> 00:00:20.900]  一個人
[00:00:20.900 --> 00:00:21.900]  即是很私人
[00:00:21.900 --> 00:00:22.700]  睡房
[00:00:22.700 --> 00:00:23.700]  簡單這樣說
[00:00:23.700 --> 00:00:25.100]  通常用龜房那些
[00:00:25.100 --> 00:00:26.900]  通常看到他們拜堂
[00:00:26.900 --> 00:00:27.900]  結婚
[00:00:27.900 --> 00:00:29.200]  即是新娘在裡面
[00:00:29.200 --> 00:00:32.100]  等個新郎過來的狀況
[00:00:32.100 --> 00:00:33.500]  所以龜房
[00:00:33.500 --> 00:00:36.100]  現在通常不會說龜房
[00:00:36.100 --> 00:00:38.300]  但是聽過閨蜜
[00:00:38.300 --> 00:00:39.300]  經常說閨蜜
[00:00:39.300 --> 00:00:41.300]  男孩子也經常說閨蜜
[00:00:41.300 --> 00:00:42.700]  其實是說
[00:00:42.700 --> 00:00:44.100]  兩個人的關係
[00:00:44.100 --> 00:00:45.500]  是很好
[00:00:45.500 --> 00:00:46.500]  很坦白
[00:00:46.500 --> 00:00:47.700]  如果你真的有閨蜜
[00:00:47.700 --> 00:00:48.700]  你也明白的
[00:00:48.700 --> 00:00:50.800]  甚至你跟閨蜜的關係
[00:00:50.800 --> 00:00:53.400]  其實是更加親近你老公
[00:00:53.400 --> 00:00:55.300]  所以男士不要吃醋
[00:00:55.300 --> 00:00:56.400]  在聖經裡面
[00:00:56.400 --> 00:00:59.200]  出現龜...不是龜房
[00:00:59.200 --> 00:01:00.600]  來生這個字眼
[00:01:00.600 --> 00:01:02.600]  不得不提就是雅歌書
[00:01:02.600 --> 00:01:05.600]  雅歌是一本是講愛情的書
[00:01:05.600 --> 00:01:08.100]  不過裡面其實是用愛情
[00:01:08.100 --> 00:01:12.100]  來代表了我們跟上帝的關係
[00:01:12.100 --> 00:01:14.300]  所以在書裡面
[00:01:14.300 --> 00:01:17.300]  有很多的愛情的說話
[00:01:17.300 --> 00:01:19.100]  來互相呼喚
[00:01:19.100 --> 00:01:22.900]  讓我們真的進入一個新郎
[00:01:22.900 --> 00:01:23.600]  新娘
[00:01:23.600 --> 00:01:28.100]  洞房的那種魚水交融
[00:01:28.100 --> 00:01:31.300]  那種身心靈都契合的狀態
[00:01:31.300 --> 00:01:34.500]  這個愛情是非常美麗的
[00:01:34.500 --> 00:01:36.100]  好像美酒一樣
[00:01:36.100 --> 00:01:39.000]  而在二串雅書的二十六章二十節
[00:01:39.000 --> 00:01:40.900]  都用到「內室」這個字
[00:01:40.900 --> 00:01:44.400]  這個就是上帝向他的百姓作出呼喚
[00:01:44.400 --> 00:01:46.200]  要進入上帝的內室裡面
[00:01:46.200 --> 00:01:47.100]  為什麼呢?
[00:01:47.100 --> 00:01:49.700]  你回去看看前文後理就知道
[00:01:49.700 --> 00:01:51.700]  當時是很多的禍患
[00:01:51.700 --> 00:01:53.100]  很多的困苦
[00:01:53.100 --> 00:01:55.400]  所以上帝就呼喚
[00:01:55.400 --> 00:01:58.400]  所有的百姓進入上帝的閨房
