
[00:00:00.000 --> 00:00:04.000]  在我們過去的半年裏面
[00:00:04.000 --> 00:00:06.460]  我們思想時思記
[00:00:06.460 --> 00:00:09.800]  時思記給我們一個訊息
[00:00:09.800 --> 00:00:13.340]  當我們自己做王的時候
[00:00:13.340 --> 00:00:15.340]  一切都很混亂
[00:00:15.340 --> 00:00:19.960]  當我們自己去作主的時候
[00:00:19.960 --> 00:00:22.220]  人與人之間是混亂
[00:00:22.220 --> 00:00:24.720]  社會之間很混亂
[00:00:24.720 --> 00:00:27.880]  各方面都很混亂
[00:00:27.880 --> 00:00:33.760]  在這幾次的講道
[00:00:33.760 --> 00:00:37.180]  我們來到思想
[00:00:37.180 --> 00:00:39.300]  靈風吹去聖潔復興
[00:00:39.300 --> 00:00:40.880]  怎樣復興呢?
[00:00:40.880 --> 00:00:42.380]  就是一切這麼混亂
[00:00:42.380 --> 00:00:44.180]  人以為忠心
[00:00:44.180 --> 00:00:46.460]  我們要回到神的面前
[00:00:46.460 --> 00:00:48.920]  我們才能夠去復興
[00:00:48.920 --> 00:00:54.260]  你有沒有回到這位主耶穌的面前
[00:00:54.260 --> 00:00:59.000]  去得到你的滿足呢?
[00:00:59.000 --> 00:01:03.080]  這位的主就是能夠去改變萬事的主
[00:01:03.080 --> 00:01:08.960]  這位的主就是世界的光的主
[00:01:08.960 --> 00:01:11.260]  我們需要指引
[00:01:11.260 --> 00:01:12.760]  我們混亂為甚麼?
[00:01:12.760 --> 00:01:16.760]  因為我們好像蒙頭蒼蠅那樣
[00:01:16.760 --> 00:01:19.000]  去做每一件事
[00:01:19.000 --> 00:01:22.260]  而我們是需要世界的光
[00:01:22.260 --> 00:01:23.760]  去指引我們
[00:01:23.760 --> 00:01:26.260]  去讓我們知道這條是正路
[00:01:26.260 --> 00:01:28.760]  我們是走在中間
[00:01:28.760 --> 00:01:33.260]  我們來認識耶穌是生命的糧
[00:01:33.260 --> 00:01:36.260]  去滿足我最心底的需要
[00:01:36.260 --> 00:01:38.760]  今天我們的渴求是甚麼呢?
[00:01:38.760 --> 00:01:41.760]  耶穌說我就是生命的糧
[00:01:41.760 --> 00:01:44.760]  我要滿足你最心的需要
[00:01:44.760 --> 00:01:47.260]  你心底需要甚麼呢?
[00:01:47.260 --> 00:01:50.760]  今天很多人只是尋找
[00:01:50.760 --> 00:01:52.760]  認為最需要的東西
[00:01:52.760 --> 00:01:57.760]  但很多時候都帶來我們的幻滅和空虛
[00:01:57.760 --> 00:02:03.760]  但耶穌說我就是這個生命的糧
[00:02:03.760 --> 00:02:06.760]  今天早上我們一起思想
[00:02:06.760 --> 00:02:09.260]  我是好木人
[00:02:09.260 --> 00:02:10.760]  有一位年青人
[00:02:10.760 --> 00:02:13.760]  他駕駛著自己的海豐跑車
[00:02:13.760 --> 00:02:15.760]  四處走
[00:02:15.760 --> 00:02:17.760]  去到一個荒山
[00:02:17.760 --> 00:02:20.760]  一個野嶺的地方
[00:02:20.760 --> 00:02:22.760]  他見到一個群羊
[00:02:22.760 --> 00:02:24.760]  他就停下車來
[00:02:24.760 --> 00:02:27.760]  和這位木人來傾談
[00:02:27.760 --> 00:02:31.260]  他說:你做木羊人
[00:02:31.260 --> 00:02:34.260]  如果我猜到你有幾隻羊
[00:02:34.260 --> 00:02:36.260]  你可不可以送一隻給我?
[00:02:36.260 --> 00:02:38.760]  這位木羊人看看這位年青人
[00:02:38.760 --> 00:02:42.260]  看看他帶群的羊
[00:02:42.260 --> 00:02:43.760]  他就這樣說
[00:02:43.760 --> 00:02:45.260]  好,你試一下
[00:02:45.260 --> 00:02:49.260]  這位年青人在車裏拿出電腦
[00:02:49.260 --> 00:02:52.260]  把電腦插在他的手提電話裏
[00:02:52.260 --> 00:02:56.260]  然後進入美國宇宙航空局裏
[00:02:56.260 --> 00:02:59.260]  啟動他的電話GPS進行衛星拍攝
[00:02:59.260 --> 00:03:00.260]  分析
[00:03:00.260 --> 00:03:03.260]  然後他對這位木羊人說
[00:03:03.260 --> 00:03:06.260]  你有1586隻羊
[00:03:06.260 --> 00:03:09.260]  嘩,真的很準
[00:03:09.260 --> 00:03:11.260]  這位木羊人沒有辦法
[00:03:11.260 --> 00:03:15.260]  對了,那你就拿其中一隻羊
[00:03:15.260 --> 00:03:16.260]  拿你的羊
[00:03:16.260 --> 00:03:18.760]  這位年青人就在羊群裏取了一隻
[00:03:18.760 --> 00:03:21.260]  放在他的車裏
[00:03:21.260 --> 00:03:23.260]  準備離開
[00:03:23.260 --> 00:03:24.260]  當他離開的時候
[00:03:24.260 --> 00:03:26.260]  木羊人對這位年青人說
[00:03:26.260 --> 00:03:29.260]  年青人,如果我猜中你做甚麼
[00:03:29.260 --> 00:03:34.260]  你可不可以把你的羊給我?
[00:03:34.260 --> 00:03:36.260]  這位年青人說
[00:03:36.260 --> 00:03:38.260]  好,你試一下
[00:03:38.260 --> 00:03:42.260]  這位木羊人猜
[00:03:42.260 --> 00:03:45.260]  他是IT的顧問
[00:03:45.260 --> 00:03:47.260]  這位年青人很驚訝
[00:03:47.260 --> 00:03:49.260]  嘩,為甚麼你會猜中?
[00:03:49.260 --> 00:03:51.260]  很簡單
[00:03:51.260 --> 00:03:52.260]  我猜中你
[00:03:52.260 --> 00:03:58.260]  因為你沒有呼召來這裏工作
[00:03:58.260 --> 00:04:00.260]  第二
[00:04:00.260 --> 00:04:02.260]  我已經知道的東西
[00:04:02.260 --> 00:04:05.260]  你還要來收費
[00:04:05.260 --> 00:04:07.260]  我知道自己有一隻羊
[00:04:07.260 --> 00:04:10.260]  你又收了我的羊錢
[00:04:10.260 --> 00:04:11.260]  第三
[00:04:11.260 --> 00:04:13.260]  你對木羊一無所知
[00:04:13.260 --> 00:04:16.260]  所以請你把我的狗還給我
[00:04:18.260 --> 00:04:23.260]  有時候我們對羊一無所知
[00:04:23.260 --> 00:04:25.260]  我們認識的東西其實很少
[00:04:25.260 --> 00:04:29.260]  當我們說耶穌好木人
[00:04:29.260 --> 00:04:32.260]  究竟是甚麼意思呢?
[00:04:32.260 --> 00:04:35.260]  雖然我們對羊一無所知
[00:04:35.260 --> 00:04:39.260]  但我們對寵物就越知越多
[00:04:39.260 --> 00:04:47.260]  香港據統計有大概230萬戶
[00:04:47.260 --> 00:04:52.260]  其中有29萬戶的人養有寵物
[00:04:52.260 --> 00:04:57.260]  即是差不多10戶就有一戶人家養寵物
[00:04:57.260 --> 00:05:01.260]  所以我自己想一下這個題目
[00:05:01.260 --> 00:05:05.260]  我是好木人對現在來說都不是很合用
[00:05:05.260 --> 00:05:09.260]  我是好主人
[00:05:09.260 --> 00:05:12.260]  可能會容易了解一點
[00:05:12.260 --> 00:05:14.260]  有多少人養寵物呢?
[00:05:14.260 --> 00:05:16.260]  沒有人嗎?
[00:05:16.260 --> 00:05:18.260]  也有一些
[00:05:18.260 --> 00:05:21.260]  可能更加貼題
[00:05:21.260 --> 00:05:23.260]  更加容易明白
[00:05:23.260 --> 00:05:26.260]  我是好主人
[00:05:26.260 --> 00:05:27.260]  甚麼是好主人呢?
[00:05:27.260 --> 00:05:29.260]  好木人為羊寫命
[00:05:29.260 --> 00:05:34.260]  好主人會不會為你的寵物寫命呢?
[00:05:34.260 --> 00:05:36.260]  有沒有這樣想過?
[00:05:36.260 --> 00:05:38.260]  羊有甚麼特徵呢?
[00:05:38.260 --> 00:05:41.260]  羊有幾個特徵
[00:05:41.260 --> 00:05:44.260]  第一固執
[00:05:44.260 --> 00:05:46.260]  執迷不悟
[00:05:46.260 --> 00:05:50.260]  最近我收到一個小冊子
[00:05:50.260 --> 00:05:53.260]  這個小冊子講一些見證
[00:05:53.260 --> 00:05:56.260]  講有一個年青人
[00:05:56.260 --> 00:05:58.260]  他二十多歲的時候
[00:05:58.260 --> 00:06:01.260]  他讀完大學
[00:06:01.260 --> 00:06:04.260]  開始賭波
[00:06:04.260 --> 00:06:06.260]  你知道世界盃
[00:06:06.260 --> 00:06:08.260]  不知道你有沒有賭波
[00:06:08.260 --> 00:06:10.260]  應該沒有的
[00:06:10.260 --> 00:06:14.260]  這個年青人賭波
[00:06:14.260 --> 00:06:17.260]  他賭波輸了二百萬
