
[00:00:00.000 --> 00:00:07.000]  今日的講題是我借用了近期在新聞界裏面發生的事件
[00:00:07.000 --> 00:00:10.800]  或者在香港都很重要的一個事件
[00:00:10.800 --> 00:00:14.800]  2月26日新聞工作者劉駿濤遇襲
[00:00:14.800 --> 00:00:18.700]  案件轟動全城甚至轟動全球
[00:00:18.700 --> 00:00:22.400]  以至新聞界在3月2日就發起集會遊行
[00:00:22.400 --> 00:00:28.800]  目的是表達一個訴求就是捍衛新聞自由的訴求
[00:00:28.800 --> 00:00:35.000]  集會期間大會就播放了劉駿濤之前錄了的一個聲帶
[00:00:35.000 --> 00:00:38.200]  表達他在做完手術之後
[00:00:38.200 --> 00:00:43.600]  在病床就想起讀大學的時候曾經見到的一篇大字報
[00:00:43.600 --> 00:00:46.000]  上面寫著兩句話
[00:00:46.000 --> 00:00:49.400]  就是真理在胸不在手
[00:00:49.400 --> 00:00:52.200]  無私無畏即自由
[00:00:52.200 --> 00:00:57.400]  表達的是如果要堅守真道堅守真理甚至正義
[00:00:57.400 --> 00:01:00.200]  就只有運用手上的那枝筆
[00:01:00.200 --> 00:01:04.800]  讓傳媒來發揮正直的影響力
[00:01:04.800 --> 00:01:10.200]  只要無私無畏我們就能夠享受自由
[00:01:10.200 --> 00:01:13.000]  我就想起他說真理在胸的時候
[00:01:13.000 --> 00:01:14.800]  我就想起《偉爭言》第二章
[00:01:14.800 --> 00:01:18.000]  正是講真理真理在哪裏呢
[00:01:18.000 --> 00:01:23.000]  真理在胸就是說我們是很光明正大的
[00:01:23.000 --> 00:01:26.000]  是要我們一直來持守著的
[00:01:26.000 --> 00:01:29.400]  我就用了真理在心
[00:01:29.400 --> 00:01:33.800]  因為今天講的經文是講我們要領受並且傳記
[00:01:33.800 --> 00:01:37.000]  但是正直在手又表達著一種意境
[00:01:37.000 --> 00:01:38.800]  或者表達著的訊息
[00:01:38.800 --> 00:01:42.000]  就不只是我們教徒聽了很多的真理
[00:01:42.000 --> 00:01:44.000]  藏在腦裏在心裏
[00:01:44.000 --> 00:01:46.600]  還要在我們的手甚至在我們的腳
[00:01:46.600 --> 00:01:50.600]  在我們的生命在我們的生活裏要流露出來
[00:01:50.600 --> 00:01:52.000]  流露其中一樣是甚麼呢
[00:01:52.000 --> 00:01:53.600]  特別是正直
[00:01:53.600 --> 00:01:56.400]  所以今天的講題是真理在心
[00:01:56.400 --> 00:01:58.200]  正直在手
[00:01:58.200 --> 00:02:02.200]  《偉爭言》第二章有一個很特別的結構的特色
[00:02:02.200 --> 00:02:03.800]  有兩方面
[00:02:03.800 --> 00:02:07.200]  一方面是《偉爭言》第二章是按希伯來文
[00:02:07.200 --> 00:02:09.800]  其實它全章只有一句說話
[00:02:09.800 --> 00:02:11.000]  如果你讀畫本
[00:02:11.000 --> 00:02:13.800]  你都會看到在尾那段
[00:02:13.800 --> 00:02:16.200]  十六節二十節是講智慧
[00:02:16.200 --> 00:02:18.200]  其實智慧那兩句是沒有出來的
[00:02:18.200 --> 00:02:21.000]  只是怕你讀著讀著不知道自己在讀甚麼
[00:02:21.000 --> 00:02:24.000]  所以由頭到尾是如果你領受
[00:02:24.000 --> 00:02:29.400]  如果你領受所羅門所講的言語
[00:02:29.400 --> 00:02:31.000]  即是分晦等等
[00:02:31.000 --> 00:02:32.400]  即是智慧
[00:02:32.400 --> 00:02:33.400]  都是甚麼呢
[00:02:33.400 --> 00:02:34.400]  神的真理
[00:02:34.400 --> 00:02:36.000]  就會有甚麼結果
[00:02:36.000 --> 00:02:38.400]  所以全篇就是告訴你一個訊息
[00:02:38.400 --> 00:02:39.600]  你領受智慧
[00:02:39.600 --> 00:02:41.200]  傳記這個智慧
[00:02:41.200 --> 00:02:42.400]  你追求智慧
[00:02:42.400 --> 00:02:44.000]  所帶給你的結果是怎樣呢
[00:02:44.000 --> 00:02:45.200]  一路講下去
[00:02:45.200 --> 00:02:47.600]  第二個特色是《偉爭言》第二章
[00:02:47.600 --> 00:02:49.200]  有二十二節
[00:02:49.200 --> 00:02:51.000]  二十二對我們來說沒甚麼特別
[00:02:51.000 --> 00:02:53.000]  但對希伯來人來說很特別
[00:02:53.000 --> 00:02:56.200]  因為希伯來文的字母是二十二個
[00:02:56.200 --> 00:02:58.200]  我不只第一次在崇拜講
[00:02:58.200 --> 00:02:59.600]  講了超過一次
[00:02:59.600 --> 00:03:01.000]  二十二個的字母
[00:03:01.000 --> 00:03:02.400]  所以一想起二十二
[00:03:02.400 --> 00:03:04.600]  他們就會覺得很熟悉
[00:03:04.600 --> 00:03:06.600]  有一些訊息要表達
[00:03:06.600 --> 00:03:08.000]  二十二個的字母
[00:03:08.000 --> 00:03:10.200]  他們很多時候寫成的
[00:03:10.200 --> 00:03:11.400]  那些真言
[00:03:11.400 --> 00:03:13.400]  當然這次真言是搜集回來的
[00:03:13.400 --> 00:03:15.200]  寫成的詩歌
[00:03:15.200 --> 00:03:17.400]  都是要特別留意的
[00:03:17.400 --> 00:03:19.400]  用心去作的
[00:03:19.400 --> 00:03:20.600]  不是那麼輕易
[00:03:20.600 --> 00:03:21.800]  二十二個字母
[00:03:21.800 --> 00:03:23.600]  他們是怎樣分配的呢
[00:03:23.600 --> 00:03:27.200]  二十二節可以分成兩大段
[00:03:27.200 --> 00:03:28.800]  十一節
[00:03:28.800 --> 00:03:30.000]  在兩大段裏面
[00:03:30.000 --> 00:03:32.200]  又可以分成三小節
[00:03:32.200 --> 00:03:33.400]  或者四小節
