
[00:00:00.000 --> 00:00:01.000]  丁姊妹平安
[00:00:01.000 --> 00:00:04.000]  讓我們再一次祈禱
[00:00:04.000 --> 00:00:11.000]  天父上帝,我們獻上感恩
[00:00:11.000 --> 00:00:14.000]  特別是當我們今天能夠一起相聚
[00:00:14.000 --> 00:00:16.000]  這是祢的恩典
[00:00:16.000 --> 00:00:22.000]  希望在過去兩星期有暴雨,有狂風
[00:00:22.000 --> 00:00:25.000]  今天我們仍然能夠有平安
[00:00:25.000 --> 00:00:28.000]  讓我們去珍惜,去細味
[00:00:29.000 --> 00:00:31.000]  但願我們今天在祢的殿當中
[00:00:31.000 --> 00:00:33.000]  能夠去到祢面前
[00:00:33.000 --> 00:00:35.000]  開我們的耳朵,細心去聆聽
[00:00:35.000 --> 00:00:38.000]  開我們的眼睛,能夠佔有祢的榮光
[00:00:38.000 --> 00:00:41.000]  並且用我們的手腳,用我們的行動
[00:00:41.000 --> 00:00:43.000]  作為回應主祢的一份
[00:00:43.000 --> 00:00:46.000]  有些人口中的言語,弟兄姊妹之間是心思意念
[00:00:46.000 --> 00:00:48.000]  蒙聖靈的啟迪,蒙主的月立
[00:00:48.000 --> 00:00:50.000]  禱告奉耶穌基督的命求
[00:00:50.000 --> 00:00:53.000]  各位朋友,各位弟兄姊妹
[00:00:53.000 --> 00:00:57.000]  今天跟大家思考一個題目叫做歡恕
[00:00:58.000 --> 00:00:59.000]  或者是饒恕
[00:00:59.000 --> 00:01:02.000]  饒恕對你來說難不難?
[00:01:02.000 --> 00:01:05.000]  我記得曾經有朋友跟我說過
[00:01:05.000 --> 00:01:08.000]  很多事情要在心裡面
[00:01:08.000 --> 00:01:12.000]  能夠慢慢時間過去,沒有那麼多憤怒
[00:01:12.000 --> 00:01:15.000]  但可能有些事情沒有辦法饒恕
[00:01:15.000 --> 00:01:18.000]  甚至有朋友跟我說
[00:01:18.000 --> 00:01:20.000]  牧師,其實我覺得基督教也很好
[00:01:20.000 --> 00:01:23.000]  我也相信耶穌,我也會回教會聽聽道理
[00:01:23.000 --> 00:01:25.000]  也不錯的
[00:01:26.000 --> 00:01:28.000]  如果信仰告訴我,要去饒恕某些人
[00:01:28.000 --> 00:01:30.000]  某些事情,對不起
[00:01:30.000 --> 00:01:33.000]  我唯有另一面離開
[00:01:33.000 --> 00:01:37.000]  饒恕的功課,可能是一輩子的功課
[00:01:37.000 --> 00:01:39.000]  對很多人來說,人越大
[00:01:39.000 --> 00:01:42.000]  經歷很多,甚至經歷更多
[00:01:42.000 --> 00:01:44.000]  可能被傷害的時候
[00:01:44.000 --> 00:01:48.000]  所以饒恕的功課是越來越難去學的
[00:01:48.000 --> 00:01:52.000]  很多人以為,作為信徒,回到教會
[00:01:53.000 --> 00:01:56.000]  應該對生活的行事為人
[00:01:56.000 --> 00:01:59.000]  道德行為等等,要求會多一些
[00:01:59.000 --> 00:02:01.000]  是不是?回教會
[00:02:01.000 --> 00:02:03.000]  有沒有這樣被人說過你呢?
[00:02:03.000 --> 00:02:05.000]  你回教會的,你應該這樣
[00:02:05.000 --> 00:02:08.000]  你回教會的,你應該這樣
[00:02:08.000 --> 00:02:11.000]  可能有些是道德,生活,不同的描述
[00:02:11.000 --> 00:02:13.000]  或者是一些期望
[00:02:13.000 --> 00:02:15.000]  有人會這樣想
