
[00:00:00.000 --> 00:00:03.600]  第二位姐妹 今天是今年的第一個主日
[00:00:03.600 --> 00:00:05.400]  雖然是1月7號
[00:00:05.400 --> 00:00:07.000]  但是還是恭喜大家
[00:00:07.000 --> 00:00:08.900]  新年非常非常非常快樂
[00:00:08.900 --> 00:00:10.600]  Amen
[00:00:10.600 --> 00:00:15.100]  每年在歲首年終的時候
[00:00:15.100 --> 00:00:18.700]  都是一個回顧跟前瞻的時刻
[00:00:18.700 --> 00:00:20.600]  我還記得上個禮拜在12月31號
[00:00:20.600 --> 00:00:22.700]  我們跨年禱告會的時候
[00:00:22.700 --> 00:00:28.300]  我就嘗試地列出去年十大感恩的事情
[00:00:28.300 --> 00:00:30.900]  我就發現不數算則已
[00:00:30.900 --> 00:00:34.400]  一數算神的恩典就是數算不完
[00:00:34.400 --> 00:00:39.100]  感恩的事是多到不知道該選哪一條
[00:00:39.100 --> 00:00:41.900]  雖然我選出了十大
[00:00:41.900 --> 00:00:45.700]  但我只能說那是我眼中的十大
[00:00:45.700 --> 00:00:48.200]  還有很多各式各樣的恩典
[00:00:48.200 --> 00:00:50.300]  是我沒有列出來
[00:00:50.300 --> 00:00:51.400]  首先我列出來一下
[00:00:51.400 --> 00:00:52.200]  首先第一個
[00:00:52.200 --> 00:00:55.500]  我們的恩典就是去年2月12號
[00:00:55.500 --> 00:00:59.300]  我們Shakina Glory建堂工程破土典禮
[00:00:59.300 --> 00:01:01.500]  還記得那個小玻璃瓶嗎
[00:01:01.500 --> 00:01:02.100]  還記得
[00:01:02.100 --> 00:01:03.500]  你每一個人都裝那個沙子
[00:01:03.500 --> 00:01:05.100]  帶回來紀念瓶的
[00:01:05.100 --> 00:01:06.000]  第二
[00:01:06.000 --> 00:01:07.400]  去年6月9號
[00:01:07.400 --> 00:01:11.100]  Shakina Glory突破恩高降臨了
[00:01:11.100 --> 00:01:12.500]  爲什麼是6月9號
[00:01:12.500 --> 00:01:14.700]  因爲6月9號那天推土車
[00:01:14.700 --> 00:01:17.200]  正式開入我們教會里面
[00:01:17.200 --> 00:01:20.500]  可見得突破恩高真的降臨
[00:01:20.500 --> 00:01:21.900]  在我們困境當中
[00:01:21.900 --> 00:01:23.100]  神爲我們開路
[00:01:23.100 --> 00:01:24.300]  第三
