
[00:00:00.000 --> 00:00:03.580]  我們打開聖經在以色列書第61章第9節
[00:00:03.580 --> 00:00:07.160]  以色列書第61章第9節
[00:00:07.160 --> 00:00:09.720]  這一節的聖經我們一同來念
[00:00:09.720 --> 00:00:13.560]  他們的後裔必在列國中被人認識
[00:00:13.560 --> 00:00:16.640]  他們的子孫在眾民中也是如此
[00:00:16.640 --> 00:00:22.020]  凡看見他們的必認他們是耶和華賜福的後裔
[00:00:22.020 --> 00:00:24.060]  哇,何等寶貴的經文,Amen?
[00:00:24.060 --> 00:00:28.920]  上個禮拜Sidney Jacob在我們中間有一連串的聚會
[00:00:29.180 --> 00:00:32.000]  好幾堂的信息他都提到說
[00:00:32.000 --> 00:00:35.580]  一個世代傳承的影響力
[00:00:35.580 --> 00:00:40.180]  就特別講到說這個在這個影響力的領域裡面
[00:00:40.180 --> 00:00:42.240]  家庭的一個重要性
[00:00:42.240 --> 00:00:47.620]  如果你還記得在那個禮拜六晚上他在帶領的聚會裡面
[00:00:47.620 --> 00:00:51.200]  他特別請到好幾對父母跟兒女
[00:00:51.200 --> 00:00:54.020]  上台來彼此的祝福
[00:00:54.020 --> 00:00:57.600]  我相信很多的弟兄姐妹都很深受感動
[00:00:58.120 --> 00:01:02.200]  你知道特別是那幾天我看見我們中間的青少年
[00:01:02.200 --> 00:01:04.760]  我看見我們的青少年
[00:01:04.760 --> 00:01:07.080]  他們對主是何等的渴慕
[00:01:07.080 --> 00:01:11.160]  他們是何等一個愛主的心在他們心中
[00:01:11.160 --> 00:01:16.540]  我每次看到我們中間青少年我真的我的心不能夠不被他們所觸摸
[00:01:16.540 --> 00:01:20.640]  一方面我在神面前為他們獻上感謝
[00:01:20.640 --> 00:01:25.000]  另一方面我在神面前也真的為我們這一代
[00:01:25.000 --> 00:01:26.780]  有一個禱告
[00:01:27.300 --> 00:01:30.880]  我說主啊求你興起我們這一代來
[00:01:30.880 --> 00:01:33.700]  好讓我們的下一代
[00:01:33.700 --> 00:01:37.280]  能夠成為公益淨錢的後裔
[00:01:37.280 --> 00:01:38.300]  Amen
[00:01:38.300 --> 00:01:40.620]  就像今天所讀這段經文裡面
[00:01:40.620 --> 00:01:43.940]  甚至他們能夠在列國
[00:01:43.940 --> 00:01:47.020]  在萬民當中被認識
[00:01:47.020 --> 00:01:49.060]  想想看
[00:01:49.060 --> 00:01:51.360]  讓我們的下一代
[00:01:51.360 --> 00:01:55.460]  真是成為公益淨錢的後裔
[00:01:55.980 --> 00:01:59.300]  連萬國萬民都認識他們
[00:01:59.300 --> 00:02:02.900]  是耶和華賜福的後裔
[00:02:02.900 --> 00:02:08.520]  我心中在神面前有一個禱告主啊,為著我們下一代
[00:02:08.520 --> 00:02:11.600]  求神興起我們這一代
[00:02:11.600 --> 00:02:13.380]  Amen
[00:02:13.380 --> 00:02:15.180]  不只是下一代
[00:02:15.180 --> 00:02:17.480]  更是我們這一代
[00:02:17.480 --> 00:02:21.060]  求主來恢復我們求主來復興我們
[00:02:21.060 --> 00:02:23.620]  弟兄姊妹們這是不是你的心願呢
[00:02:24.400 --> 00:02:27.220]  所以今天早上我們要從好幾方面我們一同來思想
[00:02:27.220 --> 00:02:31.060]  怎麼樣能夠為神興起那公益
[00:02:31.060 --> 00:02:32.600]  淨錢的後裔
[00:02:32.600 --> 00:02:34.900]  從三方面來講第一個
[00:02:34.900 --> 00:02:38.480]  我們一定要用生命來影響生命
[00:02:38.480 --> 00:02:40.540]  跟你們說要用生命來影響生命
[00:02:40.540 --> 00:02:45.140]  生命的榜樣太重要了
[00:02:45.140 --> 00:02:49.240]  我們很多時候講到教養兒女很多的原則
[00:02:49.240 --> 00:02:51.800]  可是我告訴你沒有一個原則
[00:02:52.300 --> 00:02:54.860]  比這個生命的原則更重要
[00:02:54.860 --> 00:02:57.420]  因為只有生命
[00:02:57.420 --> 00:02:59.220]  才能影響生命
[00:02:59.220 --> 00:03:02.280]  你如果希望你的兒女愛主
[00:03:02.280 --> 00:03:04.080]  那你自己
[00:03:04.080 --> 00:03:05.620]  最好先來愛主
[00:03:05.620 --> 00:03:06.900]  Amen
[00:03:06.900 --> 00:03:09.960]  如果你希望你的兒女
[00:03:09.960 --> 00:03:12.020]  做一個每天的基督徒
[00:03:12.020 --> 00:03:13.560]  那你自己
[00:03:13.560 --> 00:03:16.360]  最好就先做個每天的基督徒
[00:03:16.360 --> 00:03:21.240]  不要只是做個一個禮拜只有半天的基督徒禮拜天早上而已
[00:03:21.740 --> 00:03:23.020]  嚴格講還不是半天
[00:03:23.020 --> 00:03:24.560]  只有一個半鐘頭
[00:03:24.560 --> 00:03:29.160]  如果你渴望心中被主的火
[00:03:29.160 --> 00:03:30.960]  所點燃
[00:03:30.960 --> 00:03:33.520]  你的兒女希望有愛主的心
[00:03:33.520 --> 00:03:34.800]  那你自己
[00:03:34.800 --> 00:03:36.080]  先要
[00:03:36.080 --> 00:03:37.360]  有一個愛主的心
[00:03:37.360 --> 00:03:43.240]  那多少時候我們在教會裡面很容易就是在為別人品頭論足
[00:03:43.240 --> 00:03:46.820]  在教會裡面很容易說那個人很愛主這個人比較不愛主
[00:03:46.820 --> 00:03:48.360]  我們喜歡講來講去
[00:03:48.360 --> 00:03:51.180]  但真正的問題是
[00:03:51.680 --> 00:03:52.200]  你
[00:03:52.200 --> 00:03:53.740]  愛主嗎
[00:03:53.740 --> 00:03:59.120]  那時候我們常常用我們自己的標準去衡量別人
[00:03:59.120 --> 00:04:03.460]  我們也很喜歡用我們自己的標準來衡量我們的兒女
[00:04:03.460 --> 00:04:06.280]  所以我們對他們要求很多嘛
[00:04:06.280 --> 00:04:07.560]  很多期望
[00:04:07.560 --> 00:04:09.600]  希望他達到我們的標準
[00:04:09.600 --> 00:04:11.920]  很多時候我們卻
