
[00:00:00.000 --> 00:00:06.240]  禱告是基督徒生命當中是非常之重要的一件事
[00:00:06.240 --> 00:00:09.080]  基督徒都應該是不住禱告
[00:00:09.080 --> 00:00:14.200]  所以在聖經裏面也有很多教我們禱告的經文
[00:00:14.200 --> 00:00:21.000]  我記得我在兩年前和大家講過《馬太福音》第六章
[00:00:21.000 --> 00:00:23.760]  主教我們如何禱告
[00:00:23.760 --> 00:00:27.520]  我記得我上一個系列講《針研》的時候
[00:00:27.520 --> 00:00:30.720]  也是有一個訊息叫做《禱告的智慧》
[00:00:30.720 --> 00:00:32.720]  也是教我們禱告
[00:00:32.720 --> 00:00:35.800]  今天又有一個關於禱告的訊息
[00:00:35.800 --> 00:00:37.600]  就是保羅的禱告
[00:00:37.600 --> 00:00:41.600]  我叫他做使能力擴張的禱告
[00:00:41.600 --> 00:00:44.400]  經文是記載在這裏
[00:00:44.400 --> 00:00:48.920]  已不鎖書的一章十五至二十三節
[00:00:48.920 --> 00:00:50.800]  經文一開始就說
[00:00:50.800 --> 00:00:56.720]  因此既聽見你們順從主耶穌親愛眾聖徒
[00:00:56.720 --> 00:00:58.800]  一開始就說因此
[00:00:58.800 --> 00:01:01.320]  講到因此我們就知道了
[00:01:01.320 --> 00:01:04.400]  是和前面的經文息息相關
[00:01:04.400 --> 00:01:07.040]  前面就是我上一次和大家講
[00:01:07.040 --> 00:01:10.320]  在已不鎖書的一章三至十四節
[00:01:10.320 --> 00:01:13.920]  保羅告訴我們我們基督徒是多有福份
[00:01:13.920 --> 00:01:15.440]  是多有福氣
[00:01:15.440 --> 00:01:18.800]  他告訴我們在宇宙的開始
[00:01:18.800 --> 00:01:20.920]  神已經揀選了我們
[00:01:20.920 --> 00:01:24.800]  祂還收養我們領養我們成為祂的兒女
[00:01:24.800 --> 00:01:30.680]  祂接受我們還猜派耶穌基督來救贖我們
[00:01:30.680 --> 00:01:32.080]  還不單止這樣
[00:01:32.080 --> 00:01:35.800]  祂還猜派聖靈擺在我們每個人的身上
[00:01:35.800 --> 00:01:39.600]  以致我們能夠明白神的話語
[00:01:39.600 --> 00:01:41.600]  神的旨意
[00:01:41.600 --> 00:01:45.920]  祂還將天上一切的基業賜給了我們
[00:01:45.920 --> 00:01:47.920]  還將聖靈擺在我們的身上
[00:01:47.920 --> 00:01:49.320]  我們有聖靈的恩基
[00:01:49.320 --> 00:01:52.280]  有聖靈的憑據在我們的身上
[00:01:52.280 --> 00:01:54.600]  你說我們是多有福氣
[00:01:54.600 --> 00:01:56.120]  但是很可惜
[00:01:56.120 --> 00:01:58.400]  可能有很多的基督徒都不知道
[00:01:58.400 --> 00:02:00.880]  原來我們是這麼有福氣
[00:02:00.880 --> 00:02:03.520]  當我們不知道我們是這麼有福氣的時候
[00:02:03.520 --> 00:02:05.600]  我們就不能夠去經歷
[00:02:05.600 --> 00:02:08.000]  不能夠去享受這些福氣
[00:02:08.000 --> 00:02:11.200]  其實真的非常之可惜
[00:02:11.200 --> 00:02:14.800]  有一個人叫做William Randolph Hearst
[00:02:14.800 --> 00:02:17.760]  這個人是非常之出名
[00:02:17.760 --> 00:02:19.760]  他在新聞界是發達
[00:02:19.760 --> 00:02:22.880]  他被譽為是新聞界的希特勒
[00:02:22.880 --> 00:02:26.400]  他被譽為是黃色新聞的大王
[00:02:26.400 --> 00:02:28.400]  在南加州
[00:02:28.400 --> 00:02:30.400]  如果我們開車上去北加州
[00:02:30.400 --> 00:02:32.400]  去探望Lorry
[00:02:32.400 --> 00:02:35.400]  我們在這裏如果開101公路的時候
[00:02:35.400 --> 00:02:38.400]  就一定會經過有個Castle
[00:02:38.400 --> 00:02:39.400]  叫做甚麼Castle
[00:02:39.400 --> 00:02:41.400]  Hearst Castle
[00:02:41.400 --> 00:02:45.400]  就是這個William Hearst其中一個產業
[00:02:45.400 --> 00:02:49.400]  你去到裏面你會發覺有很多很多的藝術品
[00:02:49.400 --> 00:02:51.400]  這個William Hearst是收藏藝術品
[00:02:51.400 --> 00:02:53.400]  他很喜歡藝術品
[00:02:53.400 --> 00:02:55.400]  有一次他在雜誌上見到
[00:02:55.400 --> 00:02:58.400]  有一件價值連城的藝術品
[00:02:58.400 --> 00:02:59.400]  他很喜歡
[00:02:59.400 --> 00:03:02.400]  他說無論是多少的價錢
[00:03:02.400 --> 00:03:05.400]  我都要得到這件藝術品
[00:03:05.400 --> 00:03:10.400]  很可惜沒有人知道這個藝術品是在哪裏
[00:03:10.400 --> 00:03:13.400]  所以他就差派了他的手下
[00:03:13.400 --> 00:03:16.400]  去找這件藝術品
[00:03:16.400 --> 00:03:18.400]  找了很久很久
[00:03:18.400 --> 00:03:20.400]  他的手下走來跟他說
[00:03:20.400 --> 00:03:22.400]  我們終於找到了Mr. Hearst
[00:03:22.400 --> 00:03:26.400]  這件藝術品現在正是在一個Warehouse
[00:03:26.400 --> 00:03:28.400]  在一個貨倉裏面
