
[00:00:00.000 --> 00:00:03.000]  弟兄姊妹平安,我們一齊祈禱
[00:00:03.000 --> 00:00:08.000]  再次感謝您的恩典,讓我們在這裡的精神
[00:00:08.000 --> 00:00:11.000]  有這個機會可以一同聚集
[00:00:11.000 --> 00:00:15.000]  嘗試敬拜您,亦都聆聽您的話語
[00:00:15.000 --> 00:00:20.000]  以下的時間,求聖靈幫助我們明白您的教導
[00:00:20.000 --> 00:00:24.000]  奉耶穌幾多名祈禱,阿們
[00:00:24.000 --> 00:00:28.000]  今年我們教會是要推動一個全體會眾
[00:00:28.000 --> 00:00:33.000]  勇敢去傳福音,帶領更多人進入天國
[00:00:33.000 --> 00:00:39.000]  教會選用了一個英文字叫「Bold」
[00:00:39.000 --> 00:00:41.000]  可以翻譯為「勇敢」
[00:00:41.000 --> 00:00:44.000]  其實每個英文字母都有一個意思
[00:00:44.000 --> 00:00:48.000]  或者是方法幫助我們傳福音
[00:00:48.000 --> 00:00:50.000]  「Be」是「Be Curious」
[00:00:50.000 --> 00:00:53.000]  要我們對別人的事有興趣
[00:00:53.000 --> 00:00:58.000]  上星期的經文,我們看到保羅很勇敢
[00:00:58.000 --> 00:01:02.000]  但他亦對雅典人的信仰很有興趣
[00:01:02.000 --> 00:01:05.000]  甚至他們的文化
[00:01:05.000 --> 00:01:10.000]  所以他可以引用他們所熟悉的私人說話
[00:01:10.000 --> 00:01:13.000]  去見證我們的信仰
[00:01:13.000 --> 00:01:16.000]  「O」代表「Open Our Faith」
[00:01:16.000 --> 00:01:21.000]  即是找機會向別人表明我們自己的信仰
[00:01:21.000 --> 00:01:26.000]  這當然是假設我們跟我們傳福音的對象
[00:01:26.000 --> 00:01:29.000]  已經有一定的友誼關係之後
[00:01:29.000 --> 00:01:34.000]  然後找機會向他們講及我們的信仰
[00:01:34.000 --> 00:01:37.000]  「L」就是「Link to the Church」
[00:01:37.000 --> 00:01:40.000]  邀請對方來教會
[00:01:40.000 --> 00:01:44.000]  我們有些活動是針對未信主的朋友
[00:01:44.000 --> 00:01:47.000]  例如免費的英語繪畫班
[00:01:47.000 --> 00:01:48.000]  步行活動
