
[00:00:00.000 --> 00:00:03.320]  如果我說香港是一個講求成功的社會
[00:00:03.320 --> 00:00:05.560]  相信弟兄姊妹都不會反對
[00:00:05.560 --> 00:00:06.560]  是不是
[00:00:06.560 --> 00:00:09.440]  近期有機會看到
[00:00:09.440 --> 00:00:11.720]  有些人引述李嘉誠先生
[00:00:11.720 --> 00:00:14.320]  一個在眾人眼中很成功的人士
[00:00:14.320 --> 00:00:17.360]  在一場演講裏面所講的說話
[00:00:17.360 --> 00:00:19.600]  這番說話他不是一次過講的
[00:00:19.600 --> 00:00:20.920]  是講了很多段
[00:00:20.920 --> 00:00:22.560]  將它撮下來
[00:00:22.560 --> 00:00:25.360]  他說為什麼很多人一直都不成功呢
[00:00:25.360 --> 00:00:28.600]  他說不是這一生都沒有機遇
[00:00:28.600 --> 00:00:31.560]  而是沒有爭取和把握
[00:00:31.560 --> 00:00:32.960]  藉口太多
[00:00:32.960 --> 00:00:34.280]  理由太多
[00:00:34.280 --> 00:00:36.120]  他是不行動
[00:00:36.120 --> 00:00:37.560]  我看了之後
[00:00:37.560 --> 00:00:39.080]  又覺得有少少道理
[00:00:39.080 --> 00:00:41.200]  但當再細想
[00:00:41.200 --> 00:00:42.520]  我就想
[00:00:42.520 --> 00:00:44.760]  為什麼要追求成功呢
[00:00:44.760 --> 00:00:50.520]  如果我們沒有世人眼中所講的成功或者是成就
[00:00:50.520 --> 00:00:52.800]  其實那又怎樣呢
[00:00:52.800 --> 00:00:57.600]  成功是這個世界很強調的一件事
[00:00:57.600 --> 00:00:59.240]  或者一種價值觀
[00:00:59.240 --> 00:01:01.160]  甚至有時連教會都是
[00:01:01.160 --> 00:01:02.400]  連教會都講求
[00:01:02.400 --> 00:01:04.000]  樣樣東西都要成功
[00:01:04.000 --> 00:01:05.280]  所以你要成功
[00:01:05.280 --> 00:01:06.680]  即是抗糖
[00:01:06.680 --> 00:01:08.440]  成功直糖
[00:01:08.440 --> 00:01:11.160]  那你做一些事都不成功來做什麼呢
[00:01:11.160 --> 00:01:13.120]  是不是這樣的呢
[00:01:13.120 --> 00:01:15.440]  有人曾經來到批評名堂
[00:01:15.440 --> 00:01:19.440]  每個星期都刊登程序表出席的人數
[00:01:19.440 --> 00:01:22.480]  是不是要顯示你有多少人呢
[00:01:22.480 --> 00:01:25.920]  是不是這樣就代表成功呢
[00:01:25.920 --> 00:01:31.040]  那麼一間教會追求的是什麼呢
[00:01:31.040 --> 00:01:35.320]  今天我要和大家介紹一個失敗者
[00:01:35.320 --> 00:01:40.400]  我要稱他為使命不達的二百佛提
[00:01:40.400 --> 00:01:42.480]  我帶大家看看
[00:01:42.480 --> 00:01:45.520]  使徒保羅怎樣評價他
[00:01:45.520 --> 00:01:47.440]  怎樣對待他
[00:01:47.440 --> 00:01:52.240]  以致我們可以在這個被成功的價值觀
