
[00:00:00.000 --> 00:00:04.300]  很高興可以在今天跟大家一起分享神的話語
[00:00:04.300 --> 00:00:07.280]  沒什麼人今天有一個感覺是
[00:00:07.280 --> 00:00:09.300]  第一個禮拜來的
[00:00:09.300 --> 00:00:11.460]  因爲1月1日是禮拜一
[00:00:11.460 --> 00:00:13.120]  今天是1月7日
[00:00:13.120 --> 00:00:15.120]  我們已經過了新年的氣氛了
[00:00:15.120 --> 00:00:20.240]  所以我們不覺得這個禮拜日是新一年裏面第一個的主日
[00:00:20.240 --> 00:00:23.920]  但是呢,至少理性上我知道是第一個主日
[00:00:23.920 --> 00:00:26.080]  所以是特別的寶貴
[00:00:26.080 --> 00:00:28.960]  第二方面就是很大的感受
[00:00:28.960 --> 00:00:30.960]  因爲剛剛我進來的時候有人跟我說
[00:00:30.960 --> 00:00:35.380]  "牧師,我又聽你上個禮拜的講道,就是上一次的講道"
[00:00:35.380 --> 00:00:39.520]  "我又去看你今天要講的經文"
[00:00:39.520 --> 00:00:41.720]  有兩個人跟我講了
[00:00:41.720 --> 00:00:43.720]  我想看不知道爲什麼有第三個
[00:00:43.720 --> 00:00:49.400]  "今天,如果你知道我講了詩篇九十篇,從崇拜之前已經看了,請你舉一舉手好嗎"
[00:00:49.400 --> 00:00:51.180]  哇,都很感恩
[00:00:51.180 --> 00:00:53.360]  都至少有十個左右,OKOK
[00:00:53.360 --> 00:00:57.560]  我上一次的講道都有少少果效的
[00:00:57.560 --> 00:01:00.800]  希望我們不只聽到,我們去行道
[00:01:00.800 --> 00:01:04.120]  因爲上一次和大家去看博士
[00:01:04.120 --> 00:01:07.320]  就是那些智者來尋找耶穌,就看到"敬拜"
[00:01:07.320 --> 00:01:09.600]  "敬拜"是我們要有很好的準備
[00:01:09.600 --> 00:01:12.560]  我們有沒有說要用今天的"敬拜"來禱告呢?
[00:01:12.560 --> 00:01:15.840]  我們有沒有好好的預備今天我們要領受的經文呢?
[00:01:15.840 --> 00:01:18.400]  因爲我知道教會是列出來的,對不對?
[00:01:18.400 --> 00:01:22.360]  希望下一次,我3月3日來講道的時候
[00:01:22.360 --> 00:01:24.640]  會多一些人去看一看我要講的經文
[00:01:24.640 --> 00:01:26.080]  不過我都不知道我要講什麼
[00:01:26.080 --> 00:01:27.760]  那麼就靠神來帶領了
[00:01:27.760 --> 00:01:30.480]  好,那麼在新的一年開始
[00:01:30.480 --> 00:01:32.640]  有一句話大家都很熟悉的
[00:01:32.640 --> 00:01:37.600]  "一年之計在於春,一日之計在於神"
[00:01:37.600 --> 00:01:40.640]  但是你留意那個"神"我擺了是什麼呢?
[00:01:40.640 --> 00:01:42.480]  不是"神祖"的"神"
[00:01:42.480 --> 00:01:44.640]  是我們所相信的"神"
[00:01:44.640 --> 00:01:46.800]  今天我們每一年的開始
[00:01:46.800 --> 00:01:48.960]  甚至我們每一天的開始
[00:01:48.960 --> 00:01:54.560]  我們有沒有將我們那一天的生活交託給"神"
[00:01:54.560 --> 00:01:57.120]  仰望"神"這個是很重要的
[00:01:57.120 --> 00:01:58.400]  作爲一個基督徒
[00:01:58.400 --> 00:02:00.080]  有時候很真誠地講
[00:02:00.080 --> 00:02:02.960]  我很記得我小時候看過一個文章
[00:02:02.960 --> 00:02:05.200]  對我現在都很有幫助的
[00:02:05.200 --> 00:02:06.960]  當我自己站起來的時候
[00:02:06.960 --> 00:02:09.040]  文章是沒有講到這裏的
[00:02:09.040 --> 00:02:10.960]  但是對我來講是很重要的
[00:02:10.960 --> 00:02:11.920]  我就跟"神"說
[00:02:11.920 --> 00:02:15.200]  "神啊,多謝你,你又讓我過了一晚了"
[00:02:15.200 --> 00:02:17.280]  "我今天還有生命氣息"
[00:02:17.280 --> 00:02:19.120]  "不要以爲是必然的"
[00:02:19.120 --> 00:02:22.480]  "因爲我真的認識我會友的父親"
[00:02:22.480 --> 00:02:24.800]  "他有睡眠疾色症"
[00:02:24.800 --> 00:02:26.080]  "想不到"
[00:02:26.080 --> 00:02:28.880]  "睡着睡着就離開了世界"
[00:02:28.880 --> 00:02:31.120]  當然這些是安樂的離開
[00:02:31.120 --> 00:02:32.800]  都沒有經過一些痛苦
[00:02:32.800 --> 00:02:34.160]  但是都是一個不幸
[00:02:34.160 --> 00:02:36.320]  所以活着不是必然的
[00:02:36.320 --> 00:02:37.520]  所以我們一起牀
[00:02:37.520 --> 00:02:38.960]  有沒有去祈禱
[00:02:38.960 --> 00:02:40.320]  "神啊,我多謝你"
[00:02:40.320 --> 00:02:43.120]  "你又讓我過了一天了"
[00:02:43.120 --> 00:02:46.000]  然後刷牙的時候
[00:02:46.000 --> 00:02:48.080]  我記得有一個文章教我講
[00:02:48.080 --> 00:02:49.360]  叫我不要"口臭"
[00:02:49.360 --> 00:02:50.480]  "口臭"是我講的
[00:02:50.480 --> 00:02:52.480]  就是叫我能夠"口出欣言"
[00:02:52.480 --> 00:02:54.160]  可以說造就人的說話
[00:02:54.160 --> 00:02:54.880]  是不是
[00:02:54.880 --> 00:02:56.640]  當我洗臉的時候就說
[00:02:56.640 --> 00:02:59.280]  "神啊,不是隻叫我靚仔或者靚女"
[00:02:59.280 --> 00:03:00.480]  "而是叫我什麼呢"
[00:03:00.480 --> 00:03:03.760]  有一個美麗的生命表達你
[00:03:03.760 --> 00:03:06.080]  有時候很簡單的一兩句土文
[00:03:06.080 --> 00:03:07.520]  都會成爲我們的開始
[00:03:07.520 --> 00:03:11.360]  所以一日之計在於"神"是很重要的
[00:03:11.360 --> 00:03:13.360]  好了,今天我們看詩篇的時候
