
[00:00:00.000 --> 00:00:03.040]  將我們求祢的榮耀大大的臨在
[00:00:03.040 --> 00:00:05.280]  無論將至我們的生命裏面
[00:00:05.280 --> 00:00:08.080]  亦都進到我們每一個的家庭裏面
[00:00:08.080 --> 00:00:11.880]  我們很想見到我們和天父關係的復和
[00:00:11.880 --> 00:00:14.960]  亦都帶進我們家庭關係的復和當中
[00:00:14.960 --> 00:00:17.960]  求神就在我們這個中國人過年的日子裏面
[00:00:17.960 --> 00:00:22.080]  我們願意求祢的靈去大大充滿我們
[00:00:22.080 --> 00:00:24.560]  讓我們能夠成為祢愛的出口
[00:00:24.560 --> 00:00:26.640]  能夠成為祢的福音的出口
[00:00:26.640 --> 00:00:30.520]  能夠在我們的家裏面去榮耀神
[00:00:30.520 --> 00:00:33.160]  讓我們的家人見到我們的時候
[00:00:33.160 --> 00:00:35.280]  就將榮耀歸給耶穌基督
[00:00:35.280 --> 00:00:37.800]  他們能夠得著他們當得的平安
[00:00:37.800 --> 00:00:39.640]  主我們求祢與我們同在
[00:00:39.640 --> 00:00:40.960]  與南圍的禱告
[00:00:40.960 --> 00:00:43.240]  奉耶穌基督的聖名致祈求
[00:00:43.240 --> 00:00:43.960]  Amen
[00:00:43.960 --> 00:00:44.960]  我們請坐
[00:00:44.960 --> 00:00:49.480]  Pastor Ken在年初的時候
[00:00:49.480 --> 00:00:54.560]  當他為我們整年的崇拜講題
[00:00:54.560 --> 00:00:56.520]  做了一個開場的時候
[00:00:56.520 --> 00:00:57.920]  他說到一件事
[00:00:57.920 --> 00:01:00.800]  記不記得獅子山有張Banner說
[00:01:00.800 --> 00:01:02.840]  「我要真門徒」
[00:01:02.840 --> 00:01:04.040]  記得吧
[00:01:04.040 --> 00:01:05.520]  我今天都告訴你
[00:01:05.520 --> 00:01:08.960]  我都是一個真的迎新員
[00:01:08.960 --> 00:01:13.560]  其實我穿成這樣都不是假的
[00:01:13.560 --> 00:01:16.480]  我本身都是負責迎新侍宮
[00:01:16.480 --> 00:01:18.040]  亦都是鼓勵大家
[00:01:18.040 --> 00:01:19.520]  其實我們很需要迎新員
[00:01:19.520 --> 00:01:20.560]  請大家拜託拜託
[00:01:20.560 --> 00:01:23.360]  如果你們有興趣要參加迎新的侍奉
[00:01:23.360 --> 00:01:25.120]  特別是星期日的十二點
[00:01:25.120 --> 00:01:27.240]  我們很需要侍奉人員
[00:01:27.240 --> 00:01:30.040]  請大家可以考慮一下這個侍奉
[00:01:30.040 --> 00:01:31.760]  更加重要我穿成這樣
[00:01:31.760 --> 00:01:33.480]  有另外一個心
[00:01:33.480 --> 00:01:35.960]  我感覺到特別在一些節期
[00:01:35.960 --> 00:01:36.880]  我們要出隊
[00:01:36.880 --> 00:01:38.320]  聖誕、新年
[00:01:38.320 --> 00:01:39.680]  我要告訴大家
[00:01:39.680 --> 00:01:42.920]  我是一個真的同福人
[00:01:42.920 --> 00:01:45.480]  同福的心就是這樣
[00:01:45.480 --> 00:01:47.120]  我們穿成這樣
[00:01:47.120 --> 00:01:49.640]  就是為著要去服侍我們的街坊
[00:01:49.640 --> 00:01:50.960]  服侍我們的社區
[00:01:50.960 --> 00:01:53.080]  所以在座各位弟兄姊妹
[00:01:53.080 --> 00:01:54.840]  如果你都是同福
[00:01:54.840 --> 00:01:56.200]  你覺得自己也是一個同福
[00:01:56.200 --> 00:01:57.120]  是你的家
[00:01:57.120 --> 00:01:58.920]  你告訴隔壁的人
[00:01:58.920 --> 00:02:00.360]  我是真的同福人
[00:02:00.360 --> 00:02:02.880]  我很愛主的
[00:02:02.880 --> 00:02:05.320]  Amen
[00:02:05.320 --> 00:02:07.320]  這就是我們屬靈的家
[00:02:07.320 --> 00:02:08.960]  神給予我們這個家
[00:02:08.960 --> 00:02:13.120]  中國人和猶太人都很重視家庭觀念
[00:02:13.120 --> 00:02:16.680]  天父、爸爸和我們的關係
[00:02:16.680 --> 00:02:18.760]  亦都因此延伸到
[00:02:18.760 --> 00:02:19.920]  在我們家裏面
[00:02:19.920 --> 00:02:22.320]  和我們的家人所建立的關係
[00:02:22.320 --> 00:02:24.320]  所以今天我們說看不見的愛
[00:02:24.320 --> 00:02:27.400]  我們就說到一個家庭的關係
[00:02:27.400 --> 00:02:30.120]  我們就通過兩段聖經
[00:02:30.120 --> 00:02:31.600]  我們一起學習
[00:02:31.600 --> 00:02:32.920]  我們第一段聖經是在
[00:02:32.920 --> 00:02:35.800]  《馬拉基書》的四章四至六節
[00:02:35.800 --> 00:02:38.360]  我們一起先讀這段經文
[00:02:38.360 --> 00:02:40.360]  《馬拉基書》四章四至六節
[00:02:40.360 --> 00:02:43.320]  「你們當紀念我僕人摩西的律法
[00:02:43.320 --> 00:02:46.320]  就是我在何列山為以色列眾人
[00:02:46.320 --> 00:02:48.720]  所吩咐他的律例典章
[00:02:48.720 --> 00:02:52.560]  看那耶和華大兒可畏之日未到之前
[00:02:52.560 --> 00:02:56.600]  我必差遣先知以利亞到你們那裏去
[00:02:56.600 --> 00:02:59.880]  他必使父親的心轉向兒女
[00:02:59.880 --> 00:03:02.080]  兒女的心轉向父親
[00:03:02.080 --> 00:03:04.560]  免得我來就坐遍地」
[00:03:04.560 --> 00:03:07.760]  就是我們剛才詩歌裏面的內容
[00:03:07.760 --> 00:03:11.840]  《馬拉基書》是舊約聖經裏面最後一卷書
[00:03:11.840 --> 00:03:15.840]  成書的日期大概是公元前四百多年
[00:03:15.840 --> 00:03:18.320]  所謂主前
[00:03:18.320 --> 00:03:19.720]  但到了耶穌出生
[00:03:19.720 --> 00:03:20.840]  新約時代的開始
[00:03:20.840 --> 00:03:22.200]  我們稱為主後
[00:03:22.200 --> 00:03:23.560]  所以中間的四百多年
[00:03:23.560 --> 00:03:27.640]  有聖經學者稱之為一個黑暗時代
[00:03:27.640 --> 00:03:30.120]  其實當時人的罪性
[00:03:30.120 --> 00:03:34.120]  人所犯的罪已經去到神很憤怒的階段
[00:03:34.120 --> 00:03:37.240]  搏抑犯罪利器神去到極點
[00:03:37.240 --> 00:03:38.880]  至於很多聖經學者說
[00:03:38.880 --> 00:03:40.680]  當時這四百多年裏面
[00:03:40.680 --> 00:03:43.200]  神是默然無聲
[00:03:43.200 --> 00:03:49.200]  沒有記載任何神和人說話的紀錄
[00:03:49.200 --> 00:03:51.600]  所以在神和人的關係
[00:03:51.600 --> 00:03:53.640]  去到一個這麼破裂的情況
[00:03:53.640 --> 00:03:56.200]  亦都帶來很多人與人之間
[00:03:56.200 --> 00:03:58.920]  甚至乎是家庭之間的關係破裂
[00:03:58.920 --> 00:04:02.920]  所以神在這卷舊約最後一卷的先知書裏面
[00:04:02.920 --> 00:04:04.560]  藉著《馬拉基先知》
[00:04:04.560 --> 00:04:05.840]  祂要宣告
[00:04:05.840 --> 00:04:10.680]  祂要勸勉世人要與神迴轉
[00:04:10.680 --> 00:04:12.080]  要與神和好
[00:04:12.080 --> 00:04:15.920]  而且神自己都已經為世人預備了出路
[00:04:15.920 --> 00:04:17.840]  就是祂會差遣一個使者
[00:04:17.840 --> 00:04:20.920]  來恢復神與人之間的關係
[00:04:20.920 --> 00:04:21.840]  各位弟兄姊妹
[00:04:21.840 --> 00:04:23.680]  我們又想想我們現時的階段
[00:04:23.680 --> 00:04:25.920]  我們與神的關係又如何
[00:04:25.920 --> 00:04:27.160]  我們這個世代
[00:04:27.160 --> 00:04:28.720]  我們與神的關係
