
[00:00:00.000 --> 00:00:03.000]  好 各位弟兄姊妹 主日平安
[00:00:03.000 --> 00:00:09.400]  沒想到這次又通過網上的崇拜的形式和大家分享聖經的經文
[00:00:09.400 --> 00:00:17.000]  我們今天要分享的是《瑪拉基書》的第二章十七節到第三章五節
[00:00:17.000 --> 00:00:23.200]  這些經文是《瑪拉基書》有六個神域當中的第四個神域
[00:00:23.200 --> 00:00:27.900]  它帶有非常濃厚的猶太天啓文學的色彩
[00:00:27.900 --> 00:00:30.100]  讓我們一同來看這段經文
[00:00:30.100 --> 00:00:33.600]  請聽我誦讀
[00:00:33.600 --> 00:00:37.400]  你們用言語反鎖耶和華
[00:00:37.400 --> 00:00:41.000]  你們還說我在何世上反鎖他呢
[00:00:41.000 --> 00:00:44.900]  因爲你們說凡行惡的耶和華看爲善
[00:00:44.900 --> 00:00:50.200]  並且他喜悅他們 或說公義的神在哪裏呢
[00:00:50.200 --> 00:00:52.200]  萬君知耶和華說
[00:00:52.200 --> 00:00:54.000]  我要差遣我的使者
[00:00:54.000 --> 00:00:56.000]  在我面前預備道路
[00:00:56.000 --> 00:01:00.000]  你們所尋求的主必忽然進入他的殿
[00:01:00.000 --> 00:01:05.100]  立約的使者就是你們所仰慕的快要來到
[00:01:05.100 --> 00:01:08.100]  他來的日子誰能當得起呢
[00:01:08.100 --> 00:01:12.200]  他顯現的時候誰能立得住呢
[00:01:12.200 --> 00:01:15.100]  因爲他如鍊金之人的火
[00:01:15.100 --> 00:01:17.500]  如漂步之人的繭
[00:01:17.500 --> 00:01:20.800]  他必坐下如煉盡銀子的
[00:01:20.800 --> 00:01:25.600]  必竭盡力爲人熬煉他們像金銀一樣
[00:01:25.600 --> 00:01:30.000]  他們就憑公義獻供物給耶和華
[00:01:30.000 --> 00:01:34.300]  那時猶大和耶路撒冷所獻的供物
[00:01:34.300 --> 00:01:36.300]  必蒙耶和華悅納
[00:01:36.300 --> 00:01:39.000]  彷彿古時之日
[00:01:39.000 --> 00:01:41.400]  上古之年
[00:01:41.400 --> 00:01:43.400]  萬君知耶和華說
[00:01:43.400 --> 00:01:46.800]  我必臨近你們實行審判
[00:01:46.800 --> 00:01:49.300]  我必速速做見證
[00:01:49.300 --> 00:01:51.600]  警戒行邪術的
[00:01:51.600 --> 00:01:53.200]  犯奸淫的
[00:01:53.200 --> 00:01:55.000]  起假釋的
[00:01:55.000 --> 00:01:57.800]  窺婦人之公家的
[00:01:57.800 --> 00:02:00.200]  欺壓寡婦孤兒的
[00:02:00.200 --> 00:02:02.400]  汪蛆寄居的
[00:02:02.400 --> 00:02:04.600]  和不敬畏我的
[00:02:04.600 --> 00:02:09.200]  因我耶和華是不改變的
