
[00:00:00.000 --> 00:00:02.000]  新瓶中的鹽
[00:00:02.000 --> 00:00:04.900]  《馬太福音》五章十三節
[00:00:04.900 --> 00:00:06.900]  我們一齊讀好嗎? 請
[00:00:06.900 --> 00:00:08.900]  你沒有試試世上的鹽
[00:00:08.900 --> 00:00:10.900]  以藥失了味
[00:00:10.900 --> 00:00:12.900]  怎能要它再鹹呢
[00:00:12.900 --> 00:00:14.900]  鹽有無用
[00:00:14.900 --> 00:00:16.900]  不可要在那邊被人踐踏
[00:00:16.900 --> 00:00:18.900]  好 讀這節夠了
[00:00:18.900 --> 00:00:20.900]  下面那段不用讀了
[00:00:20.900 --> 00:00:22.900]  我們在世界上的鹽
[00:00:22.900 --> 00:00:24.900]  耶穌說 鹽一定要鹹的
[00:00:24.900 --> 00:00:26.900]  不鹹就沒用了
[00:00:26.900 --> 00:00:28.900]  不過扔在外面被人踐踏
[00:00:28.900 --> 00:00:30.900]  我們何時有扔過鹽在外面被人踐踏
[00:00:30.900 --> 00:00:32.900]  這是有背景的
[00:00:32.900 --> 00:00:34.900]  巴勒斯坦的鹽
[00:00:34.900 --> 00:00:36.900]  是岩鹽
[00:00:36.900 --> 00:00:38.900]  所以那些鹽
[00:00:38.900 --> 00:00:40.900]  抽出來就是石
[00:00:40.900 --> 00:00:42.900]  所以你跟鄰居說
[00:00:42.900 --> 00:00:44.900]  你是鹽
[00:00:44.900 --> 00:00:46.900]  一定要鹹
[00:00:46.900 --> 00:00:50.900]  不鹹就變成什麼
[00:00:50.900 --> 00:00:52.900]  變成石
[00:00:52.900 --> 00:00:54.900]  沒用了
[00:00:54.900 --> 00:00:56.900]  扔在外面踐踏
[00:00:56.900 --> 00:00:58.900]  也不行了
[00:00:58.900 --> 00:01:00.900]  新瓶裏面的鹽
[00:01:00.900 --> 00:01:02.900]  我們下去了
[00:01:02.900 --> 00:01:04.900]  因為不想阻礙大家
[00:01:04.900 --> 00:01:06.900]  快一點
[00:01:06.900 --> 00:01:08.900]  不讀這個了 再下去
[00:01:08.900 --> 00:01:12.900]  再下去 再下去
[00:01:12.900 --> 00:01:22.900]  耶穌說
[00:01:22.900 --> 00:01:24.900]  我們是世界上的鋼 是世界上的鹽
[00:01:24.900 --> 00:01:26.900]  這兩種的物質
[00:01:26.900 --> 00:01:28.900]  是很不一樣的
[00:01:28.900 --> 00:01:30.900]  光是這樣
[00:01:30.900 --> 00:01:32.900]  鹽是怎樣的
[00:01:32.900 --> 00:01:34.900]  你扔進湯裏
[00:01:34.900 --> 00:01:36.900]  舀湯的時候不會見到夠鹽
[00:01:36.900 --> 00:01:38.900]  所以它
[00:01:38.900 --> 00:01:40.900]  就不見了
