
[00:00:00.000 --> 00:00:02.860]  上一個星期和大家分享的題目就是
[00:00:02.860 --> 00:00:04.000]  屬靈的人
[00:00:04.000 --> 00:00:07.260]  應該是中心的管家上
[00:00:07.260 --> 00:00:10.280]  所以今天我們來看
[00:00:10.280 --> 00:00:12.080]  最後這一講
[00:00:12.080 --> 00:00:15.520]  我們記得這是一個系列
[00:00:15.520 --> 00:00:18.120]  就是在很多前書提醒我們
[00:00:18.120 --> 00:00:21.000]  做一個屬靈的人
[00:00:21.000 --> 00:00:23.760]  在結束的時候我們知道
[00:00:23.760 --> 00:00:25.900]  其實神的心意是叫我們一生
[00:00:25.900 --> 00:00:27.660]  作祂好的管家
[00:00:27.660 --> 00:00:30.340]  並且作一個中心的管家
[00:00:30.340 --> 00:00:32.220]  以致我們在人生各方面
[00:00:32.220 --> 00:00:34.240]  都能夠去榮耀祂
[00:00:34.240 --> 00:00:36.940]  和去完成神所託付我們
[00:00:36.940 --> 00:00:38.520]  人生有的目標
[00:00:38.520 --> 00:00:42.220]  以致我們能夠向祂歡歡喜喜的交獎
[00:00:42.220 --> 00:00:45.360]  關於前書第四章第二節
[00:00:45.360 --> 00:00:47.860]  我們一起讀一讀這節經文好嗎?請讀
[00:00:47.860 --> 00:00:50.360]  所求於管家的
[00:00:50.360 --> 00:00:53.320]  是要他有中心
[00:00:53.320 --> 00:00:57.180]  所以保留說他是一個管家
[00:00:57.880 --> 00:01:00.980]  而他明白知道
[00:01:00.980 --> 00:01:04.340]  神的心意就是叫我們能夠做一個中心的管家
[00:01:04.340 --> 00:01:07.220]  那管家職份我們上次提到
[00:01:07.220 --> 00:01:09.000]  在他的意義來說
[00:01:09.000 --> 00:01:10.800]  就是說我們明白到
[00:01:10.800 --> 00:01:15.300]  是我們要為神所交託給我們的東西
[00:01:15.300 --> 00:01:17.360]  人生有很多方面
[00:01:17.360 --> 00:01:21.220]  加以小心的管理和使用
[00:01:21.220 --> 00:01:23.580]  以致我們能夠去完成
[00:01:23.580 --> 00:01:25.140]  神所託付給我們的目的
[00:01:25.140 --> 00:01:28.440]  我們知道基建基在兩個很不同的觀念
[00:01:28.440 --> 00:01:30.640]  一個是覺得我是擁有的
[00:01:30.640 --> 00:01:31.640]  我是主人
[00:01:31.640 --> 00:01:33.340]  所以我是主人
[00:01:33.340 --> 00:01:34.140]  我擁有的東西
[00:01:34.140 --> 00:01:37.640]  我家庭、我的子女、我的學業、我的工作
[00:01:37.640 --> 00:01:43.140]  我的恩賜、我的金錢等等
[00:01:43.140 --> 00:01:44.640]  所有都是我自己的
[00:01:44.640 --> 00:01:46.140]  所以我喜歡怎樣用就可以
[00:01:46.140 --> 00:01:47.640]  但其實不是
[00:01:47.640 --> 00:01:49.140]  當我們知道原來
[00:01:49.140 --> 00:01:52.140]  上帝賜予這些一切給我們的主宰
[00:01:52.140 --> 00:01:54.140]  更重要的是當我們得救的時候
[00:01:54.140 --> 00:01:55.140]  我們明白到原來
[00:01:55.140 --> 00:01:57.140]  我們真正的主人不是我們自己
[00:01:57.140 --> 00:02:00.140]  我們真正的主人是我們的上帝
[00:02:00.140 --> 00:02:01.140]  是主耶穌基督
[00:02:01.140 --> 00:02:03.140]  祂用祂的血買贖了我們
[00:02:03.140 --> 00:02:05.140]  用祂的救恩拯救我們
[00:02:05.140 --> 00:02:07.140]  叫我們成為祂的門徒
[00:02:07.140 --> 00:02:08.140]  所以我們知道
[00:02:08.140 --> 00:02:10.140]  我們將主權交託給祂
[00:02:10.140 --> 00:02:13.140]  我們人生就是一個管理者
[00:02:13.140 --> 00:02:15.140]  我們是一個steward
[00:02:15.140 --> 00:02:17.140]  所以ownership就是
[00:02:17.140 --> 00:02:19.140]  覺得自己擁有我是主人
[00:02:19.140 --> 00:02:22.140]  但是我們作為管家就是stewardship
[00:02:22.140 --> 00:02:25.640]  就是我們需要向神交代、向神交獎
[00:02:25.640 --> 00:02:28.140]  因為我們原來是受託的
[00:02:28.140 --> 00:02:29.140]  我們是領受的
[00:02:29.140 --> 00:02:31.140]  所以我們所有的一切
[00:02:31.140 --> 00:02:35.140]  我們去完成神所交託給我們應有的責任
[00:02:35.140 --> 00:02:37.140]  以致我們能夠向祂交獎
[00:02:37.140 --> 00:02:40.140]  包括我們的健康、我們的才智
[00:02:40.140 --> 00:02:43.140]  我們的錢財、我們的家庭、我們的事業
[00:02:43.140 --> 00:02:44.140]  我們的恩賜
[00:02:44.140 --> 00:02:46.140]  甚至我們所領受的救恩
[00:02:46.140 --> 00:02:49.140]  都是應該照著神的心意
[00:02:49.140 --> 00:02:53.140]  來向別人分享、去完成目的
[00:02:53.140 --> 00:02:56.140]  去榮耀給上帝
[00:02:56.140 --> 00:03:00.140]  所以我們上一次跟大家講到上一講的時候
[00:03:00.140 --> 00:03:03.140]  我們就知道有一個東西很重要的就是
[00:03:03.140 --> 00:03:06.140]  跟我們人生息息相關的
[00:03:06.140 --> 00:03:07.140]  少了它是不行的
[00:03:07.140 --> 00:03:09.140]  每天都會想到一些問題
[00:03:09.140 --> 00:03:10.140]  怎樣用錢
[00:03:10.140 --> 00:03:12.140]  怎樣安排我們買的東西
[00:03:12.140 --> 00:03:14.140]  我們用的東西等等
[00:03:14.140 --> 00:03:16.140]  所以我們在錢財上面
[00:03:16.140 --> 00:03:18.140]  我們要作好的管家
[00:03:18.140 --> 00:03:20.140]  作一個忠心的管家
[00:03:20.140 --> 00:03:23.140]  今天跟大家講另一方面
[00:03:23.140 --> 00:03:25.140]  也是跟我們息息相關
[00:03:25.140 --> 00:03:27.140]  比金錢更重要的
[00:03:27.140 --> 00:03:30.140]  每一秒鐘都會牽涉到的就是
[00:03:30.140 --> 00:03:35.140]  我們在時間上面作忠心的管家
[00:03:35.140 --> 00:03:36.140]  有沒有想過
[00:03:36.140 --> 00:03:40.140]  其實我們的時間都是做管家的
