
[00:00:00.000 --> 00:00:04.640]  感謝主,我們在進入經文前一起同心低頭祈禱
[00:00:04.640 --> 00:00:07.620]  撒天父,我們感謝、讚美你
[00:00:07.620 --> 00:00:10.580]  因為你的恩典實在太美麗
[00:00:10.580 --> 00:00:15.400]  當我們去回想你怎樣去帶領我們
[00:00:15.400 --> 00:00:18.420]  在我們的生命裡面去呼喚我們
[00:00:18.420 --> 00:00:22.100]  以致我們能夠回應神你,去跟隨你
[00:00:22.100 --> 00:00:23.520]  這也是你的恩典
[00:00:23.520 --> 00:00:25.880]  我們懇求恩主你的靈
[00:00:25.880 --> 00:00:29.480]  現在就好像昔日你當初召喚我們一樣
[00:00:29.480 --> 00:00:30.880]  去感動我們
[00:00:30.880 --> 00:00:32.200]  以我們同行
[00:00:32.200 --> 00:00:34.660]  要我們回復那起初的愛心
[00:00:34.660 --> 00:00:37.340]  更加能夠願意緊緊的跟隨你
[00:00:37.340 --> 00:00:39.360]  我們將以下的時間
[00:00:39.360 --> 00:00:42.500]  研讀你的話語、恭敬的仰望給天父
[00:00:42.500 --> 00:00:44.080]  聖靈我們求你
[00:00:44.080 --> 00:00:45.860]  親自向我們說話
[00:00:45.860 --> 00:00:49.460]  祈禱,奉主耶穌居多個名求
[00:00:49.460 --> 00:00:50.540]  下門
[00:00:50.540 --> 00:00:53.500]  如果我問你
[00:00:53.500 --> 00:00:56.520]  什麼事情或者目標
[00:00:56.860 --> 00:01:00.460]  是值得你不惜一切
[00:01:00.460 --> 00:01:03.360]  付出代價去達成的
[00:01:03.360 --> 00:01:07.240]  又或者是承擔代價的
[00:01:07.240 --> 00:01:09.460]  我不知道你會怎樣回答
[00:01:09.460 --> 00:01:12.040]  或者你會思想到
[00:01:12.040 --> 00:01:14.520]  可能是創業
[00:01:14.520 --> 00:01:17.960]  或者你曾經創業或者你已經在事業上很成功
[00:01:17.960 --> 00:01:20.820]  但是你會發覺創業裡面需要
[00:01:20.820 --> 00:01:25.460]  不眠不休,需要承受承擔失敗的後果
[00:01:25.460 --> 00:01:28.060]  亦都真的要
[00:01:28.060 --> 00:01:31.420]  可能工作超時,真的無法計算
[00:01:31.420 --> 00:01:33.840]  亦都可能要犧牲一些家庭的生活
[00:01:33.840 --> 00:01:36.340]  朋友相聚的時間等等
[00:01:36.340 --> 00:01:39.180]  其實都要做很多犧牲,但是你覺得值得的
[00:01:39.180 --> 00:01:42.740]  因為你有一個很清晰的目標去追求
[00:01:42.740 --> 00:01:45.600]  又或者你可能是為了買一間屋
[00:01:45.600 --> 00:01:47.960]  買一輛車,養家庭
[00:01:47.960 --> 00:01:50.960]  都是一個目標讓你犧牲很多你自己的時間
[00:01:50.960 --> 00:01:52.760]  或者一些喜好
[00:01:52.760 --> 00:01:56.880]  或者你很願意你的子女能夠成財
[00:01:56.880 --> 00:02:00.660]  以前在香港說養一個弟弟要四百萬港幣
[00:02:00.660 --> 00:02:03.720]  不過在很多年前,現在可能不止了
[00:02:03.720 --> 00:02:06.220]  由他出生到他能夠讀完大學
[00:02:06.220 --> 00:02:07.920]  都有很多的錢
[00:02:07.920 --> 00:02:10.960]  又或者你在事業上追求
[00:02:10.960 --> 00:02:14.740]  你願意不勝犧牲一切去有更成功的事業
[00:02:14.740 --> 00:02:17.760]  或者更高的層樓,有更高的職位
[00:02:17.760 --> 00:02:19.600]  更好的收入
[00:02:19.600 --> 00:02:22.000]  你就願意犧牲很多不同的東西
