
[00:00:00.000 --> 00:00:05.060]  今天講到的題目是約翰福音神蹟五
[00:00:05.060 --> 00:00:07.520]  就是第五個神蹟
[00:00:07.520 --> 00:00:15.500]  經文記載在約翰福音第六章十六至二十一節
[00:00:15.500 --> 00:00:17.360]  是很短的經文
[00:00:17.360 --> 00:00:18.340]  只有幾節
[00:00:18.340 --> 00:00:20.580]  我們讀的時候
[00:00:20.580 --> 00:00:24.580]  大家可以開聲讀一次
[00:00:24.580 --> 00:00:26.380]  這麼短我們一起讀一次
[00:00:26.380 --> 00:00:29.080]  在家裡也可以打開自己的聖經
[00:00:29.080 --> 00:00:30.140]  跟我們一起讀
[00:00:30.140 --> 00:00:35.380]  約翰福音六章十六至二十一節
[00:00:35.380 --> 00:00:37.500]  現場看到聖經那些
[00:00:37.500 --> 00:00:39.160]  或者看投影片
[00:00:39.160 --> 00:00:41.040]  也可以看投影片來讀
[00:00:41.040 --> 00:00:42.240]  我們一起讀一次
[00:00:42.240 --> 00:00:43.180]  由十六節開始
[00:00:43.180 --> 00:00:44.180]  一二三
[00:00:44.180 --> 00:00:58.920]  「到了晚上,他的門徒下海邊去,上了船,要過海王家白龍去,天已經黑了,耶穌還沒有來到他們那裡,
[00:00:58.920 --> 00:01:18.120]  忽然狂風大作,海就翻騰起來,門徒搖鈕,躍行了十里多路,看見耶穌在海面上走,漸漸近了船,他們就害怕,耶穌對他們說:
[00:01:18.120 --> 00:01:29.120]  「是我不要怕,門徒就喜歡接他上船,船立時到了他們所要去的地方。」
[00:01:29.120 --> 00:01:32.020]  約翰福音在記述這個神蹟的時候
[00:01:32.020 --> 00:01:33.480]  很短
[00:01:33.480 --> 00:01:36.420]  幾節的經文就講完了
[00:01:36.420 --> 00:01:40.320]  我上一次講約翰福音神蹟四的時候
[00:01:40.320 --> 00:01:41.520]  如果大家記得
[00:01:41.520 --> 00:01:43.520]  我就提過
[00:01:43.520 --> 00:01:45.620]  第五個神蹟
[00:01:45.620 --> 00:01:47.720]  耶穌在海上行走
[00:01:47.720 --> 00:01:52.020]  是在耶穌行完第四個神蹟之後
[00:01:52.020 --> 00:01:55.620]  然後在他解釋第四個神蹟
[00:01:55.620 --> 00:01:58.620]  是耶穌是生命的糧
[00:01:58.620 --> 00:02:00.820]  這個很出名的教導
[00:02:00.820 --> 00:02:04.520]  中間就夾住了這個神蹟的記載
[00:02:04.520 --> 00:02:09.320]  上一次為了講五餅二魚和耶穌的教導
[00:02:09.320 --> 00:02:11.020]  祂就是生命的糧
[00:02:11.020 --> 00:02:13.520]  我就跳過了這個神蹟
[00:02:13.520 --> 00:02:15.120]  大家有沒有記得這個?
[00:02:15.120 --> 00:02:18.120]  我就說留待下一次再講
[00:02:18.120 --> 00:02:18.620]  沒錯
[00:02:18.620 --> 00:02:21.220]  所以這一次是講第五個神蹟
[00:02:21.220 --> 00:02:24.620]  就是夾在中間這個位置的神蹟
[00:02:24.620 --> 00:02:28.220]  背景就是剛才提到的
[00:02:28.220 --> 00:02:31.420]  五餅二魚餵飽五千人之後
[00:02:31.420 --> 00:02:33.420]  餵飽五千人之後
[00:02:33.420 --> 00:02:37.020]  再接下去這個段落的時候
[00:02:37.020 --> 00:02:38.820]  有一節很重要的經文
[00:02:38.820 --> 00:02:42.220]  就是剛才讀的前一節
[00:02:42.820 --> 00:02:48.820]  前一節那裡說眾人要強迫耶穌作王
[00:02:48.820 --> 00:02:52.420]  因為看到耶穌很厲害
[00:02:52.420 --> 00:02:53.620]  這樣行神蹟
[00:02:53.620 --> 00:02:55.220]  餵飽這麼多人
[00:02:55.220 --> 00:02:56.420]  很有能力
[00:02:56.420 --> 00:03:01.120]  可以很實用地讓那些人可以有東西吃
[00:03:01.120 --> 00:03:04.320]  就想擁抱祂作王
[00:03:04.320 --> 00:03:07.120]  耶穌就避開了
[00:03:07.120 --> 00:03:09.820]  獨自一個人上山祈禱
[00:03:09.820 --> 00:03:14.220]  就叫門徒坐船先過去對面
[00:03:14.220 --> 00:03:19.820]  然後就開始了剛才所讀的那一段落
[00:03:19.820 --> 00:03:21.620]  就是說
[00:03:21.620 --> 00:03:23.220]  耶穌上了山
[00:03:23.220 --> 00:03:25.720]  然後就開始到了晚上
[00:03:25.720 --> 00:03:27.820]  晚上的時候
[00:03:27.820 --> 00:03:30.220]  就開始夜到差不多
[00:03:30.220 --> 00:03:33.320]  十六節說到了晚上
[00:03:33.320 --> 00:03:35.520]  看看門徒下海哪裡去
[00:03:35.520 --> 00:03:36.620]  然後就說
[00:03:36.620 --> 00:03:41.020]  天已經黑了耶穌還沒有來到他們那裡
[00:03:41.020 --> 00:03:42.720]  就是在晚上發生的
[00:03:42.720 --> 00:03:46.720]  上一次提到說耶穌講完
[00:03:46.720 --> 00:03:49.420]  耶穌第四個神蹟之後
[00:03:49.420 --> 00:03:52.320]  再去教導祂是生命的糧
[00:03:52.320 --> 00:03:53.920]  大家現在如果揭開了聖經
[00:03:53.920 --> 00:03:56.720]  你翻一翻聖經六章二十二節
[00:03:56.720 --> 00:03:57.420]  打口
[00:03:57.420 --> 00:04:02.820]  很長篇大論地講述耶穌是生命的糧
[00:04:02.820 --> 00:04:06.520]  然後又說你們以前的祖先
[00:04:06.520 --> 00:04:09.920]  摩西的時候有天上來的糧
[00:04:09.920 --> 00:04:12.320]  來比較耶穌自己
[00:04:12.320 --> 00:04:13.720]  耶穌是生命的糧
[00:04:13.720 --> 00:04:16.020]  這是很重要的一個教導
[00:04:16.020 --> 00:04:17.620]  上次我說了
[00:04:17.620 --> 00:04:19.920]  說神蹟五餅二魚
[00:04:19.920 --> 00:04:25.320]  應該不是約翰福音最重要想告訴大家的事情
[00:04:25.320 --> 00:04:30.120]  而是利用神蹟指出一個重要真理
[00:04:30.120 --> 00:04:31.320]  重要的教導
[00:04:31.320 --> 00:04:34.920]  說耶穌是生命的糧
[00:04:34.920 --> 00:04:38.620]  讓人懂得分辨世上的食物
[00:04:38.620 --> 00:04:40.120]  固之然是重要
[00:04:40.120 --> 00:04:41.920]  但是不是最重要
[00:04:41.920 --> 00:04:45.520]  最重要的是耶穌是生命的糧
[00:04:45.520 --> 00:04:46.920]  得著這個
[00:04:46.920 --> 00:04:49.620]  就永遠不會再饑渴
[00:04:49.620 --> 00:04:50.620]  不會再餓
[00:04:50.620 --> 00:04:55.320]  我也用這個來再跟大家回想一下
[00:04:55.320 --> 00:05:00.320]  在撒瑪利亞婦人的井旁那裡
[00:05:00.320 --> 00:05:02.220]  是的
[00:05:02.220 --> 00:05:03.920]  撒瑪利亞婦人的井旁那裡
[00:05:03.920 --> 00:05:08.520]  說活水喝了之後永遠不渴
[00:05:08.520 --> 00:05:12.320]  耶穌用這些來告訴大家
[00:05:12.320 --> 00:05:13.920]  得著耶穌
[00:05:13.920 --> 00:05:17.320]  就能夠像我們口渴想喝水
[00:05:17.320 --> 00:05:18.520]  肚子餓想吃東西那樣
[00:05:18.520 --> 00:05:21.420]  解決我們生命上的問題
[00:05:21.420 --> 00:05:23.720]  很長篇大論地說
[00:05:23.720 --> 00:05:24.920]  祂是生命的糧
[00:05:24.920 --> 00:05:28.620]  中間放進第五個神蹟
[00:05:28.620 --> 00:05:29.920]  就很奇怪了
[00:05:29.920 --> 00:05:32.320]  很短的幾節
[00:05:33.420 --> 00:05:34.520]  插在中間
[00:05:34.520 --> 00:05:37.020]  這麼短的幾節
[00:05:37.020 --> 00:05:39.620]  不如約翰你不要寫了
[00:05:39.620 --> 00:05:41.720]  在你寫文章的時候
[00:05:41.720 --> 00:05:43.620]  大家都考過試寫文章
[00:05:43.620 --> 00:05:45.120]  寫著寫著的時候
[00:05:45.120 --> 00:05:46.220]  五餅二魚之後
[00:05:46.220 --> 00:05:47.420]  然後放進去的解釋
[00:05:47.420 --> 00:05:49.020]  一氣呵成就好了
[00:05:49.020 --> 00:05:52.220]  為什麼中間要放幾節這樣的神蹟
[00:05:52.220 --> 00:05:55.820]  來隔開呢?
[00:05:55.820 --> 00:05:57.020]  我等一下看下去
[00:05:57.020 --> 00:05:59.920]  再講解那個意思
[00:05:59.920 --> 00:06:02.320]  我們現在首先看了這次的神蹟
[00:06:02.320 --> 00:06:04.420]  那個內容是講什麼的
[00:06:04.420 --> 00:06:07.920]  而講這個福音書的時候
[00:06:07.920 --> 00:06:11.120]  我們一定要知道
