
[00:00:00.000 --> 00:00:06.000]  我們看到社會上有很多彼此傷害的事情
[00:00:06.000 --> 00:00:09.000]  但是我想說就是一個社會的那些傷痕
[00:00:09.000 --> 00:00:14.000]  其實真的是由我們每一個個體來造成的
[00:00:14.000 --> 00:00:17.000]  那回顧你的一生
[00:00:17.000 --> 00:00:20.000]  你有沒有曾經被人傷害過
[00:00:20.000 --> 00:00:23.000]  或者是你傷害了人呢
[00:00:23.000 --> 00:00:26.000]  你會怎樣面對這些的事情
[00:00:26.000 --> 00:00:29.000]  最後事情又怎樣解決呢
[00:00:29.000 --> 00:00:32.000]  到底一段破裂了的關係
[00:00:32.000 --> 00:00:35.000]  是不是可以重新的恢復呢
[00:00:35.000 --> 00:00:39.000]  破鏡到底是不是真的可以重圓
[00:00:39.000 --> 00:00:46.000]  今天我們就一起透過雅各和以法這對兄弟復合的事件
[00:00:46.000 --> 00:00:51.000]  幫助我們從當中可以得到一些的反思和學習
[00:00:51.000 --> 00:00:56.000]  首先我們回去看一下一些的背景
[00:00:56.000 --> 00:00:59.000]  那話說雅各在二十年前
[00:00:59.000 --> 00:01:05.000]  他騙取了哥哥以掃長子的名分和父親以薩的那個祝福之後
[00:01:05.000 --> 00:01:12.000]  以掃曾經表示過要在為父親沮喪的日子去殺死雅各
[00:01:12.000 --> 00:01:17.000]  所以呢雅各就開始展開了他的逃亡之旅
[00:01:17.000 --> 00:01:23.000]  他逃到巴旦亞蘭他的母舅拉巴那裡去寄居
[00:01:23.000 --> 00:01:28.000]  在那二十年中呢雅各他娶了妻子又生了孩子
[00:01:28.000 --> 00:01:31.000]  而且呢得到很多很多的財物
[00:01:31.000 --> 00:01:36.000]  在創世紀三十一章記載
[00:01:36.000 --> 00:01:44.000]  雅各後來他見到他的舅舅拉班的氣色臉色對他已經不如以前了
[00:01:44.000 --> 00:01:47.000]  再加上就是耶華親自的對他說
[00:01:47.000 --> 00:01:53.000]  只是他要回到他祖父輩的地方到他的親族那裡
[00:01:53.000 --> 00:01:56.000]  所以雅各就決定要離開拉班
[00:01:56.000 --> 00:02:01.000]  回到神所應許他的地方迦南地區
[00:02:01.000 --> 00:02:06.000]  在回家的路程當中雅各在馬哈念這個地方
[00:02:06.000 --> 00:02:09.000]  他首先遇見神的眾使者
[00:02:09.000 --> 00:02:15.000]  之後呢他就為要跟哥哥見面來做準備
[00:02:15.000 --> 00:02:23.000]  他派使者先帶著很多的禮物到希爾地去找他的哥哥伊嫂向他示好
[00:02:23.000 --> 00:02:28.000]  後來當他知道他哥哥帶著四百多人向他走來的時候
[00:02:28.000 --> 00:02:32.000]  他心裡非常非常的懼怕憂愁
[00:02:32.000 --> 00:02:39.000]  更害怕到一個程度呢他是要躲在他的僕人希爾後面
[00:02:39.000 --> 00:02:42.000]  不過很奇妙的事情發生啊
[00:02:42.000 --> 00:02:46.000]  雅各在過了雅伯渡口的某一個地方
[00:02:46.000 --> 00:02:48.000]  他就遇見天使
[00:02:48.000 --> 00:02:51.000]  他與天使摔跤而且得了勝
[00:02:51.000 --> 00:02:59.000]  又蒙天使來為他祝福和為他改一個名字改成以色列
[00:02:59.000 --> 00:03:01.000]  那經歷這個事件以後呢
