
[00:00:00.000 --> 00:00:03.680]  是不是感恩神給我們這一段經文
[00:00:03.680 --> 00:00:06.640]  《羅馬書大八章》
[00:00:06.640 --> 00:00:12.000]  很多人說,如果你今天在荒島上學校
[00:00:12.000 --> 00:00:14.720]  荒島,什麼都沒有
[00:00:14.720 --> 00:00:16.840]  當你什麼都沒有的時候
[00:00:16.840 --> 00:00:20.160]  如果你可以記住《羅馬書大八章》
[00:00:20.160 --> 00:00:21.920]  你很有盼望
[00:00:21.920 --> 00:00:24.720]  什麼都沒有,只剩下你和神
[00:00:24.720 --> 00:00:26.080]  因為《大八章》給我們
[00:00:26.080 --> 00:00:29.720]  是一篇很重要的一段經文
[00:00:29.720 --> 00:00:32.480]  是很豐盛的、很豐富的
[00:00:32.480 --> 00:00:34.200]  很多的訊息在裡面
[00:00:34.200 --> 00:00:35.760]  就是用這一張
[00:00:35.760 --> 00:00:39.000]  同時在《羅馬書大八章》裡面
[00:00:39.000 --> 00:00:42.480]  更加明顯,或者更加知道
[00:00:42.480 --> 00:00:44.840]  聖靈在我們生命之中
[00:00:44.840 --> 00:00:46.600]  住在我們生命之中
[00:00:46.600 --> 00:00:48.480]  到底有什麼工作
[00:00:48.480 --> 00:00:50.600]  祂有什麼引導
[00:00:50.600 --> 00:00:52.240]  祂住在我們心中
[00:00:52.240 --> 00:00:54.480]  我們知不知道?
[00:00:54.480 --> 00:00:55.440]  問問自己
[00:00:55.440 --> 00:00:58.640]  你知不知道聖靈住在你心中?
[00:00:58.640 --> 00:01:01.720]  問問你隔壁
[00:01:01.720 --> 00:01:07.680]  他知不知道?
[00:01:07.680 --> 00:01:09.520]  所以當我們看到
[00:01:09.520 --> 00:01:11.400]  這一張《大八章》的時候
[00:01:11.400 --> 00:01:13.200]  我們可以看到的是
[00:01:13.200 --> 00:01:16.200]  神給我們
[00:01:16.200 --> 00:01:18.120]  沒有開
[00:01:18.120 --> 00:01:19.920]  如果沒有聖靈
[00:01:19.920 --> 00:01:23.360]  就好像這個沒有開一樣
[00:01:23.360 --> 00:01:25.280]  接不到
[00:01:25.280 --> 00:01:27.520]  聖靈在我們生命之中
[00:01:27.520 --> 00:01:30.920]  聖靈給我們很重要的一個確蓋
[00:01:30.920 --> 00:01:32.960]  assurance就是確蓋
[00:01:32.960 --> 00:01:34.040]  給我們一個確蓋
[00:01:34.040 --> 00:01:36.240]  知道我們的身份是什麼
[00:01:36.240 --> 00:01:37.760]  《大八章》很長
[00:01:37.760 --> 00:01:39.560]  這麼長的經文
[00:01:39.560 --> 00:01:41.240]  我們今天不會講完的
[00:01:41.240 --> 00:01:44.200]  我們今天只講四節經文
[00:01:44.200 --> 00:01:45.520]  four verses
[00:01:45.520 --> 00:01:46.200]  好
[00:01:46.200 --> 00:01:48.080]  當我們看到這一段經文
[00:01:48.080 --> 00:01:48.840]  《大八章》的時候
[00:01:48.840 --> 00:01:50.720]  我一定要先提一下
[00:01:50.720 --> 00:01:53.880]  這一章有一個很重要的基礎
[00:01:53.880 --> 00:01:56.640]  或者很重要的兩節經文
[00:01:56.640 --> 00:01:59.320]  跟我們講為什麼這一章這麼重要
[00:01:59.320 --> 00:02:02.320]  我們一起讀這個三十八、三十九節
[00:02:02.320 --> 00:02:03.440]  請
[00:02:03.440 --> 00:02:05.160]  因為我心不純
[00:02:05.160 --> 00:02:08.520]  無論是死是活是天使
[00:02:08.520 --> 00:02:09.760]  是掌權的
[00:02:09.760 --> 00:02:11.280]  是有權能的
[00:02:11.280 --> 00:02:12.800]  是現在的事
[00:02:12.800 --> 00:02:14.280]  是將來的事
[00:02:14.280 --> 00:02:15.440]  是高處的
[00:02:15.440 --> 00:02:16.920]  是深處的
[00:02:16.920 --> 00:02:19.080]  是別的所造物
[00:02:19.080 --> 00:02:22.800]  都不能使我們在世的愛罰絕
[00:02:22.800 --> 00:02:27.040]  這愛是在我們的主耶穌基督來的
[00:02:27.040 --> 00:02:27.280]  好
[00:02:27.280 --> 00:02:29.000]  這個基礎是什麼
[00:02:29.000 --> 00:02:33.760]  這兩節經文跟我們講最重要是什麼
[00:02:33.760 --> 00:02:35.360]  是一個愛
[00:02:35.360 --> 00:02:39.840]  而這個愛是無論什麼
[00:02:39.840 --> 00:02:42.200]  都不能夠拿走的
[00:02:42.200 --> 00:02:44.720]  無論天上地下
[00:02:44.720 --> 00:02:45.880]  地上
[00:02:45.880 --> 00:02:47.160]  它說天使
[00:02:47.160 --> 00:02:48.200]  掌權的
[00:02:48.200 --> 00:02:49.560]  權能的
[00:02:49.560 --> 00:02:52.880]  無論你在哪一個地方、哪一個國家
[00:02:52.880 --> 00:02:56.040]  無論你在哪裡
[00:02:56.040 --> 00:02:59.880]  沒有人可以拿走這一份愛
[00:02:59.880 --> 00:03:02.000]  而這一份愛是什麼愛
[00:03:02.000 --> 00:03:03.480]  就是神的愛
[00:03:03.480 --> 00:03:04.840]  就是這個愛
[00:03:04.840 --> 00:03:07.600]  從主耶穌基督來
[00:03:07.600 --> 00:03:11.200]  當我們在基督耶穌來的時候
[00:03:11.200 --> 00:03:12.840]  這一份的愛
[00:03:12.840 --> 00:03:15.400]  沒有人可以拿走
[00:03:15.400 --> 00:03:16.600]  我們感恩
[00:03:16.600 --> 00:03:19.800]  這個基礎、這個基本的基礎
[00:03:19.800 --> 00:03:21.080]  我們可以明白
[00:03:21.080 --> 00:03:24.080]  為什麼保羅寫到大白章的時候
[00:03:24.080 --> 00:03:25.480]  是這樣的重要
[00:03:25.480 --> 00:03:28.360]  是這樣的讓我們得到安慰
[00:03:28.360 --> 00:03:31.160]  我們一起先做一個祈禱
[00:03:31.160 --> 00:03:35.440]  天父上帶我們感謝祢給我們這一段時間
[00:03:35.440 --> 00:03:37.320]  神啊求祢打開
[00:03:37.320 --> 00:03:39.680]  當我們打開祢的話語的時候
[00:03:39.680 --> 00:03:41.400]  祢的說話的時候
[00:03:41.400 --> 00:03:43.160]  幫我們可以明白
