
[00:00:00.000 --> 00:00:03.000]  在正道之前,我們同心祈禱
[00:00:03.000 --> 00:00:09.000]  神的獨生兒子,耶穌基督
[00:00:09.000 --> 00:00:12.000]  求祢私恩可憐這個罪人
[00:00:12.000 --> 00:00:14.500]  願以主耶穌基督的保血
[00:00:14.500 --> 00:00:17.500]  再一次潔淨這個不配人的罪
[00:00:17.500 --> 00:00:22.000]  讓孩子能夠成為神祢話語的出口
[00:00:22.000 --> 00:00:25.000]  能夠將主的恩言解明
[00:00:25.000 --> 00:00:28.000]  與真理聖靈開啟我們心竅
[00:00:28.000 --> 00:00:30.500]  帶領我們進入真理
[00:00:30.500 --> 00:00:32.500]  恭敬、欣賞、祈禱
[00:00:32.500 --> 00:00:36.000]  是靠那去主基督耶穌聖名祈禱
[00:00:36.000 --> 00:00:37.000]  對!
[00:00:37.000 --> 00:00:39.000]  有一位孫教士
[00:00:39.000 --> 00:00:43.000]  由非洲土著帶領他去入村
[00:00:43.000 --> 00:00:46.000]  來探訪這個村落
[00:00:46.000 --> 00:00:49.000]  這個非洲土著跟孫教士說
[00:00:49.000 --> 00:00:52.000]  稍後我們就會過河了
[00:00:52.000 --> 00:00:55.000]  我們要小心一點就沒有問題了
[00:00:55.000 --> 00:00:58.000]  孫教士說過河就過河
[00:00:58.000 --> 00:01:00.000]  不是未過過
[00:01:00.000 --> 00:01:06.000]  走著走著,來到一條很闊的河流的旁邊
[00:01:06.000 --> 00:01:08.000]  到四周看一看
[00:01:08.000 --> 00:01:11.000]  哪有橋呢?
[00:01:11.000 --> 00:01:13.000]  哪有橋?
[00:01:13.000 --> 00:01:16.000]  土著指向樹頂
[00:01:16.000 --> 00:01:18.000]  他望一望
[00:01:18.000 --> 00:01:20.000]  原來在高處
[00:01:20.000 --> 00:01:24.000]  在兩邊河的樹上
[00:01:24.000 --> 00:01:27.000]  有兩條繩
[00:01:27.000 --> 00:01:31.000]  就搭上了橋
[00:01:31.000 --> 00:01:34.000]  他望著這麼高的地方
[00:01:34.000 --> 00:01:39.000]  又望著這麼潛級的流水
[00:01:39.000 --> 00:01:42.000]  他就跟土著說
[00:01:42.000 --> 00:01:44.000]  不能過嗎?
[00:01:44.000 --> 00:01:46.000]  怎麼過?
[00:01:46.000 --> 00:01:49.000]  他說:沒有問題的!
[00:01:49.000 --> 00:01:52.000]  他說:不是喔!
[00:01:52.000 --> 00:01:56.000]  一會兒我手滑
[00:01:56.000 --> 00:01:58.000]  就掉下來了
[00:01:58.000 --> 00:02:02.000]  我說:不會的!你踩著繩子的嘛!
[00:02:02.000 --> 00:02:05.000]  孫教士說:不是喔!
[00:02:05.000 --> 00:02:08.000]  我手濕,先開手怎麼辦?
[00:02:08.000 --> 00:02:11.000]  他說:你踩著...
[00:02:11.000 --> 00:02:15.000]  如果我滑腳,那怎麼辦?
[00:02:15.000 --> 00:02:19.000]  他說:不要緊!你拉著繩子的嘛!
[00:02:19.000 --> 00:02:21.000]  孫教士說:不是喔!
[00:02:21.000 --> 00:02:25.000]  如果有滑腳,又鬆手
[00:02:25.000 --> 00:02:27.000]  那就踩下去吧!
[00:02:27.000 --> 00:02:30.000]  土著又望過去
[00:02:30.000 --> 00:02:32.000]  望過去兩次
[00:02:32.000 --> 00:02:36.000]  他說:先生,你是不是想自殺啊?
[00:02:36.000 --> 00:02:38.000]  你又鬆手,又滑腳
