
[00:00:00.000 --> 00:00:04.000]  爲何牧師會安排這個新的系列
[00:00:04.000 --> 00:00:05.380]  上個系列講什麼
[00:00:05.380 --> 00:00:08.120]  有沒有人記得 剛剛上個禮拜講完
[00:00:08.120 --> 00:00:11.840]  衝出教會的限制
[00:00:11.840 --> 00:00:13.980]  衝出教會的界線
[00:00:13.980 --> 00:00:16.040]  一直以來我們都鼓勵體育協會
[00:00:16.040 --> 00:00:17.560]  不要只做星期天的教徒
[00:00:17.560 --> 00:00:20.300]  因爲教會其實是在社會當中
[00:00:20.300 --> 00:00:22.640]  教會只是星期天在這裏聚會
[00:00:22.640 --> 00:00:24.640]  平時我們是在外面的
[00:00:24.640 --> 00:00:26.140]  問題就是
[00:00:26.140 --> 00:00:29.200]  好了 如果大家真的回應這個呼召
[00:00:29.200 --> 00:00:32.020]  回應聖經教導的真理
[00:00:32.020 --> 00:00:34.500]  我們平時星期一到星期六
[00:00:34.500 --> 00:00:38.400]  都在社會里面做見證 或者做工作
[00:00:38.400 --> 00:00:41.180]  到底我們在社會當中
[00:00:41.180 --> 00:00:44.180]  在人羣的眼裏面
[00:00:44.180 --> 00:00:46.440]  我們是怎樣的一個基督徒呢
[00:00:46.440 --> 00:00:49.720]  這個就很重要了 要不然出去了更糟糕
[00:00:49.720 --> 00:00:51.600]  人們怎麼看我們
[00:00:51.600 --> 00:00:53.780]  就決定他對我們的信仰
[00:00:53.780 --> 00:00:55.960]  會有什麼反應
[00:00:55.960 --> 00:00:57.040]  事實上
[00:00:57.040 --> 00:00:59.960]  去年12月23日 在英國有一個
[00:00:59.960 --> 00:01:03.140]  挺出名的rap singer
[00:01:03.140 --> 00:01:05.760]  他是一個gospel singer 是全副音的
[00:01:05.760 --> 00:01:08.340]  不過你知道那些黑人的rap song
[00:01:08.340 --> 00:01:13.220]  就像口頭禪那樣說話的 詩歌的一個人
[00:01:13.220 --> 00:01:14.680]  我不知道有沒有讀過他的名字
[00:01:14.680 --> 00:01:15.840]  Hasio?
[00:01:15.840 --> 00:01:18.740]  我看看他的樣子是怎樣的
[00:01:18.740 --> 00:01:20.660]  看不看到他的樣子呢
[00:01:20.660 --> 00:01:23.860]  你看到他下面 他自己的comment是什麼
[00:01:23.860 --> 00:01:26.180]  I'm done 我完了
[00:01:26.180 --> 00:01:27.820]  什麼意思呢 我玩完了
[00:01:27.820 --> 00:01:29.720]  我不再做基督徒了
[00:01:29.720 --> 00:01:32.000]  他做了20年的基督徒
[00:01:32.000 --> 00:01:33.720]  但是呢 去年11月
[00:01:33.720 --> 00:01:36.400]  12月23日的時候 在他那裏唸書
[00:01:36.400 --> 00:01:37.840]  跟着在Twitter
[00:01:37.840 --> 00:01:40.640]  就說 我信耶穌20年了 但是呢
[00:01:40.640 --> 00:01:43.300]  我現在不信了 I'm done
[00:01:43.300 --> 00:01:46.180]  當然呢 他就給了一大堆的理由
[00:01:46.180 --> 00:01:49.700]  爲什麼他不信呢
[00:01:49.700 --> 00:01:52.600]  那些理由其實我們不是很陌生的
[00:01:52.600 --> 00:01:53.800]  很多人都聽過的
