
[00:00:00.000 --> 00:00:03.920]  今天是農曆新年的年初五
[00:00:03.920 --> 00:00:06.480]  我相信大家都會有機會去拜年
[00:00:06.480 --> 00:00:09.320]  我們拜年的時候有一個說話一定會說的
[00:00:09.320 --> 00:00:14.040]  就是「心想事成是我們對其他人的祝福」
[00:00:14.040 --> 00:00:15.680]  可想而知
[00:00:15.680 --> 00:00:21.720]  其實追求幸福是每一個人的人生裡非常重要的事情
[00:00:21.720 --> 00:00:26.880]  很多人用很多方法去追求自己所認為的幸福
[00:00:26.880 --> 00:00:29.920]  並且願意付出代價
[00:00:29.920 --> 00:00:31.120]  但是
[00:00:31.120 --> 00:00:35.800]  會不會當人們在這方面的慾望得以滿足的時候
[00:00:35.800 --> 00:00:41.200]  又或者同時是他們迷失開始的時候
[00:00:41.200 --> 00:00:44.720]  因為他們慢慢會為這些事情而活
[00:00:44.720 --> 00:00:46.360]  無論他們的心思念
[00:00:46.360 --> 00:00:47.520]  他們的時間
[00:00:47.520 --> 00:00:48.680]  他們的精力
[00:00:48.680 --> 00:00:50.400]  甚至他們的忠誠
[00:00:50.400 --> 00:00:52.680]  都被這些事情控制
[00:00:52.680 --> 00:00:54.960]  今天我們說到的主角阿伯拉罕
[00:00:54.960 --> 00:00:58.760]  可能他也經歷了這一種挑戰
[00:00:58.760 --> 00:01:03.400]  阿伯拉罕是今天猶太人的始祖
[00:01:03.400 --> 00:01:07.440]  救恩就是猶太裔的耶穌出來
[00:01:07.440 --> 00:01:09.760]  由猶太人傳去非猶太人
[00:01:09.760 --> 00:01:11.080]  即是外邦人
[00:01:11.080 --> 00:01:17.760]  以全世界各個地方各個國家各個種族
[00:01:17.760 --> 00:01:23.160]  所以阿伯拉罕是神救恩計劃裡一個非常重要的部分
[00:01:23.160 --> 00:01:24.720]  希伯來書第十一章
[00:01:24.720 --> 00:01:29.960]  稱責阿伯拉罕在信靠上的功課不斷成長
[00:01:29.960 --> 00:01:31.680]  他繼續為主發光
[00:01:31.680 --> 00:01:33.080]  成為我們的榜樣
[00:01:33.080 --> 00:01:34.200]  究竟是怎樣的呢
[00:01:34.200 --> 00:01:36.560]  讓我們一起繼續去看下去
[00:01:36.560 --> 00:01:37.680]  有聖經學者說
[00:01:37.680 --> 00:01:41.640]  阿伯拉罕的一生曾經經歷過兩次的獻祟
[00:01:41.640 --> 00:01:42.880]  第一次的獻祟
[00:01:42.880 --> 00:01:45.400]  是獻祟阿伯拉罕的過去
[00:01:45.400 --> 00:01:48.560]  讓我們一起看看創世紀的第十二章
[00:01:48.560 --> 00:01:49.880]  一至二節
[00:01:49.880 --> 00:01:50.920]  第一節我們一起讀
[00:01:50.920 --> 00:01:52.160]  一二三
[00:01:52.160 --> 00:01:54.600]  耶和華對亞伯蘭說:
[00:01:54.600 --> 00:01:58.520]  「你要離開本地本族附加
[00:01:58.520 --> 00:02:01.960]  往我所要指善你的地方
[00:02:01.960 --> 00:02:05.080]  我必叫你成為大國
[00:02:05.080 --> 00:02:07.240]  我必賜福給你
[00:02:07.240 --> 00:02:09.400]  叫你的名為大
[00:02:09.400 --> 00:02:12.480]  你也要叫別人得福」
[00:02:12.480 --> 00:02:17.160]  神呼召阿伯拉罕離開本地本族附加
[00:02:17.160 --> 00:02:19.000]  即是說要阿伯拉罕離開
[00:02:19.000 --> 00:02:24.120]  不以他生活了好多年
[00:02:24.120 --> 00:02:27.480]  熟悉的生活居住環境
[00:02:27.480 --> 00:02:29.560]  離開他的社交圈子
[00:02:29.560 --> 00:02:31.280]  離開他的朋友
[00:02:31.280 --> 00:02:33.240]  離開他的假神
[00:02:33.240 --> 00:02:36.400]  離開他可能很喜歡吃的東西
[00:02:36.400 --> 00:02:38.800]  變賣他一切的資產
[00:02:38.800 --> 00:02:42.400]  其實當時阿伯拉罕已經七十五歲
[00:02:42.400 --> 00:02:46.000]  但是他願意去放下這一切的東西
[00:02:46.000 --> 00:02:48.440]  回應神的呼召
[00:02:48.440 --> 00:02:52.560]  繼續離開他自己的安全區
[00:02:52.560 --> 00:02:55.400]  我們繼續看《創世紀》第十二章
[00:02:55.400 --> 00:02:57.360]  六至七節
[00:02:57.360 --> 00:02:58.000]  我們一起讀
[00:02:58.000 --> 00:02:59.120]  一二三
[00:02:59.120 --> 00:03:01.240]  「阿伯蘭經過那地
[00:03:01.240 --> 00:03:03.400]  到了事件地方
[00:03:03.400 --> 00:03:05.760]  摩利像樹那裡
[00:03:05.760 --> 00:03:08.800]  那時加林人住在那地
[00:03:08.800 --> 00:03:12.160]  耶和華向阿伯蘭顯然說
[00:03:12.160 --> 00:03:16.600]  我要把這地賜給你的後裔
[00:03:16.600 --> 00:03:18.960]  阿伯蘭就在那裡
[00:03:18.960 --> 00:03:22.120]  為向他顯然的耶和華
[00:03:22.120 --> 00:03:24.360]  築了一座壇」
[00:03:24.360 --> 00:03:27.480]  築一座壇即是築祭壇
[00:03:27.480 --> 00:03:28.760]  築祭壇可以獻什麼?
[00:03:28.760 --> 00:03:29.640]  可以做什麼?
[00:03:29.640 --> 00:03:31.240]  當然是獻祭
[00:03:31.240 --> 00:03:32.120]  要留意
[00:03:32.120 --> 00:03:33.720]  在《創世紀》第十二章一至
[00:03:33.720 --> 00:03:36.760]  神呼召阿伯拉罕離開吳儀的時候
[00:03:36.760 --> 00:03:39.920]  到了第十二章的七節
[00:03:39.920 --> 00:03:42.760]  用一個築壇獻祭來結束
[00:03:42.760 --> 00:03:43.720]  代表什麼?
[00:03:43.720 --> 00:03:47.560]  代表阿伯拉罕獻上他的過去
[00:03:47.560 --> 00:03:49.200]  這一切的過去
[00:03:49.200 --> 00:03:52.960]  給他一切的安全感的事物環境
[00:03:52.960 --> 00:03:56.120]  他願意放下他這七十五年的過去
[00:03:56.120 --> 00:03:59.320]  將這一切的過去獻給神
[00:03:59.320 --> 00:04:02.280]  這是阿伯拉罕的第一次獻上
[00:04:02.280 --> 00:04:04.200]  第二次的獻上
[00:04:04.200 --> 00:04:06.840]  是獻上阿伯拉罕的將來
[00:04:06.840 --> 00:04:09.680]  我們一起看《創世紀》的二十二章二節
[00:04:09.680 --> 00:04:11.280]  我們一起讀一二三
[00:04:11.280 --> 00:04:14.160]  「神說:你帶著你的兒子
[00:04:14.160 --> 00:04:16.920]  就是你獨生的兒子
[00:04:16.920 --> 00:04:18.920]  你所愛的已殺
[00:04:18.920 --> 00:04:20.880]  往摩利亞地去
[00:04:20.880 --> 00:04:24.000]  在我所要指示你的山上
[00:04:24.000 --> 00:04:27.000]  把他獻為繁濟」
[00:04:27.000 --> 00:04:28.760]  神要阿伯拉罕做什麼?
[00:04:28.760 --> 00:04:30.800]  離開別士巴
[00:04:30.800 --> 00:04:32.520]  走三天的路
[00:04:32.520 --> 00:04:35.000]  去到摩利亞山上
[00:04:35.000 --> 00:04:37.640]  將他的兒子殺了
[00:04:37.640 --> 00:04:38.960]  獻為繁濟
[00:04:38.960 --> 00:04:42.840]  繁濟就是燒光所有的東西
[00:04:42.840 --> 00:04:44.640]  這個事件
[00:04:44.640 --> 00:04:47.800]  對阿伯拉罕來說是一個極大的震撼
[00:04:47.800 --> 00:04:50.080]  所帶來的衝擊
[00:04:50.080 --> 00:04:53.240]  完全集中在這個焦點的上面
[00:04:53.240 --> 00:04:55.080]  這個焦點就是「已殺」
[00:04:55.080 --> 00:04:57.600]  究竟「已殺」對於阿伯拉罕來說
[00:04:57.600 --> 00:04:59.600]  代表了什麼意義呢?
[00:04:59.600 --> 00:05:00.920]  有三個意義
[00:05:00.920 --> 00:05:03.240]  以後的時間我會和大家一起去講
[00:05:03.240 --> 00:05:06.120]  「已殺」在阿伯拉罕的心目中
[00:05:06.120 --> 00:05:09.000]  在他的生命裡面代表了三個意義
[00:05:09.000 --> 00:05:10.480]  第一個意義
[00:05:10.480 --> 00:05:12.600]  「已殺」對於阿伯拉罕來說
[00:05:12.600 --> 00:05:16.000]  他是唯一正統的親生兒子
[00:05:16.000 --> 00:05:17.640]  為什麼是正統的親生兒子呢?
[00:05:17.640 --> 00:05:19.240]  他有妾侍生的
[00:05:19.240 --> 00:05:22.400]  但是他唯一和他的正室
[00:05:22.400 --> 00:05:24.600]  撒拉所生的親生兒子
[00:05:24.600 --> 00:05:26.200]  唯一的兒子
[00:05:26.200 --> 00:05:28.720]  是唯一的兒子
[00:05:28.720 --> 00:05:32.520]  這個兒子是他唯一的
[00:05:32.520 --> 00:05:34.800]  是九代單傳的
[00:05:34.800 --> 00:05:38.960]  作為父親是應該保護自己的兒子
[00:05:38.960 --> 00:05:40.880]  讓他有幸福
[00:05:40.880 --> 00:05:45.960]  怎麼能夠忍心親手殺死自己的兒子呢?
[00:05:45.960 --> 00:05:48.520]  在聖經裡面並沒有詳細描述
[00:05:48.520 --> 00:05:52.160]  阿伯拉罕的內心的掙扎
[00:05:52.160 --> 00:05:54.520]  但是我們可以從字裡行間
[00:05:54.520 --> 00:05:57.160]  可以想像當時阿伯拉罕的心情
[00:05:57.160 --> 00:05:59.800]  如果我們看回剛才所讀的聖經
[00:05:59.800 --> 00:06:01.800]  創世紀二十二章二節
[00:06:01.800 --> 00:06:03.560]  我們一起讀一二三
[00:06:03.560 --> 00:06:05.960]  神說:「你帶著你的兒子
[00:06:05.960 --> 00:06:08.520]  就是你獨生的兒子
[00:06:08.520 --> 00:06:11.000]  你所愛的以撒
[00:06:11.000 --> 00:06:12.880]  往摩利亞地去
[00:06:12.880 --> 00:06:16.000]  在我所要指示你的山上
[00:06:16.000 --> 00:06:19.080]  把他獻為繁濟」
[00:06:19.080 --> 00:06:20.880]  請留意這三句話
[00:06:20.880 --> 00:06:24.760]  「你的兒子」、「你獨生的兒子」
[00:06:24.760 --> 00:06:27.520]  「你所愛的以撒」
[00:06:27.520 --> 00:06:30.520]  其實這三句話一直在增強
[00:06:30.520 --> 00:06:32.160]  在遞增
[00:06:32.160 --> 00:06:35.240]  以撒在阿伯拉罕的那種重要性
[00:06:35.240 --> 00:06:37.680]  那種親愛的程度
[00:06:37.680 --> 00:06:39.400]  「你的兒子」
[00:06:39.400 --> 00:06:40.920]  「你唯一的兒子」
[00:06:40.920 --> 00:06:44.200]  「是你深深所愛的兒子」
[00:06:44.200 --> 00:06:45.240]  換句話說
[00:06:45.240 --> 00:06:47.360]  以撒在阿伯拉罕的心中
[00:06:47.360 --> 00:06:50.440]  是他心肝寶貝
[00:06:50.440 --> 00:06:53.080]  沒有什麼能夠代替
[00:06:53.080 --> 00:06:55.920]  我們再看創世紀的二十二章六節八節
[00:06:55.920 --> 00:06:56.600]  留意兩個字
[00:06:56.600 --> 00:06:57.800]  我們先讀這段聖經
[00:06:57.800 --> 00:06:59.200]  一二三
[00:06:59.200 --> 00:07:02.240]  「阿伯拉罕把繁濟的柴
[00:07:02.240 --> 00:07:05.840]  放在他兒子以撒身上
[00:07:05.840 --> 00:07:08.760]  自己手裡拿著火與刀
[00:07:08.760 --> 00:07:11.000]  於是二人同行
[00:07:11.000 --> 00:07:14.440]  以撒對他父親阿伯拉罕說
[00:07:14.440 --> 00:07:16.960]  父親啊,阿伯拉罕說
[00:07:16.960 --> 00:07:19.600]  我兒,我在這裡」
[00:07:19.600 --> 00:07:23.440]  以撒說:「請看,火與柴都有了
[00:07:23.440 --> 00:07:26.320]  但繁濟的陽高在那裡呢?
[00:07:26.320 --> 00:07:30.640]  阿伯拉罕說:我兒神必自己預備
[00:07:30.640 --> 00:07:32.720]  作繁濟的陽高
[00:07:32.720 --> 00:07:34.960]  於是二人同行」
[00:07:34.960 --> 00:07:36.920]  你留意兩個字「二人同行」
[00:07:36.920 --> 00:07:40.240]  其實原來是在強調兩個個體
[00:07:40.240 --> 00:07:43.280]  很親密、很緊密的一切
[00:07:43.280 --> 00:07:44.520]  可以互相代替
[00:07:44.520 --> 00:07:45.960]  換句話說
[00:07:45.960 --> 00:07:47.880]  阿伯拉罕和他的兒子
[00:07:47.880 --> 00:07:51.320]  以撒那種親密的程度
[00:07:51.320 --> 00:07:52.760]  即使是父親
[00:07:52.760 --> 00:07:54.880]  也不忍心殺死自己的兒子
[00:07:54.880 --> 00:07:57.960]  何況兩父子的關係那麼親密
[00:07:57.960 --> 00:08:00.480]  有誰捨得?
[00:08:00.480 --> 00:08:02.400]  在過年之前
[00:08:02.400 --> 00:08:05.120]  我和師母去過中山幾天
[00:08:05.120 --> 00:08:06.400]  但最後那天
[00:08:06.400 --> 00:08:09.320]  師母的腸胃突然很痛
[00:08:09.320 --> 00:08:11.920]  痛得臉青口唇白
[00:08:11.920 --> 00:08:12.800]  很痛
[00:08:12.800 --> 00:08:15.920]  結果我們急忙從中山回來香港
[00:08:15.920 --> 00:08:18.200]  結果師母住了一天醫院
[00:08:18.200 --> 00:08:20.720]  令我想起很多年前
[00:08:20.720 --> 00:08:22.600]  師母曾經有一段時間
