
[00:00:00.000 --> 00:00:03.080]  母親節平安 根據動量的定律
[00:00:03.080 --> 00:00:07.360]  一隻0.45公斤的鳥和時速80公里飛機的相撞
[00:00:07.360 --> 00:00:10.040]  會產生1500牛頓的力
[00:00:10.040 --> 00:00:13.040]  如果和時速960公里的飛機相撞
[00:00:13.040 --> 00:00:15.880]  會產生21.6萬牛頓的力
[00:00:15.880 --> 00:00:20.000]  高速的運動令到鳥擊的破壞力是非常驚人的
[00:00:20.000 --> 00:00:22.320]  由於飛機飛行的速度太快
[00:00:22.320 --> 00:00:24.480]  如果和飛鳥發生碰撞
[00:00:24.480 --> 00:00:27.000]  往往可以造成一個很大的破壞性
[00:00:27.000 --> 00:00:29.960]  嚴重的甚至會有飛機墜毀的可能
[00:00:29.960 --> 00:00:32.160]  美國曾經有一架F-16的戰機
[00:00:32.160 --> 00:00:35.120]  在高速飛行的時候就被一隻鳥撞擊
[00:00:35.120 --> 00:00:37.600]  整個可以承受龐大壓力
[00:00:37.600 --> 00:00:40.840]  和強大風速的保護透明的罩
[00:00:40.840 --> 00:00:42.640]  馬上就爆裂了
[00:00:42.640 --> 00:00:48.480]  其實就算我們看看一個玻璃造的這麼小的波士奇
[00:00:48.480 --> 00:00:52.720]  如果做十萬米這麼高的高空自由落體的掉下來的話
[00:00:52.720 --> 00:00:56.440]  也都足以可以將一塊一米的鋼板打穿
[00:00:57.360 --> 00:01:01.440]  原來力學是這麼重要是這麼神奇的
[00:01:01.440 --> 00:01:06.280]  不過有一種力學相信連科學家都解釋不了
[00:01:06.280 --> 00:01:07.960]  就是愛的力學
[00:01:07.960 --> 00:01:09.640]  我曾經聽過一個故事
[00:01:09.640 --> 00:01:14.480]  有一天一個母親剛剛在家裡的洗衣房處理衣物的時候
[00:01:14.480 --> 00:01:18.320]  突然之間她的大兒子滿頭大汗很緊張地衝進來
[00:01:18.320 --> 00:01:20.000]  他就告訴媽媽
[00:01:20.000 --> 00:01:24.760]  那個患有先天性癡呆的妹妹爬上了四樓這麼高的屋頂上
[00:01:24.760 --> 00:01:29.600]  她在屋頂的邊緣 她說要連飛機都像飛行一樣飛下來
[00:01:29.600 --> 00:01:32.120]  她的母親手裡突然沉了一沉
[00:01:32.120 --> 00:01:35.400]  她什麼都不顧地推開了所有處理的衣物
[00:01:35.400 --> 00:01:39.760]  然後鞋子都沒時間穿了 馬上就衝了出去
[00:01:39.760 --> 00:01:42.200]  一去到那座樓下的時候
[00:01:42.200 --> 00:01:45.240]  她只是看到女兒站在一個高高的屋頂上面
[00:01:45.240 --> 00:01:47.120]  兩隻手打開了
[00:01:47.120 --> 00:01:50.920]  好像在模仿小鳥飛行的動態準備要起飛了
[00:01:50.920 --> 00:01:53.320]  當這個小女兒看到她的母親的時候
[00:01:53.320 --> 00:01:55.480]  這個女孩當然是很高興
[00:01:55.480 --> 00:02:00.040]  在大叫 在大吼大叫 想著開始準備起飛
[00:02:00.040 --> 00:02:01.800]  就在這個千鈞一髮的時候
[00:02:01.800 --> 00:02:04.960]  她的母親就大叫 危險啊危險啊不要啊
[00:02:04.960 --> 00:02:07.360]  她就打開了雙手衝上前
[00:02:07.360 --> 00:02:10.440]  她嘗試用企圖兩隻手去抱住女兒
[00:02:10.440 --> 00:02:11.880]  一聲巨響
[00:02:11.880 --> 00:02:15.640]  好像她感覺到雙臂有些很沉重的東西掉下來一樣
[00:02:15.640 --> 00:02:17.800]  突然之間一聲
[00:02:17.800 --> 00:02:20.000]  好像有些東西斷了的聲音
[00:02:20.000 --> 00:02:23.200]  然後眼前的一刻 她什麼都看不到
[00:02:23.200 --> 00:02:25.240]  她就跌在地上
[00:02:25.240 --> 00:02:26.800]  當她醒來的時候
[00:02:26.800 --> 00:02:30.520]  已經在醫院裡面住了兩天了
[00:02:30.520 --> 00:02:33.600]  感謝的地方就是她總算是清醒
[00:02:33.600 --> 00:02:36.680]  但是她的腳部打了很沉重的石膏
[00:02:36.680 --> 00:02:38.480]  用繃帶包住了
[00:02:38.480 --> 00:02:40.680]  但是感到安慰的地方就是
[00:02:40.680 --> 00:02:43.120]  在她的身邊 在她的床邊她看到的
[00:02:43.120 --> 00:02:46.160]  不單只是她的老公 不單只是她的大兒子
[00:02:46.160 --> 00:02:49.680]  還有平安無事的這個小女兒
[00:02:49.680 --> 00:02:53.000]  的而且確 愛是沒有力學的
[00:02:53.000 --> 00:02:58.240]  一隻鳥媽媽當她看到鳥寶寶在雀巢跌下來的時候
[00:02:58.240 --> 00:03:01.200]  她會閃電這麼快 不理會一切後果
[00:03:01.200 --> 00:03:03.920]  馬上衝出去迎著牠接上去
[00:03:03.920 --> 00:03:05.760]  你可以再看看一隻母牛
[00:03:05.760 --> 00:03:10.880]  牠帶著一個沒有牛毒的牛寶寶
[00:03:10.880 --> 00:03:13.480]  當這個牛寶寶遇襲的時候
[00:03:13.480 --> 00:03:18.480]  牠會用自己的肉體和鮮血去保護著那個幼小的牛寶寶
[00:03:18.480 --> 00:03:20.280]  在愛的字典裡面
[00:03:20.280 --> 00:03:22.960]  為了保護所愛的人而激發的決心
[00:03:22.960 --> 00:03:26.880]  激發的鬥志 可以比鑽石更硬
[00:03:26.880 --> 00:03:30.760]  沒有其他的力學可以和愛的力來較量
[00:03:30.760 --> 00:03:33.840]  可以比愛的力更強
[00:03:33.840 --> 00:03:35.760]  今天是母親節的主日
[00:03:35.760 --> 00:03:38.080]  又是我們最強女人的系列
[00:03:38.080 --> 00:03:40.040]  今天想和大家介紹一個在教育裡面
[00:03:40.040 --> 00:03:43.320]  其中一個最強的女人給大家認識一下
[00:03:43.320 --> 00:03:45.280]  看看她的力量有多強
[00:03:45.280 --> 00:03:47.800]  最強的女人 娜娜米
[00:03:47.800 --> 00:03:50.000]  剛才我們讀了一段聖經
[00:03:50.000 --> 00:03:52.880]  我們從第一章第一節到第五節
[00:03:52.880 --> 00:03:55.080]  我們看見娜娜米有一個很重要的特色
[00:03:55.080 --> 00:03:56.400]  作為最強的女人
[00:03:56.400 --> 00:03:59.200]  她是夠堅夠硬 不認命
[00:03:59.200 --> 00:04:02.160]  留意第一章第一節到第五節
[00:04:02.160 --> 00:04:05.160]  作為一個故事或者一個劇情
[00:04:05.160 --> 00:04:08.680]  竟然之間一開始就幾乎將整個劇目
[00:04:08.680 --> 00:04:12.040]  或者整個故事裡面主要九個人物的三分之二
[00:04:12.040 --> 00:04:13.800]  六個人講了出來
[00:04:13.800 --> 00:04:15.760]  這裡提到一個大家庭
[00:04:15.760 --> 00:04:17.960]  包括了丈夫是伊利米勒
[00:04:17.960 --> 00:04:19.600]  太太是娜娜米
[00:04:19.600 --> 00:04:22.080]  他們有兩個兒子分別是馬倫 基連
[00:04:22.080 --> 00:04:23.720]  兩個兒子各自有老婆
[00:04:23.720 --> 00:04:26.080]  他們分別是俄爾巴和路德
