
[00:00:00.000 --> 00:00:01.680]  當我預備今天這篇講章的時候
[00:00:01.680 --> 00:00:02.920]  我的題目就是
[00:00:02.920 --> 00:00:07.300]  為重要的事情重新的定位
[00:00:07.300 --> 00:00:09.640]  人生裏面有很多東西很重要
[00:00:09.640 --> 00:00:11.320]  究竟在這個階段裏面
[00:00:11.320 --> 00:00:13.280]  我覺得什麼是最重要的
[00:00:13.280 --> 00:00:16.800]  我會不會為一些最重要的事情
[00:00:16.800 --> 00:00:18.360]  可能我忘記了
[00:00:18.360 --> 00:00:20.120]  在我預備這篇講章的時候
[00:00:20.120 --> 00:00:23.360]  在上個星期有人WhatsApp一個信息給我
[00:00:23.360 --> 00:00:24.200]  就提到他說
[00:00:24.200 --> 00:00:25.840]  哎 牧師你知不知道
[00:00:25.840 --> 00:00:28.200]  在無線的明珠台
[00:00:28.200 --> 00:00:30.400]  有一個訪問的節目
[00:00:30.400 --> 00:00:32.800]  有一個時事的訪問的節目
[00:00:32.800 --> 00:00:38.600]  是為一些祈禱醫病的採訪
[00:00:38.600 --> 00:00:40.600]  當然他不只是講基督教
[00:00:40.600 --> 00:00:42.040]  他有講聖紀元
[00:00:42.040 --> 00:00:45.320]  不同的一些屬靈的群體
[00:00:45.320 --> 00:00:47.520]  用禱告來醫病
[00:00:47.520 --> 00:00:49.240]  他說有一個會友在那裏
[00:00:49.240 --> 00:00:50.560]  於是我就看看
[00:00:50.560 --> 00:00:53.760]  那個會友在當中接受採訪
[00:00:53.760 --> 00:00:54.840]  在過程裏面
[00:00:54.840 --> 00:00:56.960]  其中有一個被採訪的人
[00:00:56.960 --> 00:00:58.480]  他叫做William
[00:00:58.480 --> 00:01:00.040]  是一個投資的人
[00:01:00.040 --> 00:01:02.200]  一個在工作是投資
[00:01:02.200 --> 00:01:03.880]  很用心去工作
[00:01:03.880 --> 00:01:05.880]  每一天工作20小時
[00:01:05.880 --> 00:01:07.240]  7天都是這樣做
[00:01:07.240 --> 00:01:10.120]  就是願意拼命去做
[00:01:10.120 --> 00:01:11.800]  有一天他忽然之間
[00:01:11.800 --> 00:01:12.720]  痛得很厲害
[00:01:12.720 --> 00:01:14.000]  他的肚腹痛得很厲害
[00:01:14.000 --> 00:01:17.880]  痛到他要直接趴在地上
[00:01:17.880 --> 00:01:19.480]  他去看醫生
[00:01:19.480 --> 00:01:21.760]  醫生一照
[00:01:21.760 --> 00:01:24.480]  癌症
[00:01:24.480 --> 00:01:27.440]  應該沒有救了
[00:01:27.440 --> 00:01:29.400]  他其中一個夥伴
[00:01:29.400 --> 00:01:31.320]  是我們教會會友
[00:01:31.320 --> 00:01:33.320]  想著這個夥伴
[00:01:33.320 --> 00:01:34.840]  這個合夥人
[00:01:34.840 --> 00:01:36.320]  進醫院
[00:01:36.320 --> 00:01:37.840]  出不來
[00:01:37.840 --> 00:01:41.720]  但當時很多弟兄姊妹為他祈禱
[00:01:41.720 --> 00:01:44.640]  結果神蹟奇事出現
[00:01:44.640 --> 00:01:48.880]  他完全的經歷了醫治
[00:01:48.880 --> 00:01:50.400]  醫生都證明
[00:01:50.400 --> 00:01:52.840]  沒有任何的醫學的幫助
[00:01:52.840 --> 00:01:54.560]  他能夠得到醫治
[00:01:54.560 --> 00:01:55.920]  當然我看的時候
[00:01:55.920 --> 00:01:58.120]  我不是看這個醫治
[00:01:58.120 --> 00:01:59.800]  當然可能某些群體會覺得
[00:01:59.800 --> 00:02:02.360]  很厲害 拜託 上帝很厲害
[00:02:02.360 --> 00:02:04.280]  我也會覺得上帝很厲害
[00:02:04.280 --> 00:02:07.160]  不過在採訪的過程當中
[00:02:07.160 --> 00:02:10.200]  給我一個更深的反省
[00:02:10.200 --> 00:02:12.040]  就是這個William
[00:02:12.040 --> 00:02:16.760]  他說當我經過這個病之後
[00:02:16.760 --> 00:02:19.120]  縱然病得醫治
[00:02:19.120 --> 00:02:24.600]  不過我要為我的人生重新定位
[00:02:24.600 --> 00:02:27.160]  究竟甚麼是我最重要的
[00:02:27.160 --> 00:02:29.200]  他發覺原來他最重要的
[00:02:29.200 --> 00:02:30.480]  應該是他的家人
[00:02:30.480 --> 00:02:31.720]  是他的朋友
[00:02:31.720 --> 00:02:35.920]  應該是遠遠比他的生意額更加重要
[00:02:35.920 --> 00:02:41.200]  於是因著一場苦難
[00:02:41.200 --> 00:02:43.520]  一場很大的疾病
[00:02:43.520 --> 00:02:47.120]  讓他重新定位
[00:02:47.120 --> 00:02:51.440]  在他的餘生裏 究竟甚麼是他最重要
[00:02:51.440 --> 00:02:53.400]  弟兄姊妹
[00:02:53.400 --> 00:02:55.840]  今天在你的人生當中
[00:02:55.840 --> 00:02:57.680]  甚麼是最重要的
[00:02:57.680 --> 00:02:59.680]  有時我看著那些年輕人 年輕女孩
[00:02:59.680 --> 00:03:02.040]  他們很厲害 身體很好
[00:03:02.040 --> 00:03:03.480]  吃東西亂吃
[00:03:03.480 --> 00:03:04.760]  病也是亂吃東西
[00:03:04.760 --> 00:03:07.960]  沒所謂的 我堅強
[00:03:07.960 --> 00:03:11.520]  但是身體是神的電
[00:03:11.520 --> 00:03:13.120]  我們有沒有好好地
[00:03:13.120 --> 00:03:15.120]  去顧惜我們的身體
[00:03:15.120 --> 00:03:16.600]  弟兄姊妹
[00:03:16.600 --> 00:03:18.160]  我不是說責備甚麼人
[00:03:18.160 --> 00:03:21.360]  而是我們看看究竟人生當中
