
[00:00:00.000 --> 00:00:02.040]  詩篇第一篇
[00:00:02.040 --> 00:00:04.360]  這一篇詩篇是非常好的
[00:00:04.360 --> 00:00:05.920]  農夫的人
[00:00:05.920 --> 00:00:07.720]  正好是我們新年
[00:00:07.720 --> 00:00:10.400]  記得我小時候我很喜歡過年
[00:00:10.400 --> 00:00:12.520]  因爲穿新衣戴新帽
[00:00:12.520 --> 00:00:13.920]  高高興興快快樂樂
[00:00:13.920 --> 00:00:15.400]  還有壓歲錢
[00:00:15.400 --> 00:00:16.160]  喫糖
[00:00:16.160 --> 00:00:18.160]  還有好多東西好喫
[00:00:18.160 --> 00:00:19.800]  但是您知道嗎
[00:00:19.800 --> 00:00:21.440]  我們新年也都要大掃除
[00:00:21.440 --> 00:00:23.400]  今年我們也大掃除過了
[00:00:23.400 --> 00:00:26.720]  我們新年也都要貼春聯
[00:00:26.720 --> 00:00:28.600]  或者是貼福
[00:00:28.600 --> 00:00:31.640]  特別有一個福是倒過來貼
[00:00:31.640 --> 00:00:36.160]  大家知道這個典故是什麼故事嗎
[00:00:36.160 --> 00:00:40.720]  據說是在明成祖朱元璋的時候
[00:00:40.720 --> 00:00:42.920]  要殺一個人的話
[00:00:42.920 --> 00:00:47.400]  他就派人在那個人家貼一個福字
[00:00:47.400 --> 00:00:51.400]  但是馬皇后她就很心軟
[00:00:51.400 --> 00:00:54.680]  就趕快叫人說全城都貼
[00:00:54.680 --> 00:00:56.600]  結果每家都貼了
[00:00:56.600 --> 00:00:59.880]  但是好死不死有一家人不識字
[00:00:59.880 --> 00:01:01.720]  福貼倒了
[00:01:01.720 --> 00:01:04.280]  結果探子派出去回報說
[00:01:04.280 --> 00:01:07.040]  皇上全城都貼滿了福字
[00:01:07.040 --> 00:01:08.200]  不知道哪一家
[00:01:08.200 --> 00:01:11.040]  唯獨有一家那個福字貼到了
[00:01:11.040 --> 00:01:12.400]  皇上說就那家
[00:01:12.400 --> 00:01:14.520]  把他全家給我宰了
[00:01:14.520 --> 00:01:17.160]  馬皇后說皇上不是的
[00:01:17.160 --> 00:01:19.280]  那家人知道你要來
[00:01:19.280 --> 00:01:22.440]  所以說你來了福就到了
[00:01:22.440 --> 00:01:26.200]  所以因此化解了這一場災難
[00:01:26.200 --> 00:01:28.360]  所以福到福到
[00:01:28.360 --> 00:01:29.960]  討個吉利
[00:01:29.960 --> 00:01:31.520]  每逢春節
[00:01:31.520 --> 00:01:34.440]  家家戶戶都要貼這樣的
[00:01:34.440 --> 00:01:36.040]  再一次我們說
[00:01:36.040 --> 00:01:37.520]  新春納福
[00:01:37.520 --> 00:01:39.240]  福至天降
[00:01:39.240 --> 00:01:42.280]  是我們每一個人所渴望的不是嗎
[00:01:42.280 --> 00:01:45.560]  大家都希望做一個蒙福的人
[00:01:45.560 --> 00:01:46.640]  讓我問你
[00:01:46.640 --> 00:01:48.280]  蒙福的人
[00:01:48.280 --> 00:01:49.880]  這個人是
[00:01:49.880 --> 00:01:52.200]  他的命定就要蒙福
[00:01:52.200 --> 00:01:56.240]  還是他選擇要做一個蒙福的人
[00:01:56.240 --> 00:01:57.440]  你們覺得
[00:01:57.440 --> 00:01:58.440]  選擇
[00:01:58.440 --> 00:01:58.920]  是的
[00:01:58.920 --> 00:02:01.520]  我也相信這是選擇
[00:02:01.520 --> 00:02:02.880]  這就要看
[00:02:02.880 --> 00:02:05.920]  你到底是向什麼僞身
[00:02:05.920 --> 00:02:07.240]  比如說
[00:02:07.240 --> 00:02:09.440]  你喜歡喫大魚大肉
[00:02:09.440 --> 00:02:11.160]  你向大魚大肉僞身
[00:02:11.160 --> 00:02:12.400]  你就很可能
[00:02:12.400 --> 00:02:14.960]  心臟病高血壓都會有
[00:02:14.960 --> 00:02:18.400]  所以要看你向什麼來僞身
[00:02:18.400 --> 00:02:20.480]  那麼第一節
[00:02:20.480 --> 00:02:22.680]  第一節我們一起來唸一次
[00:02:22.680 --> 00:02:25.080]  不從惡人的計謀
[00:02:25.080 --> 00:02:27.400]  不站罪人的道路
[00:02:27.400 --> 00:02:30.160]  不坐謝曼人的座位
[00:02:30.160 --> 00:02:33.240]  這是我們一個正確的選擇
[00:02:33.240 --> 00:02:35.560]  如果說你做一個錯誤的選擇
[00:02:35.560 --> 00:02:37.880]  你向這些僞身的話
[00:02:37.880 --> 00:02:39.640]  那麼我們就有禍了
[00:02:39.640 --> 00:02:41.120]  這裏我們可以看到
[00:02:41.120 --> 00:02:42.160]  你從
[00:02:42.160 --> 00:02:43.040]  你站
[00:02:43.040 --> 00:02:44.880]  最後你坐下來了
[00:02:44.880 --> 00:02:45.880]  是不是
[00:02:45.880 --> 00:02:48.480]  惡人的計謀常常有很多
[00:02:48.480 --> 00:02:50.800]  譬如說是人家的試探你
[00:02:50.800 --> 00:02:51.680]  譬如說
[00:02:51.680 --> 00:02:53.320]  哎呀不拿白不拿
[00:02:53.320 --> 00:02:54.960]  不喫白不喫
[00:02:54.960 --> 00:02:56.960]  不做白不做
[00:02:56.960 --> 00:02:58.720]  有什麼好怕的呢
[00:02:58.720 --> 00:02:59.600]  對不對
[00:02:59.600 --> 00:03:01.120]  你聽了他這個計謀
[00:03:01.120 --> 00:03:03.640]  或者是心裏面起了邪戀
[00:03:03.640 --> 00:03:06.680]  這就從了這個計謀了
[00:03:06.680 --> 00:03:09.520]  當你開始準備去犯法的時候
[00:03:09.520 --> 00:03:11.520]  或者是一個事情發生
[00:03:11.520 --> 00:03:13.800]  你站在那邊看熱鬧的時候
[00:03:13.800 --> 00:03:16.280]  心裏面又在出了一些壞主意的時候
[00:03:16.280 --> 00:03:17.560]  想要做的時候
[00:03:17.560 --> 00:03:20.680]  你就站罪人的道路了
[00:03:20.680 --> 00:03:22.160]  最後很可能
[00:03:22.160 --> 00:03:23.640]  你就穩坐在那邊
[00:03:23.640 --> 00:03:26.400]  或者是你在那邊坐鎮指揮了
[00:03:26.400 --> 00:03:30.640]  你就坐謝曼人的座位了
[00:03:30.640 --> 00:03:31.760]  各位
[00:03:31.760 --> 00:03:34.520]  聖經上面有許許多多的例子
[00:03:34.520 --> 00:03:36.040]  就是從這個
[00:03:36.040 --> 00:03:39.120]  從到站到坐
[00:03:39.120 --> 00:03:40.720]  譬如說
[00:03:40.720 --> 00:03:46.160]  羅德跟亞伯拉罕出烏爾下加蘭
[00:03:46.160 --> 00:03:50.720]  兩邊的牧羊越來越多的時候就起了爭執
[00:03:50.720 --> 00:03:53.440]  亞伯拉罕就讓他的侄兒說你自己選
[00:03:53.440 --> 00:03:54.800]  你要往哪邊去
[00:03:54.800 --> 00:03:57.080]  你往東我就往西
[00:03:57.080 --> 00:03:59.720]  結果羅德聖經上面說
[00:03:59.720 --> 00:04:03.680]  他看約旦平原非常肥沃
[00:04:03.680 --> 00:04:05.040]  他就從了
[00:04:05.040 --> 00:04:06.000]  心裏面都在想
[00:04:06.000 --> 00:04:07.760]  你知道從這個字很有意思
[00:04:07.760 --> 00:04:09.120]  中國字
[00:04:09.120 --> 00:04:11.080]  譬如講說你從是不從的時候
[00:04:11.080 --> 00:04:13.000]  你聽是不聽
[00:04:13.000 --> 00:04:13.880]  你有的時候講說
[00:04:13.880 --> 00:04:15.840]  哎 我沒有這種想法
[00:04:15.840 --> 00:04:17.160]  但是
[00:04:17.160 --> 00:04:19.040]  有的時候沒有這種想法
[00:04:19.040 --> 00:04:21.320]  是因爲沒有這種機會
[00:04:21.320 --> 00:04:22.960]  當你有了那個機會的時候
[00:04:22.960 --> 00:04:24.000]  就好像你說
[00:04:24.000 --> 00:04:26.280]  哎呀牧師我都沒有意向
[00:04:26.280 --> 00:04:26.920]  我跟你講
[00:04:26.920 --> 00:04:27.880]  我給你一百萬
[00:04:27.880 --> 00:04:29.840]  我保證你有意向
[00:04:29.840 --> 00:04:32.680]  你就會想說我要去哪邊去度假
