
[00:00:00.000 --> 00:00:06.980]  上次我跟大家講完路德記最後一個信息
[00:00:06.980 --> 00:00:08.980]  路德記最後一個信息
[00:00:08.980 --> 00:00:12.460]  我稱它為「奧庇佑隱藏的外邦辛苦」
[00:00:12.460 --> 00:00:16.700]  這一個信息講述了很多耶穌基督的遇象
[00:00:16.700 --> 00:00:20.200]  我也講述了路德就是教會的遇象
[00:00:20.200 --> 00:00:24.900]  可能被很多人認為我是一個寓意解經家
[00:00:24.900 --> 00:00:26.660]  是一個靈異解經家
[00:00:26.660 --> 00:00:28.660]  因為我講述了這麼多的遇象
[00:00:28.660 --> 00:00:33.420]  所以今天不得不再講一篇道來替我自己辯護一下
[00:00:33.420 --> 00:00:35.420]  我不是一個靈異解經家
[00:00:35.420 --> 00:00:37.420]  也不是一個寓意解經家
[00:00:37.420 --> 00:00:41.660]  其實我是反對寓意和寓意的解經
[00:00:41.660 --> 00:00:43.660]  我今天叫這篇道做
[00:00:43.660 --> 00:00:49.660]  「聖經中的比喻、隱喻、寓意和密碼」
[00:00:49.660 --> 00:00:51.660]  其實在聖經裡
[00:00:51.660 --> 00:00:55.660]  真的有很多的修辭手法
[00:00:55.660 --> 00:00:57.660]  figure of speech
[00:00:57.660 --> 00:00:59.660]  這些修辭手法是有什麼
[00:00:59.660 --> 00:01:01.660]  是有很多的比喻
[00:01:01.660 --> 00:01:03.660]  有很多的隱喻
[00:01:03.660 --> 00:01:05.660]  甚至是類比
[00:01:05.660 --> 00:01:08.660]  就好像我所講的遇象一樣
[00:01:08.660 --> 00:01:11.660]  如果能夠掌握得好的話
[00:01:11.660 --> 00:01:14.660]  能夠幫助我們更加明白聖經
[00:01:14.660 --> 00:01:16.660]  但如果你掌握不好
[00:01:16.660 --> 00:01:19.660]  別人解經你就只有聽的份
[00:01:19.660 --> 00:01:23.660]  別人解錯經你就跟著一起錯
[00:01:23.660 --> 00:01:25.660]  這個絕對不是神所喜悅的
[00:01:25.660 --> 00:01:29.660]  所以我們是很需要自己來學習
[00:01:29.660 --> 00:01:31.660]  怎樣來解釋聖經
[00:01:31.660 --> 00:01:34.660]  就好像提摩太后書的二章十五節
[00:01:34.660 --> 00:01:37.660]  當你竭力在神的面前
[00:01:37.660 --> 00:01:38.660]  得蒙喜悅
[00:01:38.660 --> 00:01:40.660]  作無愧的工人
[00:01:40.660 --> 00:01:43.660]  按著正義分解真理的道
[00:01:43.660 --> 00:01:45.660]  每一個基督徒都應該是
[00:01:45.660 --> 00:01:49.660]  按著正義來分解神的話語
[00:01:49.660 --> 00:01:51.660]  這個才是蒙神喜悅
[00:01:51.660 --> 00:01:53.660]  所以今天這篇道是很重要
[00:01:53.660 --> 00:01:56.660]  幫助我們怎樣能夠明白聖經
[00:01:56.660 --> 00:02:01.660]  我將它放入聖經難題解答系列裏面
[00:02:01.660 --> 00:02:04.660]  其實這一篇道都可以叫它做
[00:02:04.660 --> 00:02:11.660]  聖經裏面的比喻 寓意 隱喻 寓意和密碼的分別
[00:02:11.660 --> 00:02:14.660]  我們先講比喻
[00:02:14.660 --> 00:02:16.660]  聖經裏面真的很多比喻
[00:02:16.660 --> 00:02:22.660]  比喻這個字是由希臘文的parable演變而成
[00:02:22.660 --> 00:02:24.660]  parah是什麼
[00:02:24.660 --> 00:02:26.660]  是由兩個字組成
[00:02:26.660 --> 00:02:27.660]  parah和beau
[00:02:27.660 --> 00:02:28.660]  parah是什麼
[00:02:28.660 --> 00:02:30.660]  parah就是一對
[00:02:30.660 --> 00:02:32.660]  parah就是兩件事
[00:02:32.660 --> 00:02:34.660]  所以你看到聖經裏面的比喻
[00:02:34.660 --> 00:02:37.660]  永遠是將兩件事放在你的面前
[00:02:37.660 --> 00:02:40.660]  beau就是扔
[00:02:40.660 --> 00:02:42.660]  將兩件事扔在一起來比較
[00:02:42.660 --> 00:02:45.660]  這個就是parable
[00:02:45.660 --> 00:02:48.660]  第二個特徵 比喻
[00:02:48.660 --> 00:02:51.660]  都是虛構的故事
[00:02:51.660 --> 00:02:54.660]  如果你見到比喻是沒有時間
[00:02:54.660 --> 00:02:55.660]  沒有地點
[00:02:55.660 --> 00:02:57.660]  沒有人的名字
[00:02:57.660 --> 00:02:59.660]  是虛構的
[00:02:59.660 --> 00:03:03.660]  最後故事的後面都有一個真理
[00:03:03.660 --> 00:03:05.660]  都有一個屬靈的意義
[00:03:05.660 --> 00:03:07.660]  這個就是parable
[00:03:07.660 --> 00:03:10.660]  這個就是比喻
[00:03:10.660 --> 00:03:12.660]  聖經裏面真的很多比喻
[00:03:12.660 --> 00:03:14.660]  我用了很多時間
[00:03:14.660 --> 00:03:16.660]  將所有聖經裏面的比喻
[00:03:16.660 --> 00:03:19.660]  全部都列出來
