
[00:00:00.000 --> 00:00:06.000]  今次睇耳塞亞書嘅系列就只係睇一至十二章
[00:00:06.000 --> 00:00:11.000]  呢十二章嘅經文可以話係自成一個單元嚟㗎
[00:00:11.000 --> 00:00:13.000]  點解呢?
[00:00:13.000 --> 00:00:19.000]  係因為作者或者編者其實佢畀咗我哋一個好清晰嘅提示
[00:00:19.000 --> 00:00:22.000]  讓我哋去理解佢嘅心意
[00:00:22.000 --> 00:00:24.000]  係咩提示呢?
[00:00:24.000 --> 00:00:31.000]  我哋嚟睇一章一節嗰度話呢上帝向阿摩斯嘅兒子耳塞啟示
[00:00:31.000 --> 00:00:35.000]  有關猶大和耶路撒冷的事
[00:00:35.000 --> 00:00:38.000]  咁我哋呢就留意到呢
[00:00:38.000 --> 00:00:45.000]  佢喺下面要講嘅訊息呢都係有關猶大同耶路撒冷㗎
[00:00:45.000 --> 00:00:48.000]  咁然之後我哋嚟睇睇十三章一節
[00:00:48.000 --> 00:00:58.000]  「這是阿摩斯的兒子耳塞從上帝所領受的有關巴比倫的訊息」
[00:00:58.000 --> 00:01:06.000]  換句話講呢從十三章開始嘅啟示呢就唔係有關猶大和耶路撒冷㗎啦
[00:01:06.000 --> 00:01:11.000]  所以呢一到到十二章呢就係一個單元
[00:01:11.000 --> 00:01:14.000]  咁呢次我哋思考咗十二章嘅經文以後呢
[00:01:14.000 --> 00:01:17.000]  我希望大家呢就唔係話只會記得
[00:01:17.000 --> 00:01:22.000]  「雖然你們的罪 罪污諸紅 我卻要洗你們像樹一樣潔白」
[00:01:22.000 --> 00:01:26.000]  「雖然你們的罪污心紅 我卻要洗你們跟羊毛一樣潔白」
[00:01:26.000 --> 00:01:31.000]  又或者「必要同女懷人生子 要給得起名叫耀馬來利」
[00:01:31.000 --> 00:01:36.000]  「有一嬰兒為我們而生 有一兒子資給我們 他要來統治我們」
[00:01:36.000 --> 00:01:41.000]  「他將被稱為奇妙的道士 全憑上帝永遠都負責和平的君王」
[00:01:41.000 --> 00:01:46.000]  呢一啲都係聖誕節好常讀嘅經文
[00:01:46.000 --> 00:01:50.000]  就係嚟自以賽亞書呢一部分
[00:01:50.000 --> 00:01:55.000]  不過呢 呢十二章嘅聖經
[00:01:55.000 --> 00:02:02.000]  唔係單單為咗七百年之後先至出世嘅主耶穌而寫
