
[00:00:00.000 --> 00:00:06.000]  好,我們再次低頭祈禱
[00:00:06.000 --> 00:00:09.000]  新界的天父
[00:00:09.000 --> 00:00:11.000]  剛纔我看到一段經文說
[00:00:11.000 --> 00:00:20.000]  我們是上帝的大使
[00:00:20.000 --> 00:00:24.000]  所以我們不敢輕看我們自己
[00:00:24.000 --> 00:00:28.000]  我們也不敢去高看我們自己
[00:00:28.000 --> 00:00:31.000]  我們就是肯定我們的身份
[00:00:31.000 --> 00:00:35.000]  We are the ambassadors for Christ
[00:00:35.000 --> 00:00:38.000]  我們是上帝的大使
[00:00:38.000 --> 00:00:40.000]  以致禰透過我們
[00:00:40.000 --> 00:00:44.000]  能夠去安慰有需要的人
[00:00:44.000 --> 00:00:46.000]  能夠給一些絕望的人
[00:00:46.000 --> 00:00:48.000]  看到有盼望
[00:00:48.000 --> 00:00:50.000]  但願主自己的聖靈
[00:00:50.000 --> 00:00:52.000]  透過禰的話語
[00:00:52.000 --> 00:00:54.000]  透過微小的僕人
[00:00:54.000 --> 00:00:56.000]  宣講禰的話語
[00:00:56.000 --> 00:01:00.000]  帶給衆人有福音的盼望
[00:01:00.000 --> 00:01:05.000]  奉主耶穌名求,阿們
[00:01:05.000 --> 00:01:10.000]  耶穌在曠野裏面
[00:01:10.000 --> 00:01:13.000]  四十週夜祂禁食
[00:01:13.000 --> 00:01:17.000]  和受撒旦的試探
[00:01:17.000 --> 00:01:19.000]  完了之後
[00:01:19.000 --> 00:01:21.000]  聖經裏面告訴我們
[00:01:21.000 --> 00:01:25.000]  耶穌就充滿着聖靈
[00:01:25.000 --> 00:01:29.000]  或者滿有聖靈
[00:01:29.000 --> 00:01:32.000]  然後祂就開始出去傳道
[00:01:32.000 --> 00:01:36.000]  祂從小都去猶太人的會堂
[00:01:36.000 --> 00:01:40.000]  跟着爹地媽咪去教會
[00:01:40.000 --> 00:01:43.000]  好像我們今天的教會去會堂
[00:01:43.000 --> 00:01:45.000]  作爲一個猶太人
[00:01:45.000 --> 00:01:49.000]  祂去會堂聽神的道
[00:01:49.000 --> 00:01:51.000]  所以當祂出來
[00:01:51.000 --> 00:01:54.000]  做第一件事的時候
[00:01:54.000 --> 00:01:56.000]  聖經裏面這麼說
[00:01:56.000 --> 00:01:58.000]  《路加福音》第四章
[00:01:58.000 --> 00:02:01.000]  第十四節到二十一節
[00:02:01.000 --> 00:02:03.000]  耶穌滿有聖靈的能力
[00:02:03.000 --> 00:02:05.000]  回到加里尼
[00:02:05.000 --> 00:02:08.000]  祂的名聲就傳遍四方
