
[00:00:00.000 --> 00:00:03.880]  July 4th 我們都知道是美國的國慶
[00:00:03.880 --> 00:00:06.520]  昨天有多少人去看煙火的
[00:00:06.520 --> 00:00:09.840]  誒 很棒 很棒 不錯 不錯
[00:00:09.840 --> 00:00:13.280]  家家戶戶 烤肉的非常多
[00:00:13.280 --> 00:00:15.880]  而且遊行也非常的多
[00:00:15.880 --> 00:00:18.000]  大城市小鄉鎮
[00:00:18.000 --> 00:00:22.120]  到處都是人潮洶湧 十方煙火
[00:00:22.120 --> 00:00:26.160]  到處都有野餐和慶祝活動
[00:00:26.160 --> 00:00:30.240]  這一切都是為了紀念1776年
[00:00:30.240 --> 00:00:34.200]  7月4號 美國宣布獨立
[00:00:34.200 --> 00:00:36.240]  當初的十三州
[00:00:36.240 --> 00:00:38.760]  所以你看美國的國旗
[00:00:38.760 --> 00:00:41.520]  它有中間是五十個星
[00:00:41.520 --> 00:00:45.200]  然後十三條 所以叫做紅藍白
[00:00:45.200 --> 00:00:49.760]  那十三條代表當初的原本的十三州
[00:00:49.760 --> 00:00:52.000]  那麼非常非常有意思
[00:00:52.000 --> 00:00:55.240]  因為他們脫離了英國的統治
[00:00:55.240 --> 00:00:57.480]  而宣告了獨立
[00:00:57.480 --> 00:01:01.360]  那個叫做 Independence State 獨立
[00:01:01.360 --> 00:01:03.440]  我們還小的時候
[00:01:03.440 --> 00:01:04.920]  尤其像我還小的時候
[00:01:04.920 --> 00:01:08.040]  我都希望越早獨立越好
[00:01:08.040 --> 00:01:10.240]  什麼都不用人管了嘛
[00:01:10.240 --> 00:01:12.720]  我高興吃什麼我就吃什麼
[00:01:12.720 --> 00:01:15.200]  我高興做什麼我就做什麼
[00:01:15.200 --> 00:01:16.880]  我高興什麼時候睡覺
[00:01:16.880 --> 00:01:18.320]  我高興讀書我就讀書
[00:01:18.320 --> 00:01:21.000]  我不高興讀書我就不讀書
[00:01:21.000 --> 00:01:22.680]  但是後來發現
[00:01:22.680 --> 00:01:25.120]  想吃東西沒人做給你吃
[00:01:25.120 --> 00:01:27.600]  沒錢花沒人給你錢花
[00:01:27.600 --> 00:01:31.480]  或者是想要睡覺又不能睡覺
[00:01:31.480 --> 00:01:32.720]  明天要考試
[00:01:32.720 --> 00:01:35.600]  考試又考不好的時候呢
[00:01:35.600 --> 00:01:39.400]  真的希望還是不要獨立
[00:01:39.400 --> 00:01:41.040]  感謝這樣的一生
[00:01:41.040 --> 00:01:43.400]  今天我最近我剛認識一個
[00:01:43.400 --> 00:01:46.000]  剛從學校快要畢業的一個博士生
[00:01:46.000 --> 00:01:47.640]  他去上班
[00:01:47.640 --> 00:01:51.080]  我跟他說上班好還是做學生好
[00:01:51.080 --> 00:01:54.880]  他說我目前還是覺得上班比較好
[00:01:54.880 --> 00:01:56.520]  我說你再做一段時間
[00:01:56.520 --> 00:02:00.160]  你就會發現學生比較好
[00:02:00.160 --> 00:02:02.160]  學生還有寒暑假
[00:02:02.160 --> 00:02:03.000]  是不是這樣
[00:02:03.000 --> 00:02:04.800]  感謝這樣子
[00:02:04.800 --> 00:02:06.120]  不管怎麼樣
[00:02:06.120 --> 00:02:11.320]  July 4 7月4號是美國的國慶
[00:02:11.320 --> 00:02:12.800]  這個美國
[00:02:12.800 --> 00:02:15.800]  它不是世界上第一個國家
[00:02:15.800 --> 00:02:19.480]  它也不會是世界上最後一個國家
[00:02:19.480 --> 00:02:22.160]  今天我要跟各位分享的是說
[00:02:22.160 --> 00:02:26.480]  在聖經上面怎麼樣預言美國的
[00:02:26.480 --> 00:02:28.560]  美利堅合眾國
[00:02:28.560 --> 00:02:31.040]  聖經上面有講它沒有
[00:02:31.040 --> 00:02:33.560]  聖經上面是怎麼講它的
[00:02:33.560 --> 00:02:35.520]  所以我今天要跟各位來分享
[00:02:35.520 --> 00:02:37.440]  讓我們地圖禱告
[00:02:37.440 --> 00:02:40.640]  我們感謝我們戰友
[00:02:40.640 --> 00:02:43.120]  因為你是偉大奇妙神
[00:02:43.120 --> 00:02:46.320]  今天我在美國的時間
[00:02:46.320 --> 00:02:50.080]  待在我出生的國家台灣的時間
[00:02:50.080 --> 00:02:51.800]  還要久了
[00:02:51.800 --> 00:02:55.160]  所以美國已經成為我的國家
[00:02:55.160 --> 00:02:57.920]  已經成為我的家了
[00:02:57.920 --> 00:03:01.040]  甚至於因為我來到這個地方
[00:03:01.040 --> 00:03:02.720]  我的家人我的親戚
[00:03:02.720 --> 00:03:05.760]  也都有一二十個人之中
[00:03:05.760 --> 00:03:07.880]  表示說神啊
[00:03:07.880 --> 00:03:09.880]  真如你所說的
[00:03:09.880 --> 00:03:13.040]  要生養眾多遍滿地面
[00:03:13.040 --> 00:03:16.120]  要再一次治理管理
[00:03:16.120 --> 00:03:20.680]  要再一次要取回我們基督徒的權利
[00:03:20.680 --> 00:03:22.920]  在美國這個地方
[00:03:22.920 --> 00:03:25.520]  再一次求神來幫助我們
[00:03:25.520 --> 00:03:27.120]  感謝阿高單
[00:03:27.120 --> 00:03:29.200]  奉主耶穌基督的名
[00:03:29.200 --> 00:03:31.440]  阿們
[00:03:31.440 --> 00:03:32.600]  各位可不可以跟我講
[00:03:32.600 --> 00:03:36.760]  世界上第一個國叫什麼國啊
[00:03:36.760 --> 00:03:37.800]  不是中國
