
[00:00:00.000 --> 00:00:04.640]  今天唱的詩歌也很配合我們稍後要講的訊息
[00:00:04.640 --> 00:00:07.640]  特別是當多瑪見到耶穌的時候
[00:00:07.640 --> 00:00:09.640]  祂說「我的主,我的神」
[00:00:09.640 --> 00:00:15.640]  不知道大家有沒有把耶穌當成是你的主,你的神呢?
[00:00:15.640 --> 00:00:18.640]  先給大家一個IQ題
[00:00:18.640 --> 00:00:23.640]  你覺得世界上最遠的距離是什麼距離呢?
[00:00:23.640 --> 00:00:26.640]  世界上最遠的距離在哪裡呢?
[00:00:26.640 --> 00:00:29.640]  有些聖經說東離西有多遠
[00:00:29.640 --> 00:00:32.640]  宇宙有這麼大就是最遠的距離
[00:00:32.640 --> 00:00:35.640]  這個也是很科學很理性的說話
[00:00:35.640 --> 00:00:38.640]  我這個只是取巧
[00:00:38.640 --> 00:00:43.640]  有些人說原來由腦到心是最遠的距離
[00:00:43.640 --> 00:00:45.640]  不是啊,我只有18吋而已
[00:00:45.640 --> 00:00:47.640]  每個人都不同
[00:00:47.640 --> 00:00:50.640]  但有時可能我們腦裡知道的東西
[00:00:50.640 --> 00:00:54.640]  去到我們心裡就真的有些距離
[00:00:54.640 --> 00:00:57.640]  譬如今天媽媽跟我說
[00:00:57.640 --> 00:01:00.640]  「阿康,你的肚子又肥了一點」
[00:01:00.640 --> 00:01:03.640]  這個我頭腦上都知道的
[00:01:03.640 --> 00:01:06.640]  我更加知道我應該多做運動
[00:01:06.640 --> 00:01:09.640]  少吃肥膩的東西就OK了
[00:01:09.640 --> 00:01:11.640]  但在頭腦裡知道的東西
[00:01:11.640 --> 00:01:14.640]  去到心裡就有很遠的距離
[00:01:14.640 --> 00:01:16.640]  總是做不到
[00:01:16.640 --> 00:01:19.640]  同樣耶穌基督已經復活了
[00:01:19.640 --> 00:01:22.640]  在你心裡有多真實呢?
[00:01:22.640 --> 00:01:24.640]  既然耶穌基督是復活的真實
[00:01:24.640 --> 00:01:26.640]  在你腦裡知道
[00:01:26.640 --> 00:01:29.640]  在你心裡又如何活出來呢?
[00:01:29.640 --> 00:01:31.640]  今天我們會在這段經文裡
[00:01:31.640 --> 00:01:34.640]  看到三個單元的人
[00:01:34.640 --> 00:01:37.640]  三群人如何回應耶穌基督復活
[00:01:37.640 --> 00:01:39.640]  首先我們看經文的背景
[00:01:39.640 --> 00:01:42.640]  在那天,星期日
[00:01:42.640 --> 00:01:44.640]  當時一早早上的時候
[00:01:44.640 --> 00:01:47.640]  莫大拉的瑪利亞已經去到墳墓
[00:01:47.640 --> 00:01:49.640]  想去拜祭耶穌
[00:01:49.640 --> 00:01:52.640]  但她發現在墳墓裡找不到耶穌的屍體
[00:01:52.640 --> 00:01:55.640]  她馬上回去報告給彼得和約翰
[00:01:55.640 --> 00:01:58.640]  後來莫大拉和瑪利亞有機會
[00:01:58.640 --> 00:02:00.640]  看到復活的主耶穌
[00:02:00.640 --> 00:02:04.640]  而當晚那群門徒緊閉門戶
[00:02:04.640 --> 00:02:05.640]  他們很害怕
[00:02:05.640 --> 00:02:07.640]  他們躲在門的背後
[00:02:07.640 --> 00:02:10.640]  因為他們自己所相信的主耶穌
[00:02:10.640 --> 00:02:13.640]  已經釘在十字架上
[00:02:13.640 --> 00:02:15.640]  已經行刑死了
[00:02:15.640 --> 00:02:19.640]  其他猶太領袖可能會隨時捉拿他們
[00:02:19.640 --> 00:02:20.640]  他們很害怕
[00:02:20.640 --> 00:02:22.640]  所以要躲在門後
[00:02:22.640 --> 00:02:25.640]  怕被別人發現
[00:02:25.640 --> 00:02:26.640]  你可能會覺得
[00:02:26.640 --> 00:02:29.640]  為什麼門徒要躲在門後呢?
[00:02:29.640 --> 00:02:30.640]  瑪利亞不是告訴我們
[00:02:30.640 --> 00:02:32.640]  耶穌已經復活了嗎?
[00:02:32.640 --> 00:02:34.640]  可能女人的見證
[00:02:34.640 --> 00:02:38.640]  當時的時代是不足信任的
[00:02:38.640 --> 00:02:39.640]  門徒仍然要躲起來
[00:02:39.640 --> 00:02:40.640]  不是的
[00:02:40.640 --> 00:02:41.640]  如果你看回聖經
[00:02:41.640 --> 00:02:43.640]  《約翰福音》十三至十七章
