
[00:00:00.000 --> 00:00:05.000]  (主持人) 今天有機會和大家分享神擺在我們心中的話語
[00:00:05.000 --> 00:00:08.000]  (主持人) 今天是門訓的主日
[00:00:08.000 --> 00:00:12.000]  (主持人) 教會藉著港台用聖經的教導教訓門徒
[00:00:12.000 --> 00:00:17.000]  (主持人) 我們教務經常說,如果我們訓練門徒的話
[00:00:17.000 --> 00:00:19.000]  (主持人) 那些門徒是怎樣的呢?
[00:00:19.000 --> 00:00:22.000]  (主持人) 是否知道很多聖經的知識
[00:00:22.000 --> 00:00:24.000]  (主持人) 很有效的傳福音
[00:00:24.000 --> 00:00:27.000]  (主持人) 以及訓練了很多門徒
[00:00:27.000 --> 00:00:31.000]  (主持人) 另外,教會人數不斷增長
[00:00:31.000 --> 00:00:34.000]  (主持人) 在美國一個很有名的牧師
[00:00:34.000 --> 00:00:38.000]  (主持人) 他在1975年,由一個100人的教會
[00:00:38.000 --> 00:00:45.000]  (主持人) 發展到今天,成為每個星期有2萬4千人聚會的教會
[00:00:45.000 --> 00:00:48.000]  (主持人) 這是美國第三大的教會
[00:00:48.000 --> 00:00:55.000]  (主持人) 他自己在2011年,得到美國當時的總統奧巴馬邀請他演講
[00:00:55.000 --> 00:00:57.000]  (主持人) 不單止這樣
[00:00:57.000 --> 00:01:01.000]  (主持人) 他還開始了一個訓練全世界基督徒領袖的運動
[00:01:01.000 --> 00:01:05.000]  (主持人) 有來自世界上70個不同的國家
[00:01:05.000 --> 00:01:09.000]  (主持人) 差不多有12萬人參加
[00:01:09.000 --> 00:01:14.000]  (主持人) 幾年前,這個牧師也來到我們教會給講座
[00:01:14.000 --> 00:01:17.000]  (主持人) 他來的時候,我也買了他的書
[00:01:17.000 --> 00:01:22.000]  (主持人) 這個是不是我們教會想訓練出一個門徒呢?
[00:01:22.000 --> 00:01:25.000]  (主持人) 在今年8月初
[00:01:25.000 --> 00:01:32.000]  (主持人) 關於這個牧師對不同女子性騷擾的新聞出現在報道上
[00:01:32.000 --> 00:01:37.000]  (主持人) 其中一些是1980年的時候已經開始有
[00:01:37.000 --> 00:01:44.000]  (主持人) 這個新聞出來之後,這位牧師就要提早退休
[00:01:44.000 --> 00:01:49.000]  (主持人) 最近這個教會,整個長老團要辭職
[00:01:49.000 --> 00:01:56.000]  (主持人) 其他兩個主要的牧師也離開了教會
