
[00:00:00.000 --> 00:00:04.000]  我們在聽道講道前,我們再一次禱告
[00:00:04.000 --> 00:00:07.000]  天父求祢的話語指教我們
[00:00:07.000 --> 00:00:10.000]  求祢的聖靈引導我們進入祢的真理
[00:00:10.000 --> 00:00:13.000]  讓祢的話語改變我們的生命
[00:00:13.000 --> 00:00:16.000]  面對生命的順順逆逆
[00:00:16.000 --> 00:00:20.000]  我們能夠明白祢的心,又順服祢的心意
[00:00:20.000 --> 00:00:25.000]  求祢幫助我們奉耶穌基督的聖名,阿們
[00:00:25.000 --> 00:00:32.000]  大約在二十幾年前,有一段時間我常常流鼻血
[00:00:32.000 --> 00:00:36.000]  起初我不為意,但就越流越多,越流越密
[00:00:36.000 --> 00:00:41.000]  我再摸一摸我的喉嚨,那時就腫起一塊塊
[00:00:41.000 --> 00:00:43.000]  開始有點害怕
[00:00:43.000 --> 00:00:46.000]  我是一個不太喜歡看醫生的人
[00:00:46.000 --> 00:00:49.000]  但又經常流鼻血,又腫起一塊塊
[00:00:49.000 --> 00:00:52.000]  於是去看一個醫生
[00:00:52.000 --> 00:00:55.000]  那醫生是一個普通科醫生
[00:00:55.000 --> 00:00:59.000]  他說陳生,你可能患了鼻咽癌
[00:00:59.000 --> 00:01:03.000]  我記得當晚看完醫生回家後,真的睡不著
[00:01:03.000 --> 00:01:07.000]  我是很少失眠的
[00:01:07.000 --> 00:01:10.000]  晚上真的輾轉反側
[00:01:10.000 --> 00:01:13.000]  真的睡不著,想到鼻咽癌
[00:01:13.000 --> 00:01:17.000]  在二十幾年前患癌症的死亡率是高一點的
[00:01:17.000 --> 00:01:19.000]  跟今天不同
[00:01:19.000 --> 00:01:24.000]  我想到可能這麼年輕就要死了
[00:01:24.000 --> 00:01:26.000]  開始害怕
[00:01:26.000 --> 00:01:28.000]  我害怕失去我的家人
[00:01:28.000 --> 00:01:32.000]  失去事業,失去教會的弟兄姊妹
[00:01:32.000 --> 00:01:34.000]  那一晚睡不著,在想什麼呢?
[00:01:34.000 --> 00:01:36.000]  在想身後事
[00:01:36.000 --> 00:01:38.000]  想想喪禮怎麼樣
[00:01:38.000 --> 00:01:42.000]  怎樣分家產
[00:01:42.000 --> 00:01:45.000]  其實沒有什麼家產
[00:01:45.000 --> 00:01:51.000]  但想想這些給誰,哪些留給父母,哪些留給妹妹
[00:01:51.000 --> 00:01:54.000]  越想越害怕,很捨不得
[00:01:54.000 --> 00:01:56.000]  這麼年輕就走了
[00:01:56.000 --> 00:01:59.000]  後來看了一個專科醫生
[00:01:59.000 --> 00:02:04.000]  他說陳生,你只是鼻咽發炎,很小事
