
[00:00:00.000 --> 00:00:02.080]  靈姐妹在聖經裏面
[00:00:02.080 --> 00:00:04.600]  是如何看待一個教會
[00:00:04.600 --> 00:00:08.640]  一個群體之間的關係呢?
[00:00:08.640 --> 00:00:11.560]  今天我們會藉著這段經文
[00:00:11.560 --> 00:00:13.680]  一起去看
[00:00:13.680 --> 00:00:14.800]  在這個群體當中
[00:00:14.800 --> 00:00:18.160]  當我們有愛心、有信心
[00:00:18.160 --> 00:00:22.320]  這個群體會形成一個團契的關係
[00:00:22.320 --> 00:00:24.720]  「團契」這個字的原文
[00:00:24.720 --> 00:00:27.680]  在新玉聖經裏面出現了二十次
[00:00:27.680 --> 00:00:31.520]  其中有一次就是出現在「肥理門書」
[00:00:31.520 --> 00:00:32.840]  不過剛才你讀的時候
[00:00:32.840 --> 00:00:35.640]  好像沒有聽到這個字詞出現
[00:00:35.640 --> 00:00:38.200]  一會兒我會告訴你在哪裏
[00:00:38.200 --> 00:00:42.920]  「肥理門書」是保羅在監獄裏面所寫的信件
[00:00:42.920 --> 00:00:44.600]  在信當中他為了一個
[00:00:44.600 --> 00:00:49.040]  由肥理門這個人的家裏走出來的奴隸去求情
[00:00:49.040 --> 00:00:51.000]  這個奴隸歐尼西姆
[00:00:51.000 --> 00:00:55.840]  他逃跑之後輾轉到保羅坐牢的地方
[00:00:55.840 --> 00:00:58.160]  在那裏他遇見了保羅
[00:00:58.160 --> 00:01:00.440]  然後信了耶穌
[00:01:00.440 --> 00:01:04.680]  表面上看來這封信是處理一個個別的事件
[00:01:04.680 --> 00:01:08.040]  去修補兩個人之間的關係
[00:01:08.040 --> 00:01:11.320]  但是保羅就用這封書信做了幾個示範
[00:01:11.320 --> 00:01:13.120]  讓我們看見
[00:01:13.120 --> 00:01:16.560]  到底怎樣才是一個信仰群體
[00:01:16.560 --> 00:01:21.000]  怎樣在這個天路夥伴的團契當中
[00:01:21.000 --> 00:01:23.520]  彼此去相待
[00:01:23.520 --> 00:01:25.360]  正好在疫情裏面
[00:01:25.360 --> 00:01:27.440]  在我們準備恢復
[00:01:27.440 --> 00:01:32.080]  我們教會現場的團契小組聚會
[00:01:32.080 --> 00:01:35.360]  在恢復之前我們透過這封書信
[00:01:35.360 --> 00:01:37.280]  我們去反照一下
[00:01:37.280 --> 00:01:40.160]  你和我的群體生活是怎樣
[00:01:40.160 --> 00:01:41.840]  這個教會我們的團契小組
[00:01:41.840 --> 00:01:44.440]  有沒有變成了一個遊樂園
[00:01:44.440 --> 00:01:47.960]  只是求幸福和開心呢?
[00:01:47.960 --> 00:01:53.320]  教會其實是要成為一個真正令人成長的地方
[00:01:53.320 --> 00:01:56.200]  彼此之間能夠用愛心去對待
[00:01:56.200 --> 00:01:57.680]  恩順慷慨
[00:01:57.680 --> 00:02:00.400]  我們先把這個目標一起交託給主
[00:02:00.400 --> 00:02:02.040]  我們一起祈禱
[00:02:02.040 --> 00:02:05.240]  主耶穌基督我們虎伏在祢面前
[00:02:05.240 --> 00:02:06.280]  我們敬拜
[00:02:06.280 --> 00:02:09.160]  現在我們打開祢的話語
[00:02:09.160 --> 00:02:12.480]  讓祢的真光照進我們的內心
[00:02:12.480 --> 00:02:14.760]  讓祢的話語否開我們的內心
[00:02:14.760 --> 00:02:18.480]  讓我們看見我們要學習成長的地方
[00:02:18.480 --> 00:02:22.320]  主啊求祢的靈在我們當中運行
[00:02:22.320 --> 00:02:24.160]  使我們明白真道
[00:02:24.160 --> 00:02:24.960]  我們的禱告是
[00:02:24.960 --> 00:02:27.560]  奉主耶穌基督得聖名自祈求
[00:02:27.560 --> 00:02:28.440]  阿門
[00:02:28.440 --> 00:02:32.720]  超越權力
[00:02:32.720 --> 00:02:35.280]  愛心待人
[00:02:35.280 --> 00:02:37.640]  在講述我的經文裏面四至十節當中
[00:02:37.640 --> 00:02:40.000]  寶來一年用了三次「愛心」這個字
[00:02:40.000 --> 00:02:42.680]  在第五、第七、第九節
[00:02:42.680 --> 00:02:45.360]  在第四至第六節
[00:02:45.360 --> 00:02:46.680]  那裏講到
[00:02:46.680 --> 00:02:51.000]  肥你們原來他的愛心不只是掛在口邊的
[00:02:51.000 --> 00:02:54.520]  他的愛心是可以很實在地感受到
[00:02:54.520 --> 00:02:55.680]  是真實存在的
[00:02:55.680 --> 00:02:56.160]  為什麼呢?
[00:02:56.160 --> 00:02:58.160]  至少在第五節那裏看到
[00:02:58.160 --> 00:03:00.240]  在很遠坐牢的保羅
[00:03:00.240 --> 00:03:03.800]  他也聽見肥你們的愛心
[00:03:03.800 --> 00:03:06.480]  是很實際的
[00:03:06.480 --> 00:03:07.760]  根據聖經學者的分析
[00:03:07.760 --> 00:03:09.120]  在肥你們的年代
[00:03:09.120 --> 00:03:11.760]  曾經發生過一些天災
[00:03:11.760 --> 00:03:13.600]  在他的地區有不少人受災
[00:03:13.600 --> 00:03:15.520]  極之可能就是在肥你們
[00:03:15.520 --> 00:03:18.160]  他見到教會裏面的弟兄姊妹
[00:03:18.160 --> 00:03:21.280]  有人在災難當中生活有缺乏
[00:03:21.280 --> 00:03:27.440]  於是他就捐了一些錢糧物資給弟兄姊妹
[00:03:27.440 --> 00:03:28.360]  在第五節
[00:03:28.360 --> 00:03:31.280]  更加貼近原文的翻譯是這樣的
[00:03:31.280 --> 00:03:32.640]  因為我聽說
[00:03:32.640 --> 00:03:34.880]  你對眾聖徒有愛心
[00:03:34.880 --> 00:03:38.760]  對主耶穌有信心
[00:03:38.760 --> 00:03:41.040]  原來在這封書信當中所講到的愛心
[00:03:41.040 --> 00:03:43.840]  你留意到的對象是聖徒
