
[00:00:00.000 --> 00:00:01.240]  兩位姊妹朋友早晨
[00:00:01.240 --> 00:00:04.360]  我們很快就會在《數靈成長》裏面
[00:00:04.360 --> 00:00:06.240]  五個豬完成了多少個?
[00:00:06.240 --> 00:00:09.080]  又有人不知道,三個
[00:00:09.080 --> 00:00:10.680]  那開始第四個了
[00:00:10.680 --> 00:00:12.680]  第四個《數靈成長》的題目是甚麼呢?
[00:00:12.680 --> 00:00:17.400]  紅色那裏是甚麼字?一起讀吧
[00:00:17.400 --> 00:00:22.560]  好,發揮恩賜,講恩賜有關的東西
[00:00:22.560 --> 00:00:24.440]  今天這一講是講關於
[00:00:24.440 --> 00:00:27.400]  同心似鳳的秘訣
[00:00:27.400 --> 00:00:29.240]  講秘訣都是不容易的
[00:00:29.240 --> 00:00:31.560]  有些好像很神秘的東西
[00:00:31.560 --> 00:00:33.840]  很重要的東西,很關鍵的東西
[00:00:33.840 --> 00:00:36.320]  不是我厲害,是我們一起學
[00:00:36.320 --> 00:00:38.640]  在今天的經文裏面,希望有一個好的學習
[00:00:38.640 --> 00:00:42.520]  這裏有多少位加拿大公民?
[00:00:42.520 --> 00:00:47.040]  差不多一半,可能多一半
[00:00:47.040 --> 00:00:49.040]  加拿大公民,你做了公民
[00:00:49.040 --> 00:00:50.920]  要上公民班的,是嗎?
[00:00:50.920 --> 00:00:52.600]  考公民試的
[00:00:52.600 --> 00:00:55.120]  你知道公民應有的概念
[00:00:55.120 --> 00:00:59.000]  有甚麼責任,有甚麼思想、行為
[00:00:59.440 --> 00:01:00.960]  有甚麼態度都很重要,是嗎?
[00:01:00.960 --> 00:01:04.560]  今天不是在推廣成為加拿大公民
[00:01:04.560 --> 00:01:06.560]  你們各自的努力
[00:01:06.560 --> 00:01:08.640]  你美國公民也好,哪裏公民也好
[00:01:08.640 --> 00:01:11.360]  都有些公民需要知道的東西
[00:01:11.360 --> 00:01:13.440]  我們今天不是講加拿大公民的問題
[00:01:13.440 --> 00:01:15.200]  但「公民」這一詞很特別
[00:01:15.200 --> 00:01:18.000]  「公民」這一詞在聖經裏面
[00:01:18.000 --> 00:01:19.040]  特別是今天的經文裏面
